Year,Observation status,Unit multiplier,Unit measure,Value
2009,Definition differs,Units,"Rate per 100,000 population",0.1718586006540328
2010,Definition differs,Units,"Rate per 100,000 population",0.1513716116341097
2011,Definition differs,Units,"Rate per 100,000 population",0.0679464351389255
2012,Definition differs,Units,"Rate per 100,000 population",0.0627893904139123
2013,Definition differs,Units,"Rate per 100,000 population",0.0140393232709239
2014,Definition differs,Units,"Rate per 100,000 population",0.0
2015,Definition differs,Units,"Rate per 100,000 population",0.0015358615847136
2016,Definition differs,Units,"Rate per 100,000 population",0.0
2017,Definition differs,Units,"Rate per 100,000 population",0.0
2018,Definition differs,Units,"Rate per 100,000 population",0.0015052182152477
2019,Definition differs,Units,"Rate per 100,000 population",0.0
2020,Definition differs,Units,"Rate per 100,000 population",0.0014907298813256
2021,Definition differs,Units,"Rate per 100,000 population",0.0
