Year,Series,Country income classification,Observation status,Unit multiplier,Units,Value
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,GBP,40898.82
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,GBP,42974.82
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,GBP,66906.52
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,GBP,66185.89
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,GBP,79195.3
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,GBP,119066.08
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,GBP,91435.57
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,GBP,100842.46
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,GBP,102733.6735919
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,GBP,111666.2895742
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,GBP,97574.8576545
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,GBP,66070.4835686
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,GBP,9069.15
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,GBP,16332.84
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,GBP,14637.98
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,GBP,8868.24
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,GBP,8122.68
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,GBP,9842.48
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,GBP,20573.65
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,GBP,18903.37
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,GBP,13759.702305
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,GBP,28408.0732658
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,GBP,22123.6789669
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,GBP,14417.2722483
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Thousands,GBP,4357.65
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Thousands,GBP,17889.93
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Thousands,GBP,3154.26
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Thousands,GBP,19160.42
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Thousands,GBP,12532.43
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Thousands,GBP,14467.59
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Thousands,GBP,5869.18
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Thousands,GBP,3537.2
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Thousands,GBP,4652.922411
