Year,Series,Observation status,Unit multiplier,Units,Value
2000,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.0
2001,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.0
2002,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.0
2003,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.0
2004,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.0
2005,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.0
2006,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.8
2007,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.8
2008,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.8
2009,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.8
2010,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.8
2011,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.7
2012,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.6
2013,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.7
2014,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.7
2015,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.6
2016,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.6
2017,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.8
2018,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.9
2019,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.9
2020,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.9
2021,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.9
2008,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),90.0
2009,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),93.0
2010,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),95.0
2011,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),99.1
2012,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),99.1
2013,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),99.2
2014,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),99.3
2015,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),99.6
2016,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),99.6
2017,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),99.6
2018,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),99.7
2019,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),99.7
2020,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),99.9
2021,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),99.9
2012,Proportion of population covered by at least a 4G mobile network,Normal value,Units,Percentage (%),43.0
2013,Proportion of population covered by at least a 4G mobile network,Normal value,Units,Percentage (%),70.0
2014,Proportion of population covered by at least a 4G mobile network,Normal value,Units,Percentage (%),80.0
2015,Proportion of population covered by at least a 4G mobile network,Normal value,Units,Percentage (%),97.8
2016,Proportion of population covered by at least a 4G mobile network,Normal value,Units,Percentage (%),98.5
2017,Proportion of population covered by at least a 4G mobile network,Normal value,Units,Percentage (%),99.3
2018,Proportion of population covered by at least a 4G mobile network,Normal value,Units,Percentage (%),99.7
2019,Proportion of population covered by at least a 4G mobile network,Normal value,Units,Percentage (%),99.7
2020,Proportion of population covered by at least a 4G mobile network,Normal value,Units,Percentage (%),99.9
2021,Proportion of population covered by at least a 4G mobile network,Normal value,Units,Percentage (%),99.9
