Year,Unit measure,Unit multiplier,Observation status,Value
1993,Index,Units,Undefined,0.968847615
1994,Index,Units,Undefined,0.968330681
1995,Index,Units,Undefined,0.967905896
1996,Index,Units,Undefined,0.967290825
1997,Index,Units,Undefined,0.96683131
1998,Index,Units,Undefined,0.9664116
1999,Index,Units,Undefined,0.965774399
2000,Index,Units,Undefined,0.965103123
2001,Index,Units,Undefined,0.964555752
2002,Index,Units,Undefined,0.963896476
2003,Index,Units,Undefined,0.963605513
2004,Index,Units,Undefined,0.963220414
2005,Index,Units,Undefined,0.963210647
2006,Index,Units,Undefined,0.963184327
2007,Index,Units,Undefined,0.963157078
2008,Index,Units,Undefined,0.963275115
2009,Index,Units,Undefined,0.963428469
2010,Index,Units,Undefined,0.963550592
2011,Index,Units,Undefined,0.963443053
2012,Index,Units,Undefined,0.96315268
2013,Index,Units,Undefined,0.962737118
2014,Index,Units,Undefined,0.962405275
2015,Index,Units,Undefined,0.962019462
2016,Index,Units,Undefined,0.961885983
2017,Index,Units,Undefined,0.961712862
2018,Index,Units,Undefined,0.961678566
2019,Index,Units,Undefined,0.961661409
2020,Index,Units,Undefined,0.96174164
2021,Index,Units,Undefined,0.96172418
