Year,Speed (Mb/sec),Units,Unit multiplier,Observation status,Value
2008,10 Mbps and over,Rate per 100 population,Units,Estimated value,1.89414
2009,10 Mbps and over,Rate per 100 population,Units,Estimated value,9.64778
2010,10 Mbps and over,Rate per 100 population,Units,Estimated value,20.0579
2011,10 Mbps and over,Rate per 100 population,Units,Estimated value,22.60265
2012,10 Mbps and over,Rate per 100 population,Units,Estimated value,25.68619
2013,10 Mbps and over,Rate per 100 population,Units,Estimated value,28.0224
2014,10 Mbps and over,Rate per 100 population,Units,Estimated value,31.901020000000003
2015,10 Mbps and over,Rate per 100 population,Units,Estimated value,35.16583
2016,10 Mbps and over,Rate per 100 population,Units,Estimated value,37.01433
2017,10 Mbps and over,Rate per 100 population,Units,Estimated value,38.22966
2018,10 Mbps and over,Rate per 100 population,Units,Estimated value,39.38709
2019,10 Mbps and over,Rate per 100 population,Units,Estimated value,39.03655
2020,10 Mbps and over,Rate per 100 population,Units,Estimated value,39.99431
2021,10 Mbps and over,Rate per 100 population,Units,Estimated value,40.77736
2008,Between 2 Mbps and 10 Mbps,Rate per 100 population,Units,Estimated value,24.7263
2009,Between 2 Mbps and 10 Mbps,Rate per 100 population,Units,Estimated value,18.40808
2010,Between 2 Mbps and 10 Mbps,Rate per 100 population,Units,Estimated value,10.04115
2011,Between 2 Mbps and 10 Mbps,Rate per 100 population,Units,Estimated value,8.66765
2012,Between 2 Mbps and 10 Mbps,Rate per 100 population,Units,Estimated value,7.50615
2013,Between 2 Mbps and 10 Mbps,Rate per 100 population,Units,Estimated value,5.86975
2014,Between 2 Mbps and 10 Mbps,Rate per 100 population,Units,Estimated value,4.73402
2015,Between 2 Mbps and 10 Mbps,Rate per 100 population,Units,Estimated value,2.64689
2016,Between 2 Mbps and 10 Mbps,Rate per 100 population,Units,Estimated value,1.78476
2017,Between 2 Mbps and 10 Mbps,Rate per 100 population,Units,Estimated value,1.19137
2018,Between 2 Mbps and 10 Mbps,Rate per 100 population,Units,Estimated value,0.63385
2019,Between 2 Mbps and 10 Mbps,Rate per 100 population,Units,Estimated value,1.25738
2020,Between 2 Mbps and 10 Mbps,Rate per 100 population,Units,Estimated value,0.79273
2021,Between 2 Mbps and 10 Mbps,Rate per 100 population,Units,Estimated value,0.4507899999999999
2008,Between 256 Kbps and 2 Mbps,Rate per 100 population,Units,Estimated value,1.35724
2009,Between 256 Kbps and 2 Mbps,Rate per 100 population,Units,Estimated value,0.63622
2010,Between 256 Kbps and 2 Mbps,Rate per 100 population,Units,Estimated value,0.38702
2011,Between 256 Kbps and 2 Mbps,Rate per 100 population,Units,Estimated value,0.0
2012,Between 256 Kbps and 2 Mbps,Rate per 100 population,Units,Estimated value,0.0
2013,Between 256 Kbps and 2 Mbps,Rate per 100 population,Units,Estimated value,0.0
2014,Between 256 Kbps and 2 Mbps,Rate per 100 population,Units,Estimated value,0.0
2015,Between 256 Kbps and 2 Mbps,Rate per 100 population,Units,Estimated value,0.0
2016,Between 256 Kbps and 2 Mbps,Rate per 100 population,Units,Estimated value,0.0
2017,Between 256 Kbps and 2 Mbps,Rate per 100 population,Units,Estimated value,0.0
2018,Between 256 Kbps and 2 Mbps,Rate per 100 population,Units,Estimated value,0.0
2019,Between 256 Kbps and 2 Mbps,Rate per 100 population,Units,Estimated value,0.0
2020,Between 256 Kbps and 2 Mbps,Rate per 100 population,Units,Estimated value,0.0
2021,Between 256 Kbps and 2 Mbps,Rate per 100 population,Units,Estimated value,0.0
2000,,Rate per 100 population,Units,Estimated value,0.08987
2001,,Rate per 100 population,Units,Estimated value,0.56008
2002,,Rate per 100 population,Units,Estimated value,2.28534
2003,,Rate per 100 population,Units,Estimated value,5.21997
2004,,Rate per 100 population,Units,Estimated value,10.20722
2005,,Rate per 100 population,Units,Estimated value,16.39291
2006,,Rate per 100 population,Units,Estimated value,21.40166
2007,,Rate per 100 population,Units,Estimated value,25.47474
2008,,Rate per 100 population,Units,Estimated value,28.03599
2009,,Rate per 100 population,Units,Estimated value,28.721490000000003
2010,,Rate per 100 population,Units,Estimated value,30.51545
