Year,Units,Value
2007,Number,239569.794
2008,Number,234972.28100000002
2009,Number,217738.755
2010,Number,210294.00600000002
2011,Number,218998.802999999
2012,Number,220428.27300000002
2013,Number,228246.23
2014,Number,238249.68600000002
2015,Number,251329.68899999998
2016,Number,268330.985
2017,Number,284397.095
2007,Tonnes,2324.7892269999998
2008,Tonnes,2281.726932
2009,Tonnes,2047.5135239999997
2010,Tonnes,2324.471423
2011,Tonnes,2297.316193
2012,Tonnes,2302.1079219999997
2013,Tonnes,2262.256617
2014,Tonnes,2304.349653
2015,Tonnes,2299.2130039999997
2016,Tonnes,2409.832211
2017,Tonnes,2640.336523
