Year,Units,Value
2000 Q1 Jan-Mar,Percentage (%),15.0
2000 Q2 Apr-Jun,Percentage (%),14.8
2000 Q3 Jul-Sep,Percentage (%),14.7
2000 Q4 Oct-Dec,Percentage (%),14.5
2001 Q1 Jan-Mar,Percentage (%),14.4
2001 Q2 Apr-Jun,Percentage (%),14.2
2001 Q3 Jul-Sep,Percentage (%),14.1
2001 Q4 Oct-Dec,Percentage (%),14.0
2002 Q1 Jan-Mar,Percentage (%),13.8
2002 Q2 Apr-Jun,Percentage (%),13.6
2002 Q3 Jul-Sep,Percentage (%),13.6
2002 Q4 Oct-Dec,Percentage (%),13.5
2003 Q1 Jan-Mar,Percentage (%),13.0
2003 Q2 Apr-Jun,Percentage (%),12.8
2003 Q3 Jul-Sep,Percentage (%),12.4
2003 Q4 Oct-Dec,Percentage (%),12.1
2004 Q1 Jan-Mar,Percentage (%),11.9
2004 Q2 Apr-Jun,Percentage (%),11.7
2004 Q3 Jul-Sep,Percentage (%),11.9
2004 Q4 Oct-Dec,Percentage (%),11.7
2005 Q1 Jan-Mar,Percentage (%),11.5
2005 Q2 Apr-Jun,Percentage (%),11.6
2005 Q3 Jul-Sep,Percentage (%),11.4
2005 Q4 Oct-Dec,Percentage (%),11.3
2006 Q1 Jan-Mar,Percentage (%),11.2
2006 Q2 Apr-Jun,Percentage (%),11.3
2006 Q3 Jul-Sep,Percentage (%),11.2
2006 Q4 Oct-Dec,Percentage (%),11.0
2007 Q1 Jan-Mar,Percentage (%),11.0
2007 Q2 Apr-Jun,Percentage (%),11.2
2007 Q3 Jul-Sep,Percentage (%),11.1
2007 Q4 Oct-Dec,Percentage (%),10.9
2008 Q1 Jan-Mar,Percentage (%),10.6
2008 Q2 Apr-Jun,Percentage (%),10.4
2008 Q3 Jul-Sep,Percentage (%),10.3
2008 Q4 Oct-Dec,Percentage (%),10.1
2009 Q1 Jan-Mar,Percentage (%),9.8
2009 Q2 Apr-Jun,Percentage (%),9.6
2009 Q3 Jul-Sep,Percentage (%),9.6
2009 Q4 Oct-Dec,Percentage (%),9.6
2010 Q1 Jan-Mar,Percentage (%),9.7
2010 Q2 Apr-Jun,Percentage (%),9.9
2010 Q3 Jul-Sep,Percentage (%),9.8
2010 Q4 Oct-Dec,Percentage (%),9.9
2011 Q1 Jan-Mar,Percentage (%),9.7
2011 Q2 Apr-Jun,Percentage (%),9.8
2011 Q3 Jul-Sep,Percentage (%),9.7
2011 Q4 Oct-Dec,Percentage (%),9.8
2012 Q1 Jan-Mar,Percentage (%),9.7
2012 Q2 Apr-Jun,Percentage (%),9.9
2012 Q3 Jul-Sep,Percentage (%),9.8
2012 Q4 Oct-Dec,Percentage (%),9.7
2013 Q1 Jan-Mar,Percentage (%),9.8
2013 Q2 Apr-Jun,Percentage (%),9.6
2013 Q3 Jul-Sep,Percentage (%),9.8
2013 Q4 Oct-Dec,Percentage (%),9.7
2014 Q1 Jan-Mar,Percentage (%),9.7
2014 Q2 Apr-Jun,Percentage (%),9.8
2014 Q3 Jul-Sep,Percentage (%),9.8
2014 Q4 Oct-Dec,Percentage (%),9.9
2015 Q1 Jan-Mar,Percentage (%),9.7
2015 Q2 Apr-Jun,Percentage (%),9.7
2015 Q3 Jul-Sep,Percentage (%),9.4
2015 Q4 Oct-Dec,Percentage (%),9.5
2016 Q1 Jan-Mar,Percentage (%),9.5
2016 Q2 Apr-Jun,Percentage (%),9.6
2016 Q3 Jul-Sep,Percentage (%),9.4
2016 Q4 Oct-Dec,Percentage (%),9.2
2017 Q1 Jan-Mar,Percentage (%),9.1
2017 Q2 Apr-Jun,Percentage (%),9.1
2017 Q3 Jul-Sep,Percentage (%),9.2
2017 Q4 Oct-Dec,Percentage (%),9.2
2018 Q1 Jan-Mar,Percentage (%),9.1
2018 Q2 Apr-Jun,Percentage (%),8.9
2018 Q3 Jul-Sep,Percentage (%),8.9
2018 Q4 Oct-Dec,Percentage (%),8.9
