Year,Value
2002 Q1,12.8499522340965
2002 Q2,12.563657937523999
2002 Q3,14.99354547390985
2002 Q4,12.22328880175504
2003 Q1,13.02371802006336
2003 Q2,12.561020976966429
2003 Q3,14.84196939802604
2003 Q4,12.10077723708817
2004 Q1,11.803688311438579
2004 Q2,12.138961094758502
2004 Q3,15.19967436421362
2004 Q4,12.94977756633758
2005 Q1,12.790939407382462
2005 Q2,12.95085709767854
2005 Q3,15.243480214955811
2005 Q4,13.920280134791849
2006 Q1,13.388182567851391
2006 Q2,13.88309060912997
2006 Q3,16.0555046759002
2006 Q4,13.355782800755028
2007 Q1,13.37047200103617
2007 Q2,13.445915340909568
2007 Q3,15.48162464594334
2007 Q4,12.96146656004266
2008 Q1,12.71299239578239
2008 Q2,13.233010880217659
2008 Q3,16.0566426314349
2008 Q4,13.700630456981662
2009 Q1,14.42328867818175
2009 Q2,14.97374566290797
2009 Q3,17.20371147207767
2009 Q4,14.445712829185641
2010 Q1,14.731480989891288
2010 Q2,14.116360809406277
2010 Q3,17.04069845323335
2010 Q4,15.453948990168481
2011 Q1,14.5118024134406
2011 Q2,15.24899293044359
2011 Q3,18.64293962067081
2011 Q4,16.077733684865578
2012 Q1,15.4256156829688
2012 Q2,15.664510985029581
2012 Q3,16.770013324575178
2012 Q4,14.39068536687937
2013 Q1,14.187087716968028
2013 Q2,14.38698994135417
2013 Q3,16.66849997760392
2013 Q4,13.827343894804061
2014 Q1,12.579304916713019
2014 Q2,12.751115276028928
2014 Q3,14.98396634976048
2014 Q4,12.95004153045015
2015 Q1,12.032423076483969
2015 Q2,12.20712452239969
2015 Q3,13.44061765044668
2015 Q4,11.466317224580969
2016 Q1,11.20286623926111
2016 Q2,11.283541241367349
2016 Q3,13.60860789320014
2016 Q4,11.12947795949003
2017 Q1,10.39054591318675
2017 Q2,10.6667265638296
2017 Q3,12.85860156426765
2017 Q4,10.88778862862911
2018 Q1,10.63184915097253
2018 Q2,10.6697
