Year,Units,Value
2004,Percentage (%),12.414355262812386
2005,Percentage (%),12.45683781374202
2006,Percentage (%),12.49128448506461
2007,Percentage (%),12.537052493211926
2008,Percentage (%),12.566625503863301
2009,Percentage (%),12.5920769108831
2010,Percentage (%),12.613075017007155
2011,Percentage (%),12.646370776556926
2012,Percentage (%),12.824394153662206
2013,Percentage (%),12.885484952375851
2014,Percentage (%),12.960327593533163
2015,Percentage (%),13.006180007982762
2016,Percentage (%),13.024306764969976
2017,Percentage (%),13.042968149431958
2018,Percentage (%),13.069739635943847
