Year,Units,Value
2004/05,Percentage (%),4.19096231225
2005/06,Percentage (%),5.01776424034617
2006/07,Percentage (%),4.79379517868384
2007/08,Percentage (%),4.45549788356678
2008/09,Percentage (%),3.7315378054756403
2009/10,Percentage (%),3.35459817399144
2010/11,Percentage (%),3.81998096821363
2011/12,Percentage (%),4.18977866652331
2012/13,Percentage (%),3.01801724297058
2013/14,Percentage (%),2.22999072351882
2014/15,Percentage (%),2.7067654275647794
2015/16,Percentage (%),3.2298650308392296
2016/17,Percentage (%),3.07941902878173
