Year,Units,Value
2016 - Q4,Number,23.0
2017 - Q1,Number,22.0
2017 - Q2,Number,19.0
2017 - Q3,Number,33.0
2017 - Q4,Number,27.0
2018 - Q1,Number,26.0
2018 - Q2,Number,35.0
2018 - Q3,Number,39.0
