Year,Units,Value
2005,Percentage (%),19.0
2006,Percentage (%),19.0
2007,Percentage (%),18.6
2008,Percentage (%),18.7
2009,Percentage (%),17.3
2010,Percentage (%),17.1
2011,Percentage (%),16.2
2012,Percentage (%),16.0
2013,Percentage (%),15.9
2014,Percentage (%),16.8
2015,Percentage (%),16.6
2016,Percentage (%),15.9
2017,Percentage (%),17.0
