Year,Units,Value
2007/08,"Rate per 100,000 population",1.34038152149
2008/09,"Rate per 100,000 population",1.16516963338183
2009/10,"Rate per 100,000 population",1.07720968293826
2010/11,"Rate per 100,000 population",1.1366023669340202
2011/12,"Rate per 100,000 population",0.93642626978334
2012/13,"Rate per 100,000 population",0.961674444915853
2013/14,"Rate per 100,000 population",0.9148660268258729
2014/15,"Rate per 100,000 population",0.888367806010571
2015/16,"Rate per 100,000 population",0.984704039340619
2016/17,"Rate per 100,000 population",1.20929305053712
2017/18,"Rate per 100,000 population",1.235858379822
