Year,Units,Value
2000,"Rate per 100,000",11.4
2001,"Rate per 100,000",11.4
2002,"Rate per 100,000",12.3
2003,"Rate per 100,000",12.1
2004,"Rate per 100,000",12.7
2005,"Rate per 100,000",13.7
2006,"Rate per 100,000",13.7
2007,"Rate per 100,000",13.5
2008,"Rate per 100,000",13.7
2009,"Rate per 100,000",14.2
2010,"Rate per 100,000",13.4
2011,"Rate per 100,000",14.1
2012,"Rate per 100,000",13.7
2013,"Rate per 100,000",12.3
2014,"Rate per 100,000",10.9
2015,"Rate per 100,000",9.6
2016,"Rate per 100,000",9.3
2017,"Rate per 100,000",8.4
