Year,Value
2000,77.8
2001,77.8
2002,78.2
2003,77.6
2004,77.2
2005,77.3
2006,78.0
2007,77.8
2008,76.2
2009,75.4
2010,77.3
2011,77.2
2012,76.8
2013,74.6
2014,76.3
2015,76.0
2016,75.4
2017,75.3
