Year,Completeness of disaggregation,Goal,Observation status,Unit multiplier,Unit measure,Value
2021,Partially disaggregated,Goal 4,Definition differs,Units,Percentage (%),0.0
2021,Not disaggregated,Goal 4,Definition differs,Units,Percentage (%),22.22222222222222
2021,Fully disaggregated,Goal 5,Definition differs,Units,Percentage (%),66.66666666666666
2021,Partially disaggregated,Goal 5,Definition differs,Units,Percentage (%),16.666666666666664
2021,Not disaggregated,Goal 5,Definition differs,Units,Percentage (%),16.666666666666664
2021,Fully disaggregated,Goal 8,Definition differs,Units,Percentage (%),50.0
2021,Partially disaggregated,Goal 8,Definition differs,Units,Percentage (%),16.666666666666664
2021,Not disaggregated,Goal 8,Definition differs,Units,Percentage (%),33.33333333333333
2021,Fully disaggregated,Goal 9,Definition differs,Units,Percentage (%),50.0
2021,Partially disaggregated,Goal 9,Definition differs,Units,Percentage (%),0.0
2021,Not disaggregated,Goal 9,Definition differs,Units,Percentage (%),50.0
2021,Fully disaggregated,Goal 10,Definition differs,Units,Percentage (%),0.0
2021,Partially disaggregated,Goal 10,Definition differs,Units,Percentage (%),66.66666666666666
2021,Not disaggregated,Goal 10,Definition differs,Units,Percentage (%),33.33333333333333
2021,Fully disaggregated,Goal 11,Definition differs,Units,Percentage (%),0.0
2021,Partially disaggregated,Goal 11,Definition differs,Units,Percentage (%),40.0
2021,Not disaggregated,Goal 11,Definition differs,Units,Percentage (%),60.0
2021,Fully disaggregated,Goal 12,Definition differs,Units,Percentage (%),100.0
2021,Partially disaggregated,Goal 12,Definition differs,Units,Percentage (%),0.0
2021,Not disaggregated,Goal 12,Definition differs,Units,Percentage (%),0.0
2021,Fully disaggregated,Goal 15,Definition differs,Units,Percentage (%),100.0
2021,Partially disaggregated,Goal 15,Definition differs,Units,Percentage (%),0.0
2021,Not disaggregated,Goal 15,Definition differs,Units,Percentage (%),0.0
2021,Fully disaggregated,Goal 16,Definition differs,Units,Percentage (%),37.5
2021,Partially disaggregated,Goal 16,Definition differs,Units,Percentage (%),12.5
2021,Not disaggregated,Goal 16,Definition differs,Units,Percentage (%),50.0
2021,Fully disaggregated,Goal 17,Definition differs,Units,Percentage (%),66.66666666666666
2021,Partially disaggregated,Goal 17,Definition differs,Units,Percentage (%),0.0
2021,Not disaggregated,Goal 17,Definition differs,Units,Percentage (%),33.33333333333333
2022,Fully disaggregated,,Definition differs,Units,Percentage (%),47.16981132075472
2022,Partially disaggregated,,Definition differs,Units,Percentage (%),22.641509433962263
2022,Not disaggregated,,Definition differs,Units,Percentage (%),30.18867924528302
2022,Fully disaggregated,Goal 1,Definition differs,Units,Percentage (%),25.0
2022,Partially disaggregated,Goal 1,Definition differs,Units,Percentage (%),25.0
2022,Not disaggregated,Goal 1,Definition differs,Units,Percentage (%),50.0
2022,Fully disaggregated,Goal 2,Definition differs,Units,Percentage (%),25.0
2022,Partially disaggregated,Goal 2,Definition differs,Units,Percentage (%),25.0
2022,Not disaggregated,Goal 2,Definition differs,Units,Percentage (%),50.0
2022,Fully disaggregated,Goal 3,Definition differs,Units,Percentage (%),0.0
2022,Partially disaggregated,Goal 3,Definition differs,Units,Percentage (%),100.0
