From,To
Food insecurity category,Sex
Food insecurity category,Age
Food insecurity category,Country
Food insecurity category,Household size
Food insecurity category,Children under 16 in the household
Food insecurity category,Children under 6 in the household
Food insecurity category,Working Status
Food insecurity category,Household income
