Year,Series,Country income classification,Observation status,Units,Value
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,GBP (£ thousands),40898.82
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Constant USD ($ thousands),65803.083
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,GBP (£ thousands),9069.15
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Constant USD ($ thousands),14591.571
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,GBP (£ thousands),4357.65
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Constant USD ($ thousands),7011.127
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,GBP (£ thousands),249.18
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Constant USD ($ thousands),400.912
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,GBP (£ thousands),18607.95
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Constant USD ($ thousands),29938.773
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,GBP (£ thousands),73182.75
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Constant USD ($ thousands),117745.464
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,GBP (£ thousands),42974.82
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Constant USD ($ thousands),68204.572
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,GBP (£ thousands),16332.84
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Constant USD ($ thousands),25921.56
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,GBP (£ thousands),17889.93
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Constant USD ($ thousands),28392.789
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,GBP (£ thousands),185.21
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Constant USD ($ thousands),293.943
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,GBP (£ thousands),24233.49
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Constant USD ($ thousands),38460.541
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,GBP (£ thousands),101616.29
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Constant USD ($ thousands),161273.405
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,GBP (£ thousands),66906.52
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Constant USD ($ thousands),104035.389
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,GBP (£ thousands),14637.98
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Constant USD ($ thousands),22761.129
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,GBP (£ thousands),3154.26
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Constant USD ($ thousands),4904.674
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,GBP (£ thousands),1013.65
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Constant USD ($ thousands),1576.161
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,GBP (£ thousands),23967.82
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Constant USD ($ thousands),37268.438
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,GBP (£ thousands),109680.23
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Constant USD ($ thousands),170545.791
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,GBP (£ thousands),66185.89
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Constant USD ($ thousands),101282.303
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,GBP (£ thousands),8868.24
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Constant USD ($ thousands),13570.804
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,GBP (£ thousands),19160.42
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Constant USD ($ thousands),29320.622
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,GBP (£ thousands),167.31
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Constant USD ($ thousands),256.03
