Year,Country,Sex,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2000,England,Male,Normal value,Units,"Rate per 1,000 live births",E92000001,7.11
2000,England,Female,Normal value,Units,"Rate per 1,000 live births",E92000001,5.85
2000,England,,Normal value,Units,"Rate per 1,000 live births",E92000001,6.49
2000,England and Wales,Male,Normal value,Units,"Rate per 1,000 live births",K04000001,7.17
2000,England and Wales,Female,Normal value,Units,"Rate per 1,000 live births",K04000001,5.89
2000,England and Wales,,Normal value,Units,"Rate per 1,000 live births",K04000001,6.55
2000,Scotland,Male,Normal value,Units,"Rate per 1,000 live births",S92000003,7.57
2000,Scotland,Female,Normal value,Units,"Rate per 1,000 live births",S92000003,5.87
2000,Scotland,,Normal value,Units,"Rate per 1,000 live births",S92000003,6.71
2000,Wales,Male,Normal value,Units,"Rate per 1,000 live births",W92000004,7.26
2000,Wales,Female,Normal value,Units,"Rate per 1,000 live births",W92000004,5.12
2000,Wales,,Normal value,Units,"Rate per 1,000 live births",W92000004,6.23
2000,,Male,Normal value,Units,"Rate per 1,000 live births",,7.19
2000,,Female,Normal value,Units,"Rate per 1,000 live births",,5.88
2000,,,Normal value,Units,"Rate per 1,000 live births",,6.55
2001,England,Male,Normal value,Units,"Rate per 1,000 live births",E92000001,6.92
2001,England,Female,Normal value,Units,"Rate per 1,000 live births",E92000001,5.8
2001,England,,Normal value,Units,"Rate per 1,000 live births",E92000001,6.37
2001,England and Wales,Male,Normal value,Units,"Rate per 1,000 live births",K04000001,6.98
2001,England and Wales,Female,Normal value,Units,"Rate per 1,000 live births",K04000001,5.87
2001,England and Wales,,Normal value,Units,"Rate per 1,000 live births",K04000001,6.44
2001,Scotland,Male,Normal value,Units,"Rate per 1,000 live births",S92000003,6.61
2001,Scotland,Female,Normal value,Units,"Rate per 1,000 live births",S92000003,6.02
2001,Scotland,,Normal value,Units,"Rate per 1,000 live births",S92000003,6.32
2001,Wales,Male,Normal value,Units,"Rate per 1,000 live births",W92000004,7.05
2001,Wales,Female,Normal value,Units,"Rate per 1,000 live births",W92000004,5.65
2001,Wales,,Normal value,Units,"Rate per 1,000 live births",W92000004,6.37
2001,,Male,Normal value,Units,"Rate per 1,000 live births",,6.97
2001,,Female,Normal value,Units,"Rate per 1,000 live births",,5.88
2001,,,Normal value,Units,"Rate per 1,000 live births",,6.44
2002,England,Male,Normal value,Units,"Rate per 1,000 live births",E92000001,6.94
2002,England,Female,Normal value,Units,"Rate per 1,000 live births",E92000001,5.33
2002,England,,Normal value,Units,"Rate per 1,000 live births",E92000001,6.16
2002,England and Wales,Male,Normal value,Units,"Rate per 1,000 live births",K04000001,6.95
2002,England and Wales,Female,Normal value,Units,"Rate per 1,000 live births",K04000001,5.34
2002,England and Wales,,Normal value,Units,"Rate per 1,000 live births",K04000001,6.17
2002,Scotland,Male,Normal value,Units,"Rate per 1,000 live births",S92000003,7.67
