Year,Units,Country,Region,Sector performing research and development,Product groups of UK business performing research and development,Sector funding research and development,Sector funding research and development for business,Value
2001,Performing research and development,,North West,Government,,,,0.004399899999999999
2001,Performing research and development,,North West,Higher education,,,,0.022066167
2001,Performing research and development,,North West,Business,,,,0.105464276
2001,Performing research and development,,North East,Government,,,,0.00026666099999999996
2001,Performing research and development,,North East,Higher education,,,,0.009733113
2001,Performing research and development,,North East,Business,,,,0.008333144
2001,Performing research and development,,Yorkshire and the Humber,Government,,,,0.003333258
2001,Performing research and development,,Yorkshire and the Humber,Higher education,,,,0.021732841
2001,Performing research and development,,Yorkshire and the Humber,Business,,,,0.021266185
2001,Performing research and development,,East Midlands,Government,,,,0.0045332309999999995
2001,Performing research and development,,East Midlands,Higher education,,,,0.015332986000000002
2001,Performing research and development,,East Midlands,Business,,,,0.060598625999999996
2001,Performing research and development,,West Midlands,Government,,,,0.004333235
2001,Performing research and development,,West Midlands,Higher education,,,,0.014199678
2001,Performing research and development,,West Midlands,Business,,,,0.050665518
2001,Performing research and development,,East of England,Government,,,,0.018799574
2001,Performing research and development,,East of England,Higher education,,,,0.025066098999999998
2001,Performing research and development,,East of England,Business,,,,0.186529105
2001,Performing research and development,,London,Government,,,,0.015866307
2001,Performing research and development,,London,Higher education,,,,0.067131812
2001,Performing research and development,,London,Business,,,,0.046665609000000004
2001,Performing research and development,,South East,Government,,,,0.034332555
2001,Performing research and development,,South East,Higher education,,,,0.03853246
2001,Performing research and development,,South East,Business,,,,0.21412848
2001,Performing research and development,,South West,Government,,,,0.01693295
2001,Performing research and development,,South West,Higher education,,,,0.012199723
2001,Performing research and development,,South West,Business,,,,0.067065147
2001,Performing research and development,England,,Government,,,,0.10279767
2001,Performing research and development,England,,Higher education,,,,0.22599487699999998
2001,Performing research and development,England,,Business,,,,0.7607827559999999
2001,Performing research and development,Wales,,Government,,,,0.003266593
2001,Performing research and development,Wales,,Higher education,,,,0.01059976
2001,Performing research and development,Wales,,Business,,,,0.01073309
2001,Performing research and development,Scotland,,Government,,,,0.015066325
2001,Performing research and development,Scotland,,Higher education,,,,0.034999207000000004
2001,Performing research and development,Scotland,,Business,,,,0.034465885
2001,Performing research and development,Northern Ireland,,Government,,,,0.001066642
2001,Performing research and development,Northern Ireland,,Higher education,,,,0.004999887
2001,Performing research and development,Northern Ireland,,Business,,,,0.009999773
2002,Performing research and development,,North West,Government,,,,0.004359416
2002,Performing research and development,,North West,Higher education,,,,0.024074388999999998
2002,Performing research and development,,North West,Business,,,,0.104365728
2002,Performing research and development,,North East,Government,,,,0.000390395
2002,Performing research and development,,North East,Higher education,,,,0.010800942
2002,Performing research and development,,North East,Business,,,,0.008068173
2002,Performing research and development,,Yorkshire and the Humber,Government,,,,0.0040340870000000004
2002,Performing research and development,,Yorkshire and the Humber,Higher education,,,,0.023163466
