Year,Vaccination by age,Vaccine,Country,Region,GeoCode,Value
2009/10,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,,,,94.1486979456
2010/11,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,,,,94.5468975378084
2011/12,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,,,,95.03541168802954
2012/13,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,,,,95.1000834028357
2013/14,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,,,,94.7647277045919
2014/15,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,,,,94.66482475789968
2015/16,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,,,,94.06543881100932
2016/17,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,,,,93.88745684074927
2017/18,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,,,,93.57885628720797
2007/08,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,,E92000001,91.27328400102066
2008/09,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,,E92000001,92.0301264491513
2009/10,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,,E92000001,93.61114578836779
2010/11,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,,E92000001,94.15002675925417
2011/12,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,,E92000001,94.66758770645063
2012/13,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,,E92000001,94.7405816689482
2013/14,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,,E92000001,94.33724758879922
2014/15,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,,E92000001,94.2282460178
2015/16,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,,E92000001,93.55915264685697
2016/17,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,,E92000001,93.40648938120381
2017/18,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,,E92000001,93.12488076383822
2009/10,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Wales,,W92000004,96.21548
2010/11,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Wales,,W92000004,95.95209
2011/12,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Wales,,W92000004,96.43109
2012/13,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Wales,,W92000004,96.5
2013/14,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Wales,,W92000004,96.70015589814655
2014/15,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Wales,,W92000004,96.57298494507796
2015/16,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Wales,,W92000004,96.56944234547377
2016/17,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Wales,,W92000004,96.33870679911962
2017/18,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Wales,,W92000004,95.91855396714116
2009/10,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Scotland,,S92000003,97.40956
2010/11,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Scotland,,S92000003,96.98395
2011/12,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Scotland,,S92000003,97.40364
2012/13,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Scotland,,S92000003,97.4
2013/14,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Scotland,,S92000003,97.51477444065094
2014/15,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Scotland,,S92000003,97.38729144479943
2015/16,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Scotland,,S92000003,97.15211731576431
2016/17,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Scotland,,S92000003,96.7661023022485
2017/18,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Scotland,,S92000003,96.5063105908176
2009/10,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Northern Ireland,,N92000002,97.77198958124625
2010/11,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Northern Ireland,,N92000002,97.50950950950951
2011/12,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Northern Ireland,,N92000002,97.57029219500669
2012/13,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Northern Ireland,,N92000002,97.56330625895843
2013/14,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Northern Ireland,,N92000002,97.48244977003147
2014/15,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Northern Ireland,,N92000002,96.83635490455035
2015/16,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Northern Ireland,,N92000002,97.21662623853965
2016/17,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Northern Ireland,,N92000002,97.04003930238271
2017/18,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,Northern Ireland,,N92000002,96.19617125534654
2013/14,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,North East,E12000001,96.42940724148306
2014/15,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,North East,E12000001,96.76931536981029
2015/16,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,North East,E12000001,96.76680064875538
2016/17,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,North East,E12000001,95.19429191004161
2017/18,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,North East,E12000001,95.45916045233344
2013/14,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,North West,E12000002,95.70095417846282
2014/15,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,North West,E12000002,94.97809085016375
