Year,Country,Age,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2000,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,29.01424155
2001,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,27.71141343720828
2002,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,26.774975685264582
2003,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,26.56156848809966
2004,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,26.592477622497977
2005,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,26.08763489793265
2006,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,26.231786564844036
2007,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,25.676263666225427
2008,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,25.577531254317684
2009,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,24.55192184315031
2010,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,23.18534690162241
2011,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,21.02255079866017
2012,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,19.758314316857614
2013,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,17.297202340228402
2014,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,15.547150792413504
2015,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,14.368650529897764
2016,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,13.657445539569949
2017,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,12.6506087592318
2000,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.17464309978723358
2001,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.1666023455079579
2002,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.15662691625698338
2003,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.12717163967334755
2004,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.11934150945887075
2005,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.1256078140834036
2006,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.13778107878279028
2007,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.12831521580237076
2008,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.1241799629094058
2009,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.10712943653212674
2010,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.12237075903647146
2011,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.09987823832743228
2012,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.11174573775968706
2013,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.08470996699792518
2014,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.08260607026635222
2015,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.0657929288761125
2016,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.06163613981338387
2017,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.046149865094055074
2000,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,14.219621159727161
2001,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,13.573169197129872
2002,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,13.166506874628416
2003,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,13.224034095338194
2004,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,13.377841789729175
2005,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,13.25647474993516
2006,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,13.456186760256898
2007,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,13.27525028080542
2008,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,13.270996831034687
2009,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,12.813091952870657
2010,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,12.118695248199307
2011,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,11.008674648707744
2012,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,10.385614711163505
2013,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,9.08721328134578
2014,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,8.146404774591636
2015,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,7.46983907025919
2016,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,6.993169810128372
2017,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,6.317838508672122
2000,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,29.1484742005607
2001,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,27.808856716028327
2002,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,26.942529423946862
2003,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,26.745457859877256
2004,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,26.781937094519325
2005,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,26.261762995505517
2006,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,26.441541334286242
2007,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,25.743902607988844
2008,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,25.625514901167783
2009,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,24.69817672935414
2010,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,23.31634632258541
2011,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,21.089141438369108
2012,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,19.83024377475022
2013,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,17.29535843092082
2014,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,15.542147743878871
2015,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,14.42901920783777
2016,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,13.672018270110081
2017,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,12.64000837433267
2000,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.17876403992235843
2001,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.17613149559521998
2002,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.16297812596490457
2003,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.13129253640545988
2004,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.12477016023115314
2005,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.12748865982357252
2006,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.13612114295576125
2007,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.12889455509081568
2008,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.1295869002997695
2009,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.11147050026102676
2010,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.12470911598696041
2011,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.10485934634726257
2012,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.11538806165461324
2013,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.08344785682433965
2014,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.07964923001391902
2015,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.06341991229932127
2016,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.062686238281156
2017,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.04425102376587275
2000,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,14.244510569044055
2001,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,13.58281106924255
2002,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,13.21001112610733
2003,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,13.288218196411856
2004,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,13.456786181413854
2005,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,13.334860263573939
2006,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,13.551447648603926
2007,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,13.298357806407608
2008,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,13.284994356456158
2009,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,12.876275143694203
2010,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,12.167434643990653
2011,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,11.031321869357177
2012,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,10.412676398097728
2013,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,9.07351207761814
2014,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,8.129862480545382
2015,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,7.488020511698077
2016,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,6.987145394206874
2017,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,6.298915372441394
2000,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,29.134554803892243
2001,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,28.292601871261315
2002,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,26.618902225253535
2003,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,26.228905660855624
2004,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,26.16990618098073
2005,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,26.11407695258217
2006,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,25.635741406874498
2007,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,26.391353642906438
2008,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,26.217826647828492
