Year,Skill,Age,Sex,Disability,Value
2017,"Using software to edit photos, video or audio files",65+,,,18.0
2017,Using spreadsheet software,65+,,,15.0
2017,Writing computer code using a programming language,65+,,,1.0
2017,Installing software or applications,65+,,,21.0
2017,Transferring files between computers or other devices,65+,,,19.0
2017,"Changing the settings of any software, including operating system or security programs",65+,,,15.0
2017,Copying or moving a file or folder,,Male,,67.0
2017,Using word processing software,,Male,,65.0
2017,"Creating presentations or documents containing or integrating pictures, tables or charts",,Male,,51.0
2017,"Using software to edit photos, video or audio files",,Male,,51.0
2017,Using spreadsheet software,,Male,,51.0
2017,Writing computer code using a programming language,,Male,,15.0
2017,Installing software or applications,,Male,,65.0
2017,Transferring files between computers or other devices,,Male,,61.0
2017,"Changing the settings of any software, including operating system or security programs",,Male,,48.0
2017,Copying or moving a file or folder,,Female,,56.0
2017,Using word processing software,,Female,,56.0
2017,"Creating presentations or documents containing or integrating pictures, tables or charts",,Female,,42.0
2017,"Using software to edit photos, video or audio files",,Female,,42.0
2017,Using spreadsheet software,,Female,,40.0
2017,Writing computer code using a programming language,,Female,,4.0
2017,Installing software or applications,,Female,,52.0
2017,Transferring files between computers or other devices,,Female,,46.0
2017,"Changing the settings of any software, including operating system or security programs",,Female,,31.0
2017,Copying or moving a file or folder,,,Equality Act disabled,43.0
2017,Using word processing software,,,Equality Act disabled,43.0
2017,"Creating presentations or documents containing or integrating pictures, tables or charts",,,Equality Act disabled,27.0
2017,"Using software to edit photos, video or audio files",,,Equality Act disabled,31.0
2017,Using spreadsheet software,,,Equality Act disabled,26.0
2017,Writing computer code using a programming language,,,Equality Act disabled,4.0
2017,Installing software or applications,,,Equality Act disabled,43.0
2017,Transferring files between computers or other devices,,,Equality Act disabled,33.0
2017,"Changing the settings of any software, including operating system or security programs",,,Equality Act disabled,28.0
2017,Copying or moving a file or folder,,,Not Equality Act disabled,67.0
2017,Using word processing software,,,Not Equality Act disabled,65.0
2017,"Creating presentations or documents containing or integrating pictures, tables or charts",,,Not Equality Act disabled,53.0
2017,"Using software to edit photos, video or audio files",,,Not Equality Act disabled,51.0
2017,Using spreadsheet software,,,Not Equality Act disabled,51.0
2017,Writing computer code using a programming language,,,Not Equality Act disabled,11.0
2017,Installing software or applications,,,Not Equality Act disabled,63.0
2017,Transferring files between computers or other devices,,,Not Equality Act disabled,60.0
2017,"Changing the settings of any software, including operating system or security programs",,,Not Equality Act disabled,43.0
