Year,Endangered species type,Observation status,Value
2013,,Undefined,569
2013,Caviar and caviar extract,Undefined,24
2013,Live coral and coral derivatives,Undefined,18
2013,Ivory and items containing ivory,Undefined,43
2013,Live animals and birds,Undefined,14
2013,Live plants,Undefined,6
2013,Parts or derivatives of animals or birds,Undefined,128
2013,Parts or derivatives of plants,Undefined,15
2013,Timber or wood products,Undefined,142
2013,Preparations of oriental medicine which include parts and derivatives of endangered species,Undefined,187
2013,Butterflies,Undefined,0
2014,,Undefined,512
2014,Caviar and caviar extract,Undefined,22
2014,Live coral and coral derivatives,Undefined,14
2014,Ivory and items containing ivory,Undefined,40
2014,Live animals and birds,Undefined,23
2014,Live plants,Undefined,6
2014,Parts or derivatives of animals or birds,Undefined,140
2014,Parts or derivatives of plants,Undefined,35
2014,Timber or wood products,Undefined,33
2014,Preparations of oriental medicine which include parts and derivatives of endangered species,Undefined,210
2014,Butterflies,Undefined,0
2015,,Undefined,854
2015,Caviar and caviar extract,Undefined,31
2015,Live coral and coral derivatives,Undefined,22
2015,Ivory and items containing ivory,Undefined,182
2015,Live animals and birds,Undefined,13
2015,Live plants,Undefined,45
2015,Parts or derivatives of animals or birds,Undefined,179
2015,Parts or derivatives of plants,Undefined,27
2015,Timber or wood products,Undefined,26
2015,Preparations of oriental medicine which include parts and derivatives of endangered species,Undefined,332
2015,Butterflies,Undefined,0
2016,,Undefined,689
2016,Caviar and caviar extract,Undefined,20
2016,Live coral and coral derivatives,Undefined,16
2016,Ivory and items containing ivory,Undefined,161
2016,Live animals and birds,Undefined,12
2016,Live plants,Undefined,36
2016,Parts or derivatives of animals or birds,Undefined,220
2016,Parts or derivatives of plants,Undefined,69
2016,Timber or wood products,Undefined,18
2016,Preparations of oriental medicine which include parts and derivatives of endangered species,Undefined,141
2016,Butterflies,Undefined,0
2017,,Undefined,1076
2017,Caviar and caviar extract,Undefined,28
2017,Live coral and coral derivatives,Undefined,21
2017,Ivory and items containing ivory,Undefined,176
2017,Live animals and birds,Undefined,13
2017,Live plants,Undefined,37
2017,Parts or derivatives of animals or birds,Undefined,168
2017,Parts or derivatives of plants,Undefined,171
2017,Timber or wood products,Undefined,401
2017,Preparations of oriental medicine which include parts and derivatives of endangered species,Undefined,69
2017,Butterflies,Undefined,1
2018,,Undefined,804
2018,Caviar and caviar extract,Undefined,41
2018,Live coral and coral derivatives,Undefined,7
2018,Ivory and items containing ivory,Undefined,108
2018,Live animals and birds,Undefined,12
2018,Live plants,Undefined,82
2018,Parts or derivatives of animals or birds,Undefined,167
2018,Parts or derivatives of plants,Undefined,189
2018,Timber or wood products,Undefined,121
2018,Preparations of oriental medicine which include parts and derivatives of endangered species,Undefined,82
2018,Butterflies,Undefined,8
