Year,Sex,Value
2001 Q4,,12.9347813419
2002 Q1,,13.270712424800001
2002 Q2,,13.410667192
2002 Q3,,13.3374058603
2002 Q4,,12.7053546802
2003 Q1,,13.5038765349
2003 Q2,,13.397976146500001
2003 Q3,,13.118133107
2003 Q4,,12.5976091948
2004 Q1,,12.3604306726
2004 Q2,,12.935088179200001
2004 Q3,,13.440885504
2004 Q4,,13.444719211099999
2005 Q1,,13.4311948225
2005 Q2,,13.6864306298
2005 Q3,,13.4676309408
2005 Q4,,14.3980498146
2006 Q1,,14.073319896600001
2006 Q2,,14.5593663744
2006 Q3,,14.276769690899998
2006 Q4,,13.8298928289
2007 Q1,,14.0680871055
2007 Q2,,14.057973714000001
2007 Q3,,13.7165868948
2007 Q4,,13.427414366199999
2008 Q1,,13.3997896828
2008 Q2,,13.8180443785
2008 Q3,,14.2903440593
2008 Q4,,14.1603119095
2009 Q1,,15.1353259635
2009 Q2,,15.5531138627
2009 Q3,,15.443627557000001
2009 Q4,,14.8807198092
2010 Q1,,15.468273641700002
2010 Q2,,14.6969831667
2010 Q3,,15.290982975899999
2010 Q4,,15.8629074596
2011 Q1,,15.2945522554
2011 Q2,,15.802572154000002
2011 Q3,,16.9193296582
2011 Q4,,16.4489295437
2012 Q1,,16.253898840399998
2012 Q2,,16.1964442303
2012 Q3,,15.0038247272
2012 Q4,,14.770106296500002
2013 Q1,,15.0312722986
2013 Q2,,14.89375089
2013 Q3,,14.9137156747
2013 Q4,,14.2216745073
2014 Q1,,13.4172705401
2014 Q2,,13.2252872213
2014 Q3,,13.231880047999999
2014 Q4,,13.3618969089
2015 Q1,,12.8544660855
2015 Q2,,12.662435905599999
2015 Q3,,11.7169156014
2015 Q4,,11.8889275303
2016 Q1,,12.0167931485
2016 Q2,,11.742575110999999
2016 Q3,,11.8894498683
2016 Q4,,11.5630572819
2017 Q1,,11.2118970278
2017 Q2,,11.1021204149
2017 Q3,,11.1367049181
2017 Q4,,11.2406222675
2018 Q1,,11.477281460699999
2018 Q2,,11.1582389613
2001 Q4,Male,10.5509188777
2002 Q1,Male,11.2383020327
2002 Q2,Male,11.3612586052
2002 Q3,Male,11.3448960076
2002 Q4,Male,10.4093465597
2003 Q1,Male,11.3161206525
2003 Q2,Male,10.665086821000001
2003 Q3,Male,10.6953115446
2003 Q4,Male,10.2761226378
2004 Q1,Male,10.2075009264
2004 Q2,Male,10.3707683214
2004 Q3,Male,10.852803378399999
2004 Q4,Male,11.4094763514
2005 Q1,Male,11.154902041400002
2005 Q2,Male,11.5173171572
2005 Q3,Male,11.763239391099999
2005 Q4,Male,12.686585434500001
2006 Q1,Male,12.1075489233
2006 Q2,Male,13.130439761300002
2006 Q3,Male,12.1330111422
2006 Q4,Male,11.9913498425
2007 Q1,Male,12.1960714656
2007 Q2,Male,12.2263245014
2007 Q3,Male,11.5917123327
2007 Q4,Male,11.310464453
2008 Q1,Male,11.2312705947
2008 Q2,Male,11.606509414100001
2008 Q3,Male,12.4788739756
2008 Q4,Male,12.2433867829
2009 Q1,Male,13.7754502257
2009 Q2,Male,14.268737415799999
2009 Q3,Male,14.0323812906
2009 Q4,Male,13.163004284300001
2010 Q1,Male,13.87785878
2010 Q2,Male,13.188736272
2010 Q3,Male,13.4675525043
2010 Q4,Male,14.4981534953
2011 Q1,Male,14.2545698639
2011 Q2,Male,14.4285408277
2011 Q3,Male,15.8656592769
2011 Q4,Male,15.625216423900001
2012 Q1,Male,15.362036771500001
2012 Q2,Male,15.433335393699998
2012 Q3,Male,13.8972152634
2012 Q4,Male,13.56594954
2013 Q1,Male,13.589138650599999
2013 Q2,Male,13.592879484600001
2013 Q3,Male,13.8882160031
2013 Q4,Male,13.5681468275
2014 Q1,Male,12.4024316868
2014 Q2,Male,12.2237489127
2014 Q3,Male,12.0315839834
2014 Q4,Male,11.3444347874
2015 Q1,Male,11.3606712502
2015 Q2,Male,11.507713356300002
2015 Q3,Male,10.6076297324
2015 Q4,Male,10.7427149549
2016 Q1,Male,11.1117087898
2016 Q2,Male,11.2795633898
2016 Q3,Male,11.656247076300001
2016 Q4,Male,11.4629957576
2017 Q1,Male,10.8764204906
2017 Q2,Male,10.7615345097
2017 Q3,Male,11.446110806300002
2017 Q4,Male,11.3256186125
2018 Q1,Male,11.2907607076
2018 Q2,Male,11.0187737214
2001 Q4,Female,15.3368751468
2002 Q1,Female,15.3201255096
2002 Q2,Female,15.4786423818
2002 Q3,Female,15.3479112021
2002 Q4,Female,15.0212467959
2003 Q1,Female,15.709789983
2003 Q2,Female,16.1524700545
2003 Q3,Female,15.5600398578
2003 Q4,Female,14.9381189366
2004 Q1,Female,14.5315091794
2004 Q2,Female,15.5216261102
2004 Q3,Female,16.0486642818
2004 Q4,Female,15.492071555699999
2005 Q1,Female,15.7172391192
2005 Q2,Female,15.861388460999999
2005 Q3,Female,15.1759151452
2005 Q4,Female,16.1137684343
2006 Q1,Female,16.0444395893
2006 Q2,Female,15.9925075447
2006 Q3,Female,16.429096123
2006 Q4,Female,15.6785878704
2007 Q1,Female,15.9532153754
2007 Q2,Female,15.9051463377
2007 Q3,Female,15.8584224901
2007 Q4,Female,15.5579383473
2008 Q1,Female,15.5789395799
2008 Q2,Female,16.0369373214
2008 Q3,Female,16.1062104405
2008 Q4,Female,16.0805585993
2009 Q1,Female,16.4966108549
2009 Q2,Female,16.837972550499998
2009 Q3,Female,16.8573928842
2009 Q4,Female,16.6056682956
2010 Q1,Female,17.0691488423
2010 Q2,Female,16.2188727302
2010 Q3,Female,17.1344434068
2010 Q4,Female,17.245021793699998
2011 Q1,Female,16.3495566237
2011 Q2,Female,17.198792068499998
2011 Q3,Female,17.9918102864
2011 Q4,Female,17.2887836898
2012 Q1,Female,17.1647644456
2012 Q2,Female,16.9771340116
2012 Q3,Female,16.1372875825
2012 Q4,Female,16.0047226003
2013 Q1,Female,16.5112554789
2013 Q2,Female,16.2300948707
2013 Q3,Female,15.968267454600001
2013 Q4,Female,14.894435717999999
2014 Q1,Female,14.463130646199998
2014 Q2,Female,14.2585688826
2014 Q3,Female,14.4710648575
2014 Q4,Female,15.445689021
2015 Q1,Female,14.3981934448
2015 Q2,Female,13.8562825725
2015 Q3,Female,12.8648966494
2015 Q4,Female,13.076549686300002
2016 Q1,Female,12.9556763049
2016 Q2,Female,12.223464583299998
2016 Q3,Female,12.13192228
2016 Q4,Female,11.6672056557
2017 Q1,Female,11.5614428125
2017 Q2,Female,11.457362011099999
2017 Q3,Female,10.813762085799999
2017 Q4,Female,11.1518618192
2018 Q1,Female,11.672165868599999
2018 Q2,Female,11.304032716099998
2018 Q3,,10.863680311400001
2018 Q3,Male,9.69943573799
2018 Q3,Female,12.081091224100001
