Year,Manufacturing industry,Observation status,Unit multiplier,Unit measure,Value
1990,Chemicals and chemical products,Undefined,Units,Percentage (%),5.23859779229
1990,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),4.588835962235089
1990,Weapons and ammunition,Undefined,Units,Percentage (%),0.8711029978037024
1990,"Computer, electronic and optical products",Undefined,Units,Percentage (%),7.191306084029779
1990,Electrical equipment,Undefined,Units,Percentage (%),2.943038877321088
1990,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),10.1645797084914
1990,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),6.595738612053967
1990,Other transport equipment,Undefined,Units,Percentage (%),2.1198551014004963
1990,Other,Undefined,Units,Percentage (%),0.08442910522262471
1990,,Undefined,Units,Percentage (%),39.797484240851134
1991,Chemicals and chemical products,Undefined,Units,Percentage (%),5.673273684147358
1991,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),4.971165559496162
1991,Weapons and ammunition,Undefined,Units,Percentage (%),0.8389291950960448
1991,"Computer, electronic and optical products",Undefined,Units,Percentage (%),7.284521816359719
1991,Electrical equipment,Undefined,Units,Percentage (%),2.9254505193799845
1991,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),9.609879921507911
1991,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),6.518203803385723
1991,Other transport equipment,Undefined,Units,Percentage (%),2.0949226180831846
1991,Other,Undefined,Units,Percentage (%),0.08341284557821904
1991,,Undefined,Units,Percentage (%),39.99975996303431
1992,Chemicals and chemical products,Undefined,Units,Percentage (%),5.856321079873662
1992,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),5.132762492644321
1992,Weapons and ammunition,Undefined,Units,Percentage (%),0.8022193133098753
1992,"Computer, electronic and optical products",Undefined,Units,Percentage (%),7.419327721000612
1992,Electrical equipment,Undefined,Units,Percentage (%),2.9416709699888317
1992,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),9.256145744514763
1992,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),6.421957751384068
1992,Other transport equipment,Undefined,Units,Percentage (%),2.0637932483877552
1992,Other,Undefined,Units,Percentage (%),0.08226350742773421
1992,,Undefined,Units,Percentage (%),39.976461828531626
1993,Chemicals and chemical products,Undefined,Units,Percentage (%),5.907584901195126
1993,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),5.175127203881198
1993,Weapons and ammunition,Undefined,Units,Percentage (%),0.7851141876700982
1993,"Computer, electronic and optical products",Undefined,Units,Percentage (%),7.726304579339723
1993,Electrical equipment,Undefined,Units,Percentage (%),3.025085788664064
1993,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),9.120222458880606
1993,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),6.232398532718022
1993,Other transport equipment,Undefined,Units,Percentage (%),2.0033132173707253
1993,Other,Undefined,Units,Percentage (%),0.07928055851378535
1993,,Undefined,Units,Percentage (%),40.05443142823334
1994,Chemicals and chemical products,Undefined,Units,Percentage (%),5.935784169735861
1994,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),5.2025668255869135
1994,Weapons and ammunition,Undefined,Units,Percentage (%),0.768240052421086
1994,"Computer, electronic and optical products",Undefined,Units,Percentage (%),8.315633685066768
1994,Electrical equipment,Undefined,Units,Percentage (%),3.209661748423978
1994,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),9.223964570576406
1994,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),6.139141830670854
1994,Other transport equipment,Undefined,Units,Percentage (%),1.9725693110694351
1994,Other,Undefined,Units,Percentage (%),0.07851865241656687
1994,,Undefined,Units,Percentage (%),40.84608084596786
1995,Chemicals and chemical products,Undefined,Units,Percentage (%),6.146487959512818
1995,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),5.384016461820811
1995,Weapons and ammunition,Undefined,Units,Percentage (%),0.7780434903509259
1995,"Computer, electronic and optical products",Undefined,Units,Percentage (%),8.775374005895111
1995,Electrical equipment,Undefined,Units,Percentage (%),3.344641566097548
1995,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),9.144652688949446
1995,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),6.08141927590234
1995,Other transport equipment,Undefined,Units,Percentage (%),1.9542850786941768
1995,Other,Undefined,Units,Percentage (%),0.07785996329458872
1995,,Undefined,Units,Percentage (%),41.686780490517776
1996,Chemicals and chemical products,Undefined,Units,Percentage (%),6.1346072163413
1996,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),5.376676246531667
1996,Weapons and ammunition,Undefined,Units,Percentage (%),0.7733764335321017
1996,"Computer, electronic and optical products",Undefined,Units,Percentage (%),9.151988879266119
1996,Electrical equipment,Undefined,Units,Percentage (%),3.4404770441795427
1996,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),8.932994268629711
1996,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),6.448481104130006
1996,Other transport equipment,Undefined,Units,Percentage (%),2.072450257332458
1996,Other,Undefined,Units,Percentage (%),0.08164030824732599
1996,,Undefined,Units,Percentage (%),42.41269175819024
1997,Chemicals and chemical products,Undefined,Units,Percentage (%),6.201176113184619
1997,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),5.445490842808784
1997,Weapons and ammunition,Undefined,Units,Percentage (%),0.7752148251019877
1997,"Computer, electronic and optical products",Undefined,Units,Percentage (%),9.257008940196163
1997,Electrical equipment,Undefined,Units,Percentage (%),3.457816161791511
1997,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),8.745985591528513
1997,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),6.6443885079420175
1997,Other transport equipment,Undefined,Units,Percentage (%),2.1352313167259793
1997,Other,Undefined,Units,Percentage (%),0.08462807047999306
1997,,Undefined,Units,Percentage (%),42.74694036975957
1998,Chemicals and chemical products,Undefined,Units,Percentage (%),6.200111479703659
1998,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),5.633513180039723
1998,Weapons and ammunition,Undefined,Units,Percentage (%),0.7170417832423276
1998,"Computer, electronic and optical products",Undefined,Units,Percentage (%),9.096419120392667
1998,Electrical equipment,Undefined,Units,Percentage (%),3.4910464480726464
1998,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),8.836660587595448
1998,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),6.938799807345755
1998,Other transport equipment,Undefined,Units,Percentage (%),2.2377115273260566
1998,Other,Undefined,Units,Percentage (%),0.1022799222889056
1998,,Undefined,Units,Percentage (%),43.25358385600718
1999,Chemicals and chemical products,Undefined,Units,Percentage (%),6.3649458618141015
1999,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),5.966799561931173
1999,Weapons and ammunition,Undefined,Units,Percentage (%),0.6544057747398292
1999,"Computer, electronic and optical products",Undefined,Units,Percentage (%),9.502101327693829
1999,Electrical equipment,Undefined,Units,Percentage (%),3.569289864533149
1999,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),8.377796600111136
1999,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),7.004245814878156
1999,Other transport equipment,Undefined,Units,Percentage (%),2.2664127449975453
1999,Other,Undefined,Units,Percentage (%),0.1186885988810902
1999,,Undefined,Units,Percentage (%),43.82468614958
2000,Chemicals and chemical products,Undefined,Units,Percentage (%),6.4759946148219605
2000,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),6.112389089714098
2000,Weapons and ammunition,Undefined,Units,Percentage (%),0.5846310410990851
2000,"Computer, electronic and optical products",Undefined,Units,Percentage (%),10.871063148633034
2000,Electrical equipment,Undefined,Units,Percentage (%),3.6265145813236086
2000,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),8.235188110205337
2000,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),6.529528372891778
2000,Other transport equipment,Undefined,Units,Percentage (%),2.3268633458068755
2000,Other,Undefined,Units,Percentage (%),0.13939978586496773
2000,,Undefined,Units,Percentage (%),44.90157209036074
2001,Chemicals and chemical products,Undefined,Units,Percentage (%),6.617777514932878
2001,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),7.150576078366012
2001,Weapons and ammunition,Undefined,Units,Percentage (%),0.6387131113608138
2001,"Computer, electronic and optical products",Undefined,Units,Percentage (%),10.093602653777706
2001,Electrical equipment,Undefined,Units,Percentage (%),3.5188361227748537
2001,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),8.49251877698267
2001,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),6.282829477577836
2001,Other transport equipment,Undefined,Units,Percentage (%),2.4193678460636887
2001,Other,Undefined,Units,Percentage (%),0.14193624696906973
2001,,Undefined,Units,Percentage (%),45.356157828805536
2002,Chemicals and chemical products,Undefined,Units,Percentage (%),6.61172050178777
2002,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),7.871148305061401
2002,Weapons and ammunition,Undefined,Units,Percentage (%),0.5344028736550402
2002,"Computer, electronic and optical products",Undefined,Units,Percentage (%),8.643002352474506
2002,Electrical equipment,Undefined,Units,Percentage (%),3.2890568615676186
2002,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),8.268920340915978
2002,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),6.990209959726959
2002,Other transport equipment,Undefined,Units,Percentage (%),2.091884238420812
2002,Other,Undefined,Units,Percentage (%),0.15040410774002674
2002,,Undefined,Units,Percentage (%),44.450749541350106
2003,Chemicals and chemical products,Undefined,Units,Percentage (%),6.466142115688943
2003,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),8.339696557219218
2003,Weapons and ammunition,Undefined,Units,Percentage (%),0.6816949415136726
2003,"Computer, electronic and optical products",Undefined,Units,Percentage (%),8.33582329050607
2003,Electrical equipment,Undefined,Units,Percentage (%),3.1063599039429857
2003,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),8.264997842037117
2003,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),7.218662505671568
2003,Other transport equipment,Undefined,Units,Percentage (%),2.143576463818156
2003,Other,Undefined,Units,Percentage (%),0.17927691643703728
2003,,Undefined,Units,Percentage (%),44.736230536834775
2004,Chemicals and chemical products,Undefined,Units,Percentage (%),6.597197698614062
2004,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),8.357464563763491
2004,Weapons and ammunition,Undefined,Units,Percentage (%),0.7785377832589929
2004,"Computer, electronic and optical products",Undefined,Units,Percentage (%),8.499263839011643
2004,Electrical equipment,Undefined,Units,Percentage (%),3.0739475071035463
2004,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),8.386802344849317
2004,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),7.215464270385683
2004,Other transport equipment,Undefined,Units,Percentage (%),2.1927274900441702
2004,Other,Undefined,Units,Percentage (%),0.1771132709996034
2004,,Undefined,Units,Percentage (%),45.27851876803051
2005,Chemicals and chemical products,Undefined,Units,Percentage (%),6.627666559940957
2005,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),8.925344461749686
2005,Weapons and ammunition,Undefined,Units,Percentage (%),0.8281191493056497
2005,"Computer, electronic and optical products",Undefined,Units,Percentage (%),8.016909693769572
2005,Electrical equipment,Undefined,Units,Percentage (%),3.006408969300983
2005,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),8.546558638541729
2005,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),7.0688597895513725
2005,Other transport equipment,Undefined,Units,Percentage (%),2.2374411878028795
2005,Other,Undefined,Units,Percentage (%),0.1649726221421478
2005,,Undefined,Units,Percentage (%),45.42228107210497
2006,Chemicals and chemical products,Undefined,Units,Percentage (%),6.59102471700513
2006,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),9.241319370839868
2006,Weapons and ammunition,Undefined,Units,Percentage (%),0.8860813159791412
2006,"Computer, electronic and optical products",Undefined,Units,Percentage (%),7.869801161656844
2006,Electrical equipment,Undefined,Units,Percentage (%),3.0663077118751856
2006,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),8.79297918344851
2006,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),6.627061516937298
2006,Other transport equipment,Undefined,Units,Percentage (%),2.6571840420570654
2006,Other,Undefined,Units,Percentage (%),0.11976936448043413
2006,,Undefined,Units,Percentage (%),45.85152838427948
2007,Chemicals and chemical products,Undefined,Units,Percentage (%),6.679285672858416
2007,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),8.802020447008081
2007,Weapons and ammunition,Undefined,Units,Percentage (%),0.9748973167915386
2007,"Computer, electronic and optical products",Undefined,Units,Percentage (%),7.826595873690428
2007,Electrical equipment,Undefined,Units,Percentage (%),3.104486425780735
2007,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),8.988669257253731
2007,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),6.924987214029242
2007,Other transport equipment,Undefined,Units,Percentage (%),2.6415551958494365
2007,Other,Undefined,Units,Percentage (%),0.12654156626823648
2007,,Undefined,Units,Percentage (%),46.06903896952985
2008,Chemicals and chemical products,Undefined,Units,Percentage (%),6.858069801381272
2008,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),9.226195320171657
2008,Weapons and ammunition,Undefined,Units,Percentage (%),0.9212089646978404
2008,"Computer, electronic and optical products",Undefined,Units,Percentage (%),7.552502943202964
2008,Electrical equipment,Undefined,Units,Percentage (%),3.12223650873738
2008,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),9.193101240756716
2008,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),6.756074933676209
2008,Other transport equipment,Undefined,Units,Percentage (%),2.607921963075688
2008,Other,Undefined,Units,Percentage (%),0.15841756047807382
2008,,Undefined,Units,Percentage (%),46.395729236177786
2009,Chemicals and chemical products,Undefined,Units,Percentage (%),6.524371423822978
2009,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),10.727937510387235
2009,Weapons and ammunition,Undefined,Units,Percentage (%),0.8624373798048387
2009,"Computer, electronic and optical products",Undefined,Units,Percentage (%),7.928725753223011
2009,Electrical equipment,Undefined,Units,Percentage (%),2.6561646762743654
2009,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),8.022507656876945
2009,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),5.222702343360479
2009,Other transport equipment,Undefined,Units,Percentage (%),3.0645314466155416
2009,Other,Undefined,Units,Percentage (%),0.1940929271825067
2009,,Undefined,Units,Percentage (%),45.203471117547906
2010,Chemicals and chemical products,Undefined,Units,Percentage (%),6.1409733141841825
2010,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),9.54751619257384
2010,Weapons and ammunition,Undefined,Units,Percentage (%),0.6272671022530526
2010,"Computer, electronic and optical products",Undefined,Units,Percentage (%),7.256430197376263
2010,Electrical equipment,Undefined,Units,Percentage (%),2.829797741838432
2010,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),9.16547930586225
2010,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),5.978621828895159
2010,Other transport equipment,Undefined,Units,Percentage (%),3.387242352166484
2010,Other,Undefined,Units,Percentage (%),0.3326502460817093
2010,,Undefined,Units,Percentage (%),45.265978281231384
2011,Chemicals and chemical products,Undefined,Units,Percentage (%),6.346406642594472
2011,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),8.071950346939115
2011,Weapons and ammunition,Undefined,Units,Percentage (%),0.6728011936258604
2011,"Computer, electronic and optical products",Undefined,Units,Percentage (%),6.997576140794605
2011,Electrical equipment,Undefined,Units,Percentage (%),2.6540426310797542
2011,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),9.715404540437405
2011,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),6.668663438552118
2011,Other transport equipment,Undefined,Units,Percentage (%),3.4438768435473763
2011,Other,Undefined,Units,Percentage (%),0.3616375748096133
2011,,Undefined,Units,Percentage (%),44.932359352380324
2012,Chemicals and chemical products,Undefined,Units,Percentage (%),6.3886613324954284
2012,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),7.694336277227277
2012,Weapons and ammunition,Undefined,Units,Percentage (%),0.7765595717700395
2012,"Computer, electronic and optical products",Undefined,Units,Percentage (%),7.101255737226605
