Year,Series,Convention,Observation status,Unit multiplier,Units,Value
2015,"Compliance with meeting  commitments and obligations in transmitting information as required by international multilateral environmental agreements on hazardous waste, and other chemicals",The Basel Convention,Normal value,Units,Percentage,100.0
2020,"Compliance with meeting  commitments and obligations in transmitting information as required by international multilateral environmental agreements on hazardous waste, and other chemicals",The Basel Convention,Normal value,Units,Percentage,100.0
2015,"Compliance with meeting  commitments and obligations in transmitting information as required by international multilateral environmental agreements on hazardous waste, and other chemicals",The Rotterdam Convention,Normal value,Units,Percentage,100.0
2020,"Compliance with meeting  commitments and obligations in transmitting information as required by international multilateral environmental agreements on hazardous waste, and other chemicals",The Rotterdam Convention,Normal value,Units,Percentage,96.55
2015,"Compliance with meeting  commitments and obligations in transmitting information as required by international multilateral environmental agreements on hazardous waste, and other chemicals",The Stockholm Convention,Normal value,Units,Percentage,100.0
2020,"Compliance with meeting  commitments and obligations in transmitting information as required by international multilateral environmental agreements on hazardous waste, and other chemicals",The Stockholm Convention,Normal value,Units,Percentage,87.5
2015,"Compliance with meeting  commitments and obligations in transmitting information as required by international multilateral environmental agreements on hazardous waste, and other chemicals",The Montreal Convention,Normal value,Units,Percentage,100.0
2020,"Compliance with meeting  commitments and obligations in transmitting information as required by international multilateral environmental agreements on hazardous waste, and other chemicals",The Montreal Convention,Normal value,Units,Percentage,100.0
2020,"Compliance with meeting  commitments and obligations in transmitting information as required by international multilateral environmental agreements on hazardous waste, and other chemicals",The Minamata Convention,Normal value,Units,Percentage,66.67
