Year,Status classification,Water body category,Country,Unit measure,Unit multiplier,Observation status,GeoCode,Value

2015,,,,Percentage (%),Units,Normal value,,35.19606898545139
2016,,,,Percentage (%),Units,Normal value,,34.871463913090246
2017,,,,Percentage (%),Units,Normal value,,35.11507851150785
2018,,,,Percentage (%),Units,Normal value,,35.41935483870968
2019,,,,Percentage (%),Units,Normal value,,35.8
2020,,,,Percentage (%),Units,Normal value,,35.66666666666667
2015,High,,,Percentage (%),Units,Normal value,,4.3164081318046055
2016,High,,,Percentage (%),Units,Normal value,,4.969344949983865
2017,High,,,Percentage (%),Units,Normal value,,4.872015487201549
2018,High,,,Percentage (%),Units,Normal value,,4.774193548387097
2019,High,,,Percentage (%),Units,Normal value,,4.827437909902161
2020,High,,,Percentage (%),Units,Normal value,,4.870967741935484
2015,Good,,,Percentage (%),Units,Normal value,,30.879660853646783
2016,Good,,,Percentage (%),Units,Normal value,,29.90211896310638
2017,Good,,,Percentage (%),Units,Normal value,,30.243063024306306
2018,Good,,,Percentage (%),Units,Normal value,,30.64516129032258
2019,Good,,,Percentage (%),Units,Normal value,,30.889151704117836
2020,Good,,,Percentage (%),Units,Normal value,,30.795698924731184
2015,,Rivers and canals,,Percentage (%),Units,Normal value,,31.471485566768365
2016,,Rivers and canals,,Percentage (%),Units,Normal value,,31.603584325264144
2017,,Rivers and canals,,Percentage (%),Units,Normal value,,31.488166867228237
2018,,Rivers and canals,,Percentage (%),Units,Normal value,,31.920866194359043
2019,,Rivers and canals,,Percentage (%),Units,Normal value,,32.01015771184175
2020,,Rivers and canals,,Percentage (%),Units,Normal value,,32.14810854163882
2015,High,Rivers and canals,,Percentage (%),Units,Normal value,,2.0769772353907534
2016,High,Rivers and canals,,Percentage (%),Units,Normal value,,2.407382640096295
2017,High,Rivers and canals,,Percentage (%),Units,Normal value,,2.4735927263003075
2018,High,Rivers and canals,,Percentage (%),Units,Normal value,,2.3927282448870475
2019,High,Rivers and canals,,Percentage (%),Units,Normal value,,2.4726009088479
2020,High,Rivers and canals,,Percentage (%),Units,Normal value,,2.5798690014703918
2015,Good,Rivers and canals,,Percentage (%),Units,Normal value,,29.39450833137761
2016,Good,Rivers and canals,,Percentage (%),Units,Normal value,,29.19620168516785
2017,Good,Rivers and canals,,Percentage (%),Units,Normal value,,29.01457414092793
2018,Good,Rivers and canals,,Percentage (%),Units,Normal value,,29.528137949471994
2019,Good,Rivers and canals,,Percentage (%),Units,Normal value,,29.53755680299385
2020,Good,Rivers and canals,,Percentage (%),Units,Normal value,,29.568239540168427
2015,,Lakes,,Percentage (%),Units,Normal value,,37.57961783439491
2016,,Lakes,,Percentage (%),Units,Normal value,,31.086142322097377
2017,,Lakes,,Percentage (%),Units,Normal value,,31.367041198501873
2018,,Lakes,,Percentage (%),Units,Normal value,,31.55430711610487
2019,,Lakes,,Percentage (%),Units,Normal value,,33.52059925093633
2020,,Lakes,,Percentage (%),Units,Normal value,,32.20973782771536
2015,High,Lakes,,Percentage (%),Units,Normal value,,9.463148316651502
2016,High,Lakes,,Percentage (%),Units,Normal value,,9.925093632958802
2017,High,Lakes,,Percentage (%),Units,Normal value,,10.112359550561797
2018,High,Lakes,,Percentage (%),Units,Normal value,,10.018726591760299
2019,High,Lakes,,Percentage (%),Units,Normal value,,10.018726591760299
2020,High,Lakes,,Percentage (%),Units,Normal value,,9.831460674157304
2015,Good,Lakes,,Percentage (%),Units,Normal value,,28.116469517743404
2016,Good,Lakes,,Percentage (%),Units,Normal value,,21.161048689138575
2017,Good,Lakes,,Percentage (%),Units,Normal value,,21.254681647940075
2018,Good,Lakes,,Percentage (%),Units,Normal value,,21.53558052434457
2019,Good,Lakes,,Percentage (%),Units,Normal value,,23.50187265917603

2020,Good,Lakes,,Percentage (%),Units,Normal value,,22.378277153558052
2015,,Estuaries and Coastal,,Percentage (%),Units,Normal value,,73.61477572559367
2016,,Estuaries and Coastal,,Percentage (%),Units,Normal value,,72.73936170212767
2017,,Estuaries and Coastal,,Percentage (%),Units,Normal value,,76.56458055925432
2018,,Estuaries and Coastal,,Percentage (%),Units,Normal value,,75.76564580559256
2019,,Estuaries and Coastal,,Percentage (%),Units,Normal value,,75.76564580559256

2020,,Estuaries and Coastal,,Percentage (%),Units,Normal value,,75.63249001331559
2015,High,Estuaries and Coastal,,Percentage (%),Units,Normal value,,22.03166226912929
2016,High,Estuaries and Coastal,,Percentage (%),Units,Normal value,,23.404255319148938
2017,High,Estuaries and Coastal,,Percentage (%),Units,Normal value,,21.304926764314246
2018,High,Estuaries and Coastal,,Percentage (%),Units,Normal value,,21.03861517976032
2019,High,Estuaries and Coastal,,Percentage (%),Units,Normal value,,20.905459387483354
2020,High,Estuaries and Coastal,,Percentage (%),Units,Normal value,,20.63914780292943
2015,Good,Estuaries and Coastal,,Percentage (%),Units,Normal value,,51.58311345646438
2016,Good,Estuaries and Coastal,,Percentage (%),Units,Normal value,,49.33510638297872
2017,Good,Estuaries and Coastal,,Percentage (%),Units,Normal value,,55.25965379494008
2018,Good,Estuaries and Coastal,,Percentage (%),Units,Normal value,,54.72703062583223
2019,Good,Estuaries and Coastal,,Percentage (%),Units,Normal value,,54.860186418109194
2020,Good,Estuaries and Coastal,,Percentage (%),Units,Normal value,,54.99334221038615
2018,,,England,Percentage (%),Units,Normal value,E92000001,16.0
2019,,,England,Percentage (%),Units,Normal value,E92000001,16.0
2020,,,England,Percentage (%),Units,Normal value,E92000001,16.0
2018,High,,England,Percentage (%),Units,Normal value,E92000001,0.0
2019,High,,England,Percentage (%),Units,Normal value,E92000001,0.0
