Year,Programme,Value
2016-17,VUP,4.9
2016-17,public works,1.8
2016-17,direct support,2.2
2016-17,Financial services,0.9
2016-17,RSSB Pension old grant,1.4
2016-17,FARG,1.2
2016-17,RDRC,0.1
2016-17,Health/Education payments,14.5
2016-17,Food Relief,6.8
2016-17,,21.4
