Year,Sex,Unit measure,Unit multiplier,Observation status,Value
2000,Male,GBP (£),Units,Undefined,288.7
2001,Male,GBP (£),Units,Undefined,300.0
2002,Male,GBP (£),Units,Undefined,335.9
2003,Male,GBP (£),Units,Undefined,342.5
2004,Male,GBP (£),Units,Undefined,350.4
2005,Male,GBP (£),Units,Undefined,356.6
2006,Male,GBP (£),Units,Undefined,370.8
2007,Male,GBP (£),Units,Undefined,410.7
2008,Male,GBP (£),Units,Undefined,438.0
2009,Male,GBP (£),Units,Undefined,459.8
2010,Male,GBP (£),Units,Undefined,409.5
2011,Male,GBP (£),Units,Undefined,411.8
2012,Male,GBP (£),Units,Undefined,403.0
2013,Male,GBP (£),Units,Undefined,443.1
2014,Male,GBP (£),Units,Undefined,424.2
2015,Male,GBP (£),Units,Undefined,432.2
2016,Male,GBP (£),Units,Undefined,446.7
2000,Female,GBP (£),Units,Undefined,178.2
2001,Female,GBP (£),Units,Undefined,179.9
2002,Female,GBP (£),Units,Undefined,195.6
2003,Female,GBP (£),Units,Undefined,203.1
2004,Female,GBP (£),Units,Undefined,217.2
2005,Female,GBP (£),Units,Undefined,218.3
2006,Female,GBP (£),Units,Undefined,222.3
2007,Female,GBP (£),Units,Undefined,223.6
2008,Female,GBP (£),Units,Undefined,229.5
2009,Female,GBP (£),Units,Undefined,272.5
2010,Female,GBP (£),Units,Undefined,255.5
2011,Female,GBP (£),Units,Undefined,231.6
2012,Female,GBP (£),Units,Undefined,256.6
2013,Female,GBP (£),Units,Undefined,264.8
2014,Female,GBP (£),Units,Undefined,270.6
2015,Female,GBP (£),Units,Undefined,280.1
2016,Female,GBP (£),Units,Undefined,290.1
2000,,GBP (£),Units,Undefined,259.6
2001,,GBP (£),Units,Undefined,269.6
2002,,GBP (£),Units,Undefined,297.7
2003,,GBP (£),Units,Undefined,306.2
2004,,GBP (£),Units,Undefined,316.4
2005,,GBP (£),Units,Undefined,318.5
2006,,GBP (£),Units,Undefined,325.6
2007,,GBP (£),Units,Undefined,362.1
2008,,GBP (£),Units,Undefined,373.5
2009,,GBP (£),Units,Undefined,406.8
2010,,GBP (£),Units,Undefined,361.8
2011,,GBP (£),Units,Undefined,359.9
2012,,GBP (£),Units,Undefined,355.5
2013,,GBP (£),Units,Undefined,384.8
2014,,GBP (£),Units,Undefined,373.2
2015,,GBP (£),Units,Undefined,380.2
2016,,GBP (£),Units,Undefined,391.6
