Year,Flow of Aid,Description,Value
2009,Bilateral,Higher education (11420),36278.29
2010,Bilateral,Higher education (11420),48894.601389999996
2011,Bilateral,Higher education (11420),36993.09236
2012,Bilateral,Higher education (11420),37966.162319999996
2013,Bilateral,Higher education (11420),50272.79513
2014,Bilateral,Higher education (11420),52317.875660000005
2015,Bilateral,Higher education (11420),93818.92693
2016,Bilateral,Higher education (11420),99736.91359
2010,Multilateral,Higher education (11420),35039.29055
2011,Multilateral,Higher education (11420),23986.25175
2012,Multilateral,Higher education (11420),31227.81231
2013,Multilateral,Higher education (11420),39257.26805
2014,Multilateral,Higher education (11420),38834.61501
2015,Multilateral,Higher education (11420),36921.54554
2016,Multilateral,Higher education (11420),41634.51827
2010,,Higher education (11420),83933.89194
2011,,Higher education (11420),60979.344110000005
2012,,Higher education (11420),69193.97463
2013,,Higher education (11420),89530.06318
2014,,Higher education (11420),91152.49067
2015,,Higher education (11420),130740.4725
2016,,Higher education (11420),141371.4319
2009,Bilateral,Advanced technical and managerial training (11430),642.2
2010,Bilateral,Advanced technical and managerial training (11430),10200.00447
2011,Bilateral,Advanced technical and managerial training (11430),10203.1162
2012,Bilateral,Advanced technical and managerial training (11430),17373.22324
2013,Bilateral,Advanced technical and managerial training (11430),25466.19275
2014,Bilateral,Advanced technical and managerial training (11430),22536.71656
2015,Bilateral,Advanced technical and managerial training (11430),28140.77025
2016,Bilateral,Advanced technical and managerial training (11430),12547.88507
2010,Multilateral,Advanced technical and managerial training (11430),1815.754393
2011,Multilateral,Advanced technical and managerial training (11430),1495.544066
2012,Multilateral,Advanced technical and managerial training (11430),1116.870761
2013,Multilateral,Advanced technical and managerial training (11430),1746.538505
2014,Multilateral,Advanced technical and managerial training (11430),1240.222036
2015,Multilateral,Advanced technical and managerial training (11430),802.4633531000001
2016,Multilateral,Advanced technical and managerial training (11430),927.6845802000001
2010,,Advanced technical and managerial training (11430),12015.75886
2011,,Advanced technical and managerial training (11430),11698.66027
2012,,Advanced technical and managerial training (11430),18490.093999999997
2013,,Advanced technical and managerial training (11430),27212.731260000004
2014,,Advanced technical and managerial training (11430),23776.9386
2015,,Advanced technical and managerial training (11430),28943.2336
2016,,Advanced technical and managerial training (11430),13475.56965
2009,Bilateral,,36920.49
2010,Bilateral,,59094.60586
2011,Bilateral,,47196.20856
2012,Bilateral,,55339.38556
2013,Bilateral,,75738.98788
2014,Bilateral,,74854.59222
2015,Bilateral,,121959.6972
2016,Bilateral,,112284.7987
2010,Multilateral,,36855.04494
2011,Multilateral,,25481.79582
2012,Multilateral,,32344.68307
2013,Multilateral,,41003.80655
2014,Multilateral,,40074.83705
2015,Multilateral,,37724.0089
2016,Multilateral,,42562.20285
2010,,,95949.6508
2011,,,72678.00438
2012,,,87684.06863
2013,,,116742.7944
2014,,,114929.4293
2015,,,159683.7061
2016,,,154847.0015
