Year,Units,Key performance indicator,Observation status,Unit multiplier,Unit measure,Value
2011/12 to 2017/18,Number of people (million),Number of people supported to cope with the effects of climate change,Undefined,Million,Number,47.0
2011/12 to 2017/18,Number of people (million),Number of people with improved access to clean energy,Undefined,Million,Number,17.0
2011/12 to 2017/18,Million tonnes of CO2 equivalent (mtCO2e),Greenhouse gas emissions reduced or avoided,Undefined,Million,Tonnes of CO2 equivalent (mtCO2e),10.4
2011/12 to 2017/18,Megawatts (MW),Level of installed capacity of clean energy,Undefined,Units,Megawatts (MW),590.0
2011/12 to 2017/18,GBP (£billion),Volume of public finance mobilised for climate change purposes,Undefined,Billion,GBP (£),3.3
2011/12 to 2017/18,GBP (£million),Volume of private finance mobilised for climate change purposes,Undefined,Million,GBP (£),910.0
2011/12 to 2016/17,Number of people (million),Number of people supported to cope with the effects of climate change,Undefined,Million,Number,34.0
2011/12 to 2016/17,Number of people (million),Number of people with improved access to clean energy,Undefined,Million,Number,12.0
2011/12 to 2016/17,Million tonnes of CO2 equivalent (mtCO2e),Greenhouse gas emissions reduced or avoided,Undefined,Million,Tonnes of CO2 equivalent (mtCO2e),9.2
2011/12 to 2016/17,Megawatts (MW),Level of installed capacity of clean energy,Undefined,Units,Megawatts (MW),400.0
2011/12 to 2016/17,GBP (£billion),Volume of public finance mobilised for climate change purposes,Undefined,Billion,GBP (£),2.2
2011/12 to 2016/17,GBP (£million),Volume of private finance mobilised for climate change purposes,Undefined,Million,GBP (£),500.0
2011/12 to 2015/16,Number of people (million),Number of people supported to cope with the effects of climate change,Undefined,Million,Number,21.0
2011/12 to 2015/16,Number of people (million),Number of people with improved access to clean energy,Undefined,Million,Number,6.6
2011/12 to 2015/16,Million tonnes of CO2 equivalent (mtCO2e),Greenhouse gas emissions reduced or avoided,Undefined,Million,Tonnes of CO2 equivalent (mtCO2e),4.9
2011/12 to 2015/16,Megawatts (MW),Level of installed capacity of clean energy,Undefined,Units,Megawatts (MW),230.0
2011/12 to 2015/16,GBP (£billion),Volume of public finance mobilised for climate change purposes,Undefined,Billion,GBP (£),1.4
2011/12 to 2015/16,GBP (£million),Volume of private finance mobilised for climate change purposes,Undefined,Million,GBP (£),310.0
