Year,Observation status,Unit multiplier,Unit measure,Value
2000,Undefined,Units,Percentage (%),2.25904562839291
2001,Undefined,Units,Percentage (%),2.26700330401954
2002,Undefined,Units,Percentage (%),2.31695809455524
2003,Undefined,Units,Percentage (%),2.3328948138013703
2004,Undefined,Units,Percentage (%),2.44429447930232
2005,Undefined,Units,Percentage (%),2.44447448574062
2006,Undefined,Units,Percentage (%),2.44451924642601
2007,Undefined,Units,Percentage (%),2.53023577940036
2008,Undefined,Units,Percentage (%),2.60365284148607
2009,Undefined,Units,Percentage (%),2.9958846336752405
2010,Undefined,Units,Percentage (%),3.23165791486808
2011,Undefined,Units,Percentage (%),5.9228558515386
2012,Undefined,Units,Percentage (%),7.745304722494541
2013,Undefined,Units,Percentage (%),11.345070239534099
2014,Undefined,Units,Percentage (%),12.6668819768513
2015,Undefined,Units,Percentage (%),21.4648046292855
2016,Undefined,Units,Percentage (%),21.486075918116498
2017,Undefined,Units,Percentage (%),24.507151051199102
