Year,GeoCode,Geography,Location,Place of access,Sex,Value
2012,AFRRWA003,West,Rural,Other,,0.4
2012,AFRRWA004,North,Rural,Other,,0.4
2012,,,Rural,Other,,0.5
2012,AFRRWA002,South,Rural,Other,,0.5
2012,AFRRWA005,East,Rural,Other,,0.5
2012,AFRRWA002,South,Rural,Home,,0.6
2012,AFRRWA003,West,Rural,Home,,0.6
2012,,,Rural,Home,,0.7
2012,AFRRWA005,East,Rural,Home,,0.7
2012,AFRRWA004,North,Rural,Home,,0.7
2012,AFRRWA003,West,Rural,Cyber Cafe,,0.9
2012,AFRRWA001,Kigali City,Rural,Other,,0.9
2012,AFRRWA005,East,Rural,Cyber Cafe,,1
2012,AFRRWA003,West,Rural,Office/Schools,,1
2012,,,Rural,Cyber Cafe,,1.1
2012,AFRRWA005,East,Rural,Cyber Cafe,,1.1
2012,AFRRWA002,South,Rural,Cyber Cafe,,1.1
2012,AFRRWA004,North,Rural,Cyber Cafe,,1.1
2012,,,Rural,Office/Schools,,1.2
2012,AFRRWA002,South,Rural,Office/Schools,,1.2
2012,AFRRWA001,Kigali City,Rural,Home,,1.3
2012,AFRRWA004,North,Rural,Office/Schools,,1.3
2012,AFRRWA003,West,Rural,,Female,1.7
2012,AFRRWA001,Kigali City,Rural,Office/Schools,,1.8
2012,AFRRWA004,North,Urban,Office/Schools,,10.9
2012,AFRRWA003,West,Urban,,Female,11.4
2012,AFRRWA002,South,Urban,Office/Schools,,12.8
2012,,,Urban,Home,,13.2
2012,AFRRWA005,East,Urban,,Female,13.4
2012,AFRRWA004,North,Urban,Cyber Cafe,,14.6
2012,,,Urban,Office/Schools,,14.7
2012,AFRRWA004,North,Urban,,Female,15.4
2012,AFRRWA002,South,Urban,Cyber Cafe,,16.1
2012,,,Urban,Cyber Cafe,,16.4
2012,AFRRWA003,West,Urban,,Male,16.7
2012,AFRRWA005,East,Urban,,Male,17.6
2012,AFRRWA001,Kigali City,Urban,Home,,18.5
2012,AFRRWA002,South,Urban,,Female,18.5
2012,AFRRWA001,Kigali City,Urban,Office/Schools,,19.4
2012,,,Rural,,Female,2.1
2012,AFRRWA003,West,Rural,,Male,2.1
2012,AFRRWA004,North,Rural,,Female,2.1
2012,AFRRWA002,South,Rural,,Female,2.2
2012,AFRRWA005,East,Rural,,Female,2.2
2012,AFRRWA005,East,Rural,,Male,2.2
2012,,,Rural,,Male,2.3
2012,AFRRWA002,South,Rural,,Male,2.3
2012,AFRRWA003,West,Urban,Other,,2.3
2012,AFRRWA001,Kigali City,Rural,Cyber Cafe,,2.4
2012,AFRRWA004,North,Rural,,Male,2.4
2012,AFRRWA004,North,Urban,Other,,2.8
2012,AFRRWA001,Kigali City,Urban,Cyber Cafe,,20.3
2012,AFRRWA004,North,Urban,,Male,23.1
2012,,,Urban,,Female,24.1
2012,AFRRWA002,South,Urban,,Male,26.6
2012,AFRRWA001,Kigali City,,,,28.3
2014,,,,,,28.3
2012,,,Urban,,Male,29
2012,AFRRWA005,East,,,,3.3
2012,AFRRWA005,East,Urban,Other,,3.3
2012,AFRRWA003,West,,,,3.6
2012,AFRRWA004,North,,,,3.9
2012,AFRRWA001,Kigali City,Urban,,Female,35.5
2012,AFRRWA001,Kigali City,Urban,,Male,36.2
2012,AFRRWA001,Kigali City,Rural,,Female,4.1
2012,AFRRWA002,South,,,,4.1
2012,AFRRWA001,Kigali City,Rural,,Male,4.4
2012,AFRRWA002,South,Urban,Other,,4.5
2012,,,Urban,Other,,4.6
2012,AFRRWA003,West,Urban,Other,,5.8
2012,AFRRWA001,Kigali City,Urban,Other,,5.8
2012,AFRRWA005,East,Urban,Other,,6.4
2012,,,,,,6.6
2012,AFRRWA003,West,Urban,Office/Schools,,6.9
2012,AFRRWA005,East,Urban,Office/Schools,,8.4
2012,AFRRWA004,North,Urban,Home,,8.7
2012,AFRRWA005,East,Urban,Cyber Cafe,,9.5
2012,AFRRWA003,West,Urban,Cyber Cafe,,9.5
2012,AFRRWA002,South,Urban,Home,,9.8
