Year,Series,Units,Observation status,Unit Multiplier,Value
2000,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,71.91938
2001,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,77.06719
2002,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,77.20172
2003,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.51283000000001
2004,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.51283000000001
2005,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.5154
2006,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.51737
2007,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.61799
2008,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.74688
2009,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.74688
2010,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.74688
2011,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.75
2012,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.75035
2013,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.75035
2014,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.75038
2015,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.75038
2016,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.75038
2017,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.75046
2018,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.75046
2019,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.75046
2020,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.75046
2021,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.75046
2022,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.75046
