Year,Gas,Observation status,Unit multiplier,Unit measure,Value
1990,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),605.418183995
1991,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),612.3567178204788
1992,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),595.9168794067266
1993,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),581.1291753465596
1994,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),575.1023972718543
1995,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),567.2037880254117
1996,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),586.7066175120185
1997,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),561.9660112034063
1998,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),566.8484987965911
1999,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),560.2602970118872
2000,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),567.4483963047177
2001,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),576.019891731858
2002,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),557.5702765696625
2003,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),568.8220098180432
2004,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),569.7616442162166
2005,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),566.1569156606569
2006,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),563.2249247570182
2007,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),554.2003933218626
2008,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),539.0751186342801
2009,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),488.3350780732935
2010,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),506.1056342560409
2011,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),463.2779448476148
2012,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),481.2113323885321
2013,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),471.21714675571405
2014,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),432.2183687588042
2015,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),416.20517801931004
2016,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),393.3994350138922
2017,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),381.09884585611087
2018,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),374.0240935135435
2019,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),359.32467777255766
2020,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),321.0876561840149
1990,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),134.06653125469967
1991,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),134.8220214315324
1992,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),134.69350768881526
1993,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),133.254072894233
1994,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),126.39121100157381
1995,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),128.03469472268452
1996,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),127.27284239219979
1997,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),124.84460255244441
1998,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),121.43355414065303
1999,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),115.90998288469373
2000,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),110.67063682113616
2001,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),105.9176027976025
2002,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),103.51739136826846
2003,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),98.63798174251926
2004,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),94.11983056508137
2005,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),89.7011421782431
2006,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),85.43067160270795
2007,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),81.61782186498333
2008,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),75.82575642578226
2009,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),71.48368592335295
2010,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),66.81143975381099
2011,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),64.16817215473688
2012,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),62.5580509366647
2013,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),58.39834165873857
2014,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),56.41543553064892
2015,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),55.448704285357564
2016,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),53.68871843772896
2017,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),54.08473262051996
2018,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),53.61660549842111
2019,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),53.35512371668949
2020,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),51.262203656504106
1990,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),49.52356387711021
1991,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),49.74343400236894
1992,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),44.7916509576402
1993,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),40.53211356680035
1994,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),41.15338537403313
1995,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),39.79947999479408
1996,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),39.852079860928754
1997,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),40.19781795229474
1998,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),40.18679196783405
1999,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),30.628973228119612
2000,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),29.979862630762383
2001,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),28.539448465276426
2002,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),26.811626452251136
2003,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),26.352575564336984
2004,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),26.909325610111264
2005,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),25.995756481906284
2006,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),24.821923806765664
2007,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),24.84474491160413
2008,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),24.003973285508266
2009,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),22.520170088901608
2010,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),22.936600343428374
2011,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),22.03004051563122
2012,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),21.75078388222893
2013,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),21.83623283185825
2014,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),22.34545953329306
2015,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),21.99639746502516
2016,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),21.68564066883078
2017,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),22.150068045002996
2018,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),22.00649761775834
2019,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),22.008597891643955
2020,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),20.918887137018377
1990,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),14.40067367159276
1991,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),15.010084098445041
1992,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),15.627894089310638
