Year,Country,Region,Sex,Age,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2011,,,,,Undefined,Units,"Rate per 100,000 population",,3.0970933226099997
2012,,,,,Undefined,Units,"Rate per 100,000 population",,2.8286620381467524
2013,,,,,Undefined,Units,"Rate per 100,000 population",,2.76106690994838
2014,,,,,Undefined,Units,"Rate per 100,000 population",,2.8701133456369448
2015,,,,,Undefined,Units,"Rate per 100,000 population",,2.7706942988234347
2016,,,,,Undefined,Units,"Rate per 100,000 population",,2.8332903820728634
2017,,,,,Undefined,Units,"Rate per 100,000 population",,2.8104081831696863
2018,,,,,Undefined,Units,"Rate per 100,000 population",,2.7680962978405392
2011,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",K03000001,3.092523873153683
2012,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",K03000001,2.8344544780470047
2013,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",K03000001,2.750661495551516
2014,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",K03000001,2.8284033651849265
2015,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",K03000001,2.734814102908336
2016,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",K03000001,2.809397566550623
2017,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",K03000001,2.7941669077603115
2018,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",K03000001,2.7635816755883837
2011,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,3.0014780113773343
2012,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,2.7872425943609205
2013,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,2.6547448449542688
2014,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,2.7100361808240705
2015,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,2.6703743070784802
2016,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,2.7104258956623184
2017,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,2.776008312203128
2018,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,2.717178775964733
2011,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,3.949398092146964
2012,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,3.02530816667301
2013,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,3.601076040451439
2014,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,3.331138447288453
2015,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,3.3880957159627063
2016,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,3.308546006456483
2017,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,3.2958259803882357
2018,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,3.2816855501650237
2011,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,3.5095001792486653
2012,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,3.1993375489310454
2013,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,3.228410008071025
2014,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,3.7399955120053847
2015,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,3.0150753768844223
2016,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,3.5339611819342425
2017,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,2.691343459666716
2018,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,2.942204078630404
2011,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,3.2519106352910567
2012,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,2.632107100437917
2013,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,3.1152222328491983
2014,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,4.292316536067956
2015,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,3.996498203466044
2016,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,3.6517184288803666
2017,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,3.367482096220188
2018,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,2.922980526040833
2011,England,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,2.233826996261421
2012,England,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,2.958822035308353
2013,England,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,2.9112494124830546
2014,England,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,2.17662261487985
2015,England,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,2.3622836272026864
2016,England,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,2.123956369384838
2017,England,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,2.193042987045544
2018,England,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,1.9564251447284315
2011,England,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,2.976206926313793
2012,England,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,2.3290380226043728
2013,England,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,2.0975610854836386
2014,England,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,2.565531094377057
2015,England,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,2.4668377564988635
2016,England,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,2.5747647308727166
2017,England,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,2.300710588930937
2018,England,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,2.6604158778556446
2011,England,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,3.2714270910470304
2012,England,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,2.7083466164569296
2013,England,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,3.091080079581262
2014,England,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,2.9476968506471035
2015,England,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,2.764270266970996
2016,England,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,2.543605320927421
2017,England,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,2.9357097904086693
2018,England,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,3.3214012298309283
2011,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,4.121259351071351
2012,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,3.7217057321711686
2013,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,3.2184072015775413
2014,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,3.644307796080062
2015,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,3.719995510350246
2016,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,4.041994417392004
2017,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,3.8141814619883285
2018,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,4.079806850287117
2011,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,3.387614204943884
2012,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,3.119039378403807
2013,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,2.7488841468679457
2014,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,2.7304045776983004
2015,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,2.8323039732880724
2016,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,2.6674592175602108
2017,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,3.2589930291674762
2018,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,2.931827221490395
2011,England,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,3.3945037696049654
2012,England,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,3.1663176944330718
2013,England,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,2.9906245600169625
2014,England,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,3.1243508247122853
2015,England,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,3.1929058240906394
2016,England,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,3.4752786137390985
2017,England,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,3.242315064833332
2018,England,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,2.7413987003190017
2011,England,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,1.9379828426356716
2012,England,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,1.6247769091038415
2013,England,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,1.5800494638642688
2014,England,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,1.5106451297854957
2015,England,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,1.5691830902061052
2016,England,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,1.3227424236221728
2017,England,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,1.4844190952499607
2018,England,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,1.2572853794212244
2011,England,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,2.981699300479476
2012,England,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,2.6705091434565422
2013,England,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,2.672533655159457
2014,England,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,2.783410647165513
2015,England,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,2.625876707602036
2016,England,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,3.100656043449936
2017,England,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,2.9402614850522943
2018,England,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,2.8247273125402015
