Year,Series,Unit multiplier,Unit measure,Observation status,Value
2000,Proportion of small-scale industries in total industry value added (%),Units,Percentage (%),Normal value,14.0
2001,Proportion of small-scale industries in total industry value added (%),Units,Percentage (%),Normal value,13.94
2002,Proportion of small-scale industries in total industry value added (%),Units,Percentage (%),Normal value,13.18
2003,Proportion of small-scale industries in total industry value added (%),Units,Percentage (%),Normal value,13.44
2004,Proportion of small-scale industries in total industry value added (%),Units,Percentage (%),Normal value,13.72
2005,Proportion of small-scale industries in total industry value added (%),Units,Percentage (%),Normal value,14.37
2006,Proportion of small-scale industries in total industry value added (%),Units,Percentage (%),Normal value,12.96
2007,Proportion of small-scale industries in total industry value added (%),Units,Percentage (%),Normal value,13.3
2008,Proportion of small-scale industries in total industry value added (%),Units,Percentage (%),Normal value,12.77
2009,Proportion of small-scale industries in total industry value added (%),Units,Percentage (%),Normal value,12.28
2010,Proportion of small-scale industries in total industry value added (%),Units,Percentage (%),Normal value,11.84
2011,Proportion of small-scale industries in total industry value added (%),Units,Percentage (%),Normal value,12.07
2012,Proportion of small-scale industries in total industry value added (%),Units,Percentage (%),Normal value,11.99
2013,Proportion of small-scale industries in total industry value added (%),Units,Percentage (%),Normal value,12.29
2014,Proportion of small-scale industries in total industry value added (%),Units,Percentage (%),Normal value,12.22
2015,Proportion of small-scale industries in total industry value added (%),Units,Percentage (%),Normal value,12.4
2016,Proportion of small-scale industries in total industry value added (%),Units,Percentage (%),Normal value,13.07
2017,Proportion of small-scale industries in total industry value added (%),Units,Percentage (%),Normal value,12.45
2018,Proportion of small-scale industries in total industry value added (%),Units,Percentage (%),Normal value,12.86
2019,Proportion of small-scale industries in total industry value added (%),Units,Percentage (%),Normal value,12.6
