Year,Import type,Unit measure,Unit multiplier,Observation status,Value
2017,Butterflies,Number of times seized,Units,Normal value,1.0
2018,Butterflies,Number of times seized,Units,Normal value,8.0
2019,Butterflies,Number of times seized,Units,Normal value,4.0
2020,Butterflies,Number of times seized,Units,Normal value,1.0
2021,Butterflies,Number of times seized,Units,Normal value,0.0
2013,Caviar and caviar extract,Number of times seized,Units,Normal value,24.0
2014,Caviar and caviar extract,Number of times seized,Units,Normal value,22.0
2015,Caviar and caviar extract,Number of times seized,Units,Normal value,31.0
2016,Caviar and caviar extract,Number of times seized,Units,Normal value,20.0
2017,Caviar and caviar extract,Number of times seized,Units,Normal value,28.0
2018,Caviar and caviar extract,Number of times seized,Units,Normal value,41.0
2019,Caviar and caviar extract,Number of times seized,Units,Normal value,27.0
2020,Caviar and caviar extract,Number of times seized,Units,Normal value,11.0
2021,Caviar and caviar extract,Number of times seized,Units,Normal value,32.0
2013,Ivory and items containing Ivory,Number of times seized,Units,Normal value,43.0
2014,Ivory and items containing Ivory,Number of times seized,Units,Normal value,40.0
2015,Ivory and items containing Ivory,Number of times seized,Units,Normal value,183.0
2016,Ivory and items containing Ivory,Number of times seized,Units,Normal value,161.0
2017,Ivory and items containing Ivory,Number of times seized,Units,Normal value,176.0
2018,Ivory and items containing Ivory,Number of times seized,Units,Normal value,108.0
2019,Ivory and items containing Ivory,Number of times seized,Units,Normal value,54.0
2020,Ivory and items containing Ivory,Number of times seized,Units,Normal value,47.0
2021,Ivory and items containing Ivory,Number of times seized,Units,Normal value,89.0
2013,Live animals and birds,Number of times seized,Units,Normal value,14.0
2014,Live animals and birds,Number of times seized,Units,Normal value,23.0
2015,Live animals and birds,Number of times seized,Units,Normal value,13.0
2016,Live animals and birds,Number of times seized,Units,Normal value,12.0
2017,Live animals and birds,Number of times seized,Units,Normal value,13.0
2018,Live animals and birds,Number of times seized,Units,Normal value,12.0
2019,Live animals and birds,Number of times seized,Units,Normal value,10.0
2020,Live animals and birds,Number of times seized,Units,Normal value,9.0
2021,Live animals and birds,Number of times seized,Units,Normal value,13.0
2013,Live coral and coral derivatives,Number of times seized,Units,Normal value,18.0
2014,Live coral and coral derivatives,Number of times seized,Units,Normal value,14.0
2015,Live coral and coral derivatives,Number of times seized,Units,Normal value,22.0
2016,Live coral and coral derivatives,Number of times seized,Units,Normal value,16.0
2017,Live coral and coral derivatives,Number of times seized,Units,Normal value,21.0
2018,Live coral and coral derivatives,Number of times seized,Units,Normal value,7.0
2019,Live coral and coral derivatives,Number of times seized,Units,Normal value,11.0
2020,Live coral and coral derivatives,Number of times seized,Units,Normal value,10.0
2021,Live coral and coral derivatives,Number of times seized,Units,Normal value,10.0
2013,Live plants,Number of times seized,Units,Normal value,6.0
2014,Live plants,Number of times seized,Units,Normal value,6.0
2015,Live plants,Number of times seized,Units,Normal value,45.0
2016,Live plants,Number of times seized,Units,Normal value,36.0
2017,Live plants,Number of times seized,Units,Normal value,37.0
2018,Live plants,Number of times seized,Units,Normal value,82.0
2019,Live plants,Number of times seized,Units,Normal value,67.0
2020,Live plants,Number of times seized,Units,Normal value,20.0
2021,Live plants,Number of times seized,Units,Normal value,23.0
2013,Parts or derivatives of animals or birds,Number of times seized,Units,Normal value,128.0
2014,Parts or derivatives of animals or birds,Number of times seized,Units,Normal value,140.0
2015,Parts or derivatives of animals or birds,Number of times seized,Units,Normal value,180.0
2016,Parts or derivatives of animals or birds,Number of times seized,Units,Normal value,220.0
2017,Parts or derivatives of animals or birds,Number of times seized,Units,Normal value,168.0
2018,Parts or derivatives of animals or birds,Number of times seized,Units,Normal value,167.0
2019,Parts or derivatives of animals or birds,Number of times seized,Units,Normal value,189.0
2020,Parts or derivatives of animals or birds,Number of times seized,Units,Normal value,180.0
2021,Parts or derivatives of animals or birds,Number of times seized,Units,Normal value,328.0
2013,Parts or derivatives of plants,Number of times seized,Units,Normal value,15.0
2014,Parts or derivatives of plants,Number of times seized,Units,Normal value,35.0
2015,Parts or derivatives of plants,Number of times seized,Units,Normal value,27.0
2016,Parts or derivatives of plants,Number of times seized,Units,Normal value,69.0
2017,Parts or derivatives of plants,Number of times seized,Units,Normal value,171.0
2018,Parts or derivatives of plants,Number of times seized,Units,Normal value,189.0
2019,Parts or derivatives of plants,Number of times seized,Units,Normal value,247.0
2020,Parts or derivatives of plants,Number of times seized,Units,Normal value,211.0
2021,Parts or derivatives of plants,Number of times seized,Units,Normal value,43.0
2013,Preparations of Oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Normal value,187.0
2014,Preparations of Oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Normal value,210.0
2015,Preparations of Oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Normal value,334.0
2016,Preparations of Oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Normal value,141.0
2017,Preparations of Oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Normal value,69.0
2018,Preparations of Oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Normal value,82.0
2019,Preparations of Oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Normal value,79.0
2020,Preparations of Oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Normal value,25.0
2021,Preparations of Oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Normal value,77.0
2013,Timber or wood products,Number of times seized,Units,Normal value,142.0
2014,Timber or wood products,Number of times seized,Units,Normal value,33.0
2015,Timber or wood products,Number of times seized,Units,Normal value,26.0
2016,Timber or wood products,Number of times seized,Units,Normal value,18.0
2017,Timber or wood products,Number of times seized,Units,Normal value,401.0
2018,Timber or wood products,Number of times seized,Units,Normal value,433.0
2019,Timber or wood products,Number of times seized,Units,Normal value,117.0
2020,Timber or wood products,Number of times seized,Units,Normal value,100.0
2021,Timber or wood products,Number of times seized,Units,Normal value,105.0
2013,,Number of times seized,Units,Normal value,569.0
2014,,Number of times seized,Units,Normal value,512.0
2015,,Number of times seized,Units,Normal value,858.0
2016,,Number of times seized,Units,Normal value,689.0
2017,,Number of times seized,Units,Normal value,1076.0
2018,,Number of times seized,Units,Normal value,1116.0
2019,,Number of times seized,Units,Normal value,792.0
2020,,Number of times seized,Units,Normal value,607.0
2021,,Number of times seized,Units,Normal value,714.0
