Year,Series,Renewable and waste source,Observation status,Unit multiplier,Units,Value
1992,Renewable energy share in the total final energy consumption,Sewage gas,Normal,Units,Percentage (%),0.06624986289349566
1992,Renewable energy share in the total final energy consumption,Biogas from autogen,Normal,Units,Percentage (%),0.0
1992,Renewable energy share in the total final energy consumption,Municipal solid waste (MSW),Normal,Units,Percentage (%),0.09213557091148403
1992,Renewable energy share in the total final energy consumption,Poultry litter,Normal,Units,Percentage (%),0.007019853021827355
1992,Renewable energy share in the total final energy consumption,Straw,Normal,Units,Percentage (%),0.003071185697049468
1992,Renewable energy share in the total final energy consumption,Wood,Normal,Units,Percentage (%),0.25183722715805634
1992,Renewable energy share in the total final energy consumption,Charcoal,Normal,Units,Percentage (%),0.014478446857518921
1992,Renewable energy share in the total final energy consumption,Liquid bio-fuels,Normal,Units,Percentage (%),0.0
1992,Renewable energy share in the total final energy consumption,Bioethanol,Normal,Units,Percentage (%),0.0
1992,Renewable energy share in the total final energy consumption,Biodiesel,Normal,Units,Percentage (%),0.0
1992,Renewable energy share in the total final energy consumption,Biomass,Normal,Units,Percentage (%),0.02851815290117363
1992,Renewable energy share in the total final energy consumption,Cross-boundary Adjustment,Normal,Units,Percentage (%),0.0
1993,Renewable energy share in the total final energy consumption,Hydroelectric power,Normal,Units,Percentage (%),0.1604760500338301
1993,Renewable energy share in the total final energy consumption,"Wind, wave, tidal",Normal,Units,Percentage (%),0.008240662028764249
1993,Renewable energy share in the total final energy consumption,Solar photovoltaic,Normal,Units,Percentage (%),0.0
1993,Renewable energy share in the total final energy consumption,Geothermal aquifers,Normal,Units,Percentage (%),0.00043371905414548676
1993,Renewable energy share in the total final energy consumption,Landfill gas,Normal,Units,Percentage (%),0.07026248677156886
1993,Renewable energy share in the total final energy consumption,Sewage gas,Normal,Units,Percentage (%),0.0685276105549869
1993,Renewable energy share in the total final energy consumption,Biogas from autogen,Normal,Units,Percentage (%),0.0
1993,Renewable energy share in the total final energy consumption,Municipal solid waste (MSW),Normal,Units,Percentage (%),0.11623670651099045
1993,Renewable energy share in the total final energy consumption,Poultry litter,Normal,Units,Percentage (%),0.018649919328255927
1993,Renewable energy share in the total final energy consumption,Straw,Normal,Units,Percentage (%),0.003036033379018407
1993,Renewable energy share in the total final energy consumption,Wood,Normal,Units,Percentage (%),0.2758453184365296
1993,Renewable energy share in the total final energy consumption,Charcoal,Normal,Units,Percentage (%),0.014746447840946551
1993,Renewable energy share in the total final energy consumption,Liquid bio-fuels,Normal,Units,Percentage (%),0.0
1993,Renewable energy share in the total final energy consumption,Bioethanol,Normal,Units,Percentage (%),0.0
