Year,Region,County,Local authority,Age,GeoCode,Value
2015,,,,2,,58.0
2016,,,,2,,68.0
2017,,,,2,,71.0
2018,,,,2,,72.0
2011,,,,3,,92.0
2012,,,,3,,93.0
2013,,,,3,,93.0
2014,,,,3,,93.0
2015,,,,3,,93.0
2016,,,,3,,93.0
2017,,,,3,,93.0
2018,,,,3,,92.0
2011,,,,4,,96.0
2012,,,,4,,97.0
2013,,,,4,,98.0
2014,,,,4,,98.0
2015,,,,4,,97.0
2016,,,,4,,96.0
2017,,,,4,,95.0
2018,,,,4,,95.0
2011,,,,3 to 4,,94.0
2012,,,,3 to 4,,95.0
2013,,,,3 to 4,,95.0
2014,,,,3 to 4,,95.0
2015,,,,3 to 4,,95.0
2016,,,,3 to 4,,95.0
2017,,,,3 to 4,,94.0
2018,,,,3 to 4,,94.0
2015,North East,,,2,E12000001,65.0
2016,North East,,,2,E12000001,78.0
2017,North East,,,2,E12000001,81.0
2018,North East,,,2,E12000001,84.0
2011,North East,,,3,E12000001,96.0
2012,North East,,,3,E12000001,97.0
2013,North East,,,3,E12000001,96.0
2014,North East,,,3,E12000001,95.0
2015,North East,,,3,E12000001,96.0
2016,North East,,,3,E12000001,96.0
2017,North East,,,3,E12000001,97.0
2018,North East,,,3,E12000001,98.0
2011,North East,,,4,E12000001,99.0
2012,North East,,,4,E12000001,99.0
2013,North East,,,4,E12000001,100.0
2014,North East,,,4,E12000001,99.0
2015,North East,,,4,E12000001,99.0
2016,North East,,,4,E12000001,99.0
2017,North East,,,4,E12000001,98.0
2018,North East,,,4,E12000001,99.0
2011,North East,,,3 to 4,E12000001,98.0
2012,North East,,,3 to 4,E12000001,98.0
2013,North East,,,3 to 4,E12000001,98.0
2014,North East,,,3 to 4,E12000001,97.0
2015,North East,,,3 to 4,E12000001,97.0
2016,North East,,,3 to 4,E12000001,98.0
2017,North East,,,3 to 4,E12000001,98.0
2018,North East,,,3 to 4,E12000001,99.0
2015,North East,,Darlington,2,E12000001,57.0
2016,North East,,Darlington,2,E12000001,79.0
2017,North East,,Darlington,2,E12000001,79.0
2018,North East,,Darlington,2,E12000001,76.0
2011,North East,,Darlington,3,E12000001,100.0
2012,North East,,Darlington,3,E12000001,102.0
2013,North East,,Darlington,3,E12000001,101.0
2014,North East,,Darlington,3,E12000001,96.0
2015,North East,,Darlington,3,E12000001,95.0
2016,North East,,Darlington,3,E12000001,95.0
2017,North East,,Darlington,3,E12000001,92.0
2018,North East,,Darlington,3,E12000001,93.0
2011,North East,,Darlington,4,E12000001,100.0
2012,North East,,Darlington,4,E12000001,98.0
2013,North East,,Darlington,4,E12000001,100.0
2014,North East,,Darlington,4,E12000001,98.0
2015,North East,,Darlington,4,E12000001,100.0
2016,North East,,Darlington,4,E12000001,97.0
2017,North East,,Darlington,4,E12000001,97.0
2018,North East,,Darlington,4,E12000001,95.0
2011,North East,,Darlington,3 to 4,E12000001,100.0
2012,North East,,Darlington,3 to 4,E12000001,100.0
2013,North East,,Darlington,3 to 4,E12000001,101.0
2014,North East,,Darlington,3 to 4,E12000001,97.0
2015,North East,,Darlington,3 to 4,E12000001,97.0
2016,North East,,Darlington,3 to 4,E12000001,96.0
2017,North East,,Darlington,3 to 4,E12000001,95.0
2018,North East,,Darlington,3 to 4,E12000001,94.0
2015,North East,County Durham,,2,E12000001,62.0
2016,North East,County Durham,,2,E12000001,73.0
2017,North East,County Durham,,2,E12000001,79.0
2018,North East,County Durham,,2,E12000001,83.0
2011,North East,County Durham,,3,E12000001,93.0
2012,North East,County Durham,,3,E12000001,94.0
2013,North East,County Durham,,3,E12000001,92.0
2014,North East,County Durham,,3,E12000001,92.0
2015,North East,County Durham,,3,E12000001,95.0
2016,North East,County Durham,,3,E12000001,94.0
2017,North East,County Durham,,3,E12000001,95.0
2018,North East,County Durham,,3,E12000001,95.0
2011,North East,County Durham,,4,E12000001,98.0
2012,North East,County Durham,,4,E12000001,98.0
2013,North East,County Durham,,4,E12000001,98.0
