Year,Performing/Funding,Country,Region,Sector,Source,Source sub-category,Product group,Unit measure,GeoCode,Value
2011,Performing research and development,England,South West,Private Non-Profit,,,,Percentage (%),E12000009,0.000666517205232765
2011,Performing research and development,Scotland,,Private Non-Profit,,,,Percentage (%),S92000003,0.000666517205232765
2015,Performing research and development,Wales,,Government,,,,Percentage (%),W92000004,0.000679748513965171
2010,Performing research and development,,,Business Enterprise,,,"Textiles, clothing and leather products",Percentage (%),,0.00068467486035745
2010,Performing research and development,,,Business Enterprise,,,"Sewerage, waste management, remediation activities",Percentage (%),,0.00068467486035745
2012,Performing research and development,,,Business Enterprise,,,"Sewerage, waste management, remediation activities",Percentage (%),,0.000701473386392
2016,Performing research and development,Northern Ireland,,Government,,,,Percentage (%),N92000002,0.000703826351962443
2016,Performing research and development,Wales,,Government,,,,Percentage (%),W92000004,0.000754099662816904
2008,Performing research and development,,,Business Enterprise,,,"Transport and storage, incl. postal and courier activities",Percentage (%),,0.000767481796291144
2017,Performing research and development,England,South West,Private Non-Profit,,,,Percentage (%),E12000009,0.000776529775791587
2017,Performing research and development,Wales,,Government,,,,Percentage (%),W92000004,0.000776529775791587
2017,Performing research and development,Northern Ireland,,Government,,,,Percentage (%),N92000002,0.000776529775791587
2013,Performing research and development,England,South West,Private Non-Profit,,,,Percentage (%),E12000009,0.000842057989726892
2011,Performing research and development,,,Business Enterprise,,,"Textiles, clothing and leather products",Percentage (%),,0.000848294624841702
2003,Performing research and development,,,Business Enterprise,,,Public administration,Percentage (%),,0.000867203544497396
2010,Performing research and development,,,Business Enterprise,,,Construction,Percentage (%),,0.000871404367727663
2004,Performing research and development,,,Business Enterprise,,,"Transport and storage, incl. postal and courier activities",Percentage (%),,0.000903669576231682
2014,Performing research and development,Wales,,Government,,,,Percentage (%),W92000004,0.000916417841253789
2013,Performing research and development,,,Business Enterprise,,,"Sewerage, waste management, remediation activities",Percentage (%),,0.000954332388357144
2008,Performing research and development,,,Business Enterprise,,,"Textiles, clothing and leather products",Percentage (%),,0.00095935224536393
2007,Funding research and development,,,Business Enterprise,Other,,,Percentage (%),,0.000962311394985844
2014,Performing research and development,England,South West,Private Non-Profit,,,,Percentage (%),E12000009,0.000970324773092247
2014,Performing research and development,Northern Ireland,,Government,,,,Percentage (%),N92000002,0.000970324773092247
2015,Performing research and development,,,Business Enterprise,,,"Textiles, clothing and leather products",Percentage (%),,0.000993478597333712
2015,Performing research and development,England,South West,Private Non-Profit,,,,Percentage (%),E12000009,0.000993478597333712
2016,Performing research and development,England,South West,Private Non-Profit,,,,Percentage (%),E12000009,0.0010054662170892
2013,Performing research and development,Wales,,Government,,,,Percentage (%),W92000004,0.00101046958767227
2014,Performing research and development,,,Business Enterprise,,,"Sewerage, waste management, remediation activities",Percentage (%),,0.0010242317049307
2016,Performing research and development,,,Business Enterprise,,,"Textiles, clothing and leather products",Percentage (%),,0.00105573952794366
2010,Performing research and development,,,Business Enterprise,,,"Transport and storage, incl. postal and courier activities",Percentage (%),,0.00105813387509787
2005,Performing research and development,,,Business Enterprise,,,"Electricity, gas and water supply",Percentage (%),,0.00106161695586292
2006,Performing research and development,,,Business Enterprise,,,"Transport and storage, incl. postal and courier activities",Percentage (%),,0.0010756085591551
2011,Performing research and development,,,Business Enterprise,,,"Transport and storage, incl. postal and courier activities",Percentage (%),,0.00109066451765361
2013,Performing research and development,England,South East,Private Non-Profit,,,,Percentage (%),E12000008,0.00112274398630252
2006,Performing research and development,,,Business Enterprise,,,"Textiles, clothing and leather products",Percentage (%),,0.0011428340941023
2006,Performing research and development,,,Business Enterprise,,,Construction,Percentage (%),,0.0011428340941023
2012,Performing research and development,,,Business Enterprise,,,"Textiles, clothing and leather products",Percentage (%),,0.00116912231065333
2010,Performing research and development,Northern Ireland,,Government,,,,Percentage (%),N92000002,0.00118262021334468
2014,Performing research and development,,,Business Enterprise,,,"Textiles, clothing and leather products",Percentage (%),,0.00118595250044607
2008,Performing research and development,Northern Ireland,,Government,,,,Percentage (%),N92000002,0.00121517951079431
2007,Performing research and development,,,Business Enterprise,,,"Textiles, clothing and leather products",Percentage (%),,0.00121892776698206
2012,Performing research and development,Northern Ireland,,Government,,,,Percentage (%),N92000002,0.001227578426186
2009,Performing research and development,Northern Ireland,,Government,,,,Percentage (%),N92000002,0.00122807482466
2013,Performing research and development,,,Business Enterprise,,,"Textiles, clothing and leather products",Percentage (%),,0.00123501838493277
2002,Performing research and development,Northern Ireland,,Government,,,,Percentage (%),N92000002,0.00124935866255322
2011,Performing research and development,,,Business Enterprise,,,"Pulp, paper and paper products; Printing; Wood and straw products",Percentage (%),,0.00127244193726255
2011,Performing research and development,Northern Ireland,,Government,,,,Percentage (%),N92000002,0.00127244193726255
2005,Performing research and development,,,Business Enterprise,,,"Textiles, clothing and leather products",Percentage (%),,0.0012739403470355
