Year,Series,Observation status,Unit multiplier,Units,Value
1995,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.851116315126149
1996,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.8468890277398515
1997,Agriculture orientation index for government expenditures,Normal value,Units,Index,1.0675987090923325
1998,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.7643316177174558
1999,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.7753607398161293
2000,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.8783228236230084
2001,Agriculture orientation index for government expenditures,Normal value,Units,Index,1.1210454394411138
2002,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.4813241456497894
2003,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.5200406926972136
2004,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.7009782886781109
2005,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.6953548396777826
2006,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.6907793087938281
2007,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.7272586635592463
2008,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.46401210123075165
2009,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.4537862528736469
2010,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.5522714339400807
2011,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.460447123187312
2012,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.4693796636183328
2013,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.4732976651952639
2014,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.3355516721408036
2015,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.3757918768962806
2016,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.4307667298880562
2017,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.41337083064531505
2018,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.4587250788085795
2019,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.4160785131795704
2020,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.6856948607286855
