Year,Series,Units,Unit multiplier,Observation status,Value
1972,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,4.034826298381207
1973,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,4.855151061697478
1974,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,-2.7325467727443398
1975,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,-1.129904343687326
1976,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,3.6395079528679872
1977,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,2.2927193677125213
1978,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,3.4990946354690995
1979,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,2.5131969130992746
1980,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,-1.809693251244392
1981,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,1.7245404670738411
1982,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,3.722617323850446
1983,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,4.634317577485246
1984,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,-0.23790476167219543
1985,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,2.433258984991172
1986,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,1.9366186898482276
1987,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,3.1518628528709707
1988,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,1.8290540197605505
1989,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,-0.4323799992515741
1990,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,0.18149931513486184
1991,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,0.9782495552577363
1992,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,2.466530666367678
1993,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,3.061574282048569
1994,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,2.6630151372965103
1995,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,0.8729209798210664
1996,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,0.9613739906281225
1997,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,2.687822880256033
1998,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,2.12167207287804
1999,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,1.5997504008480508
2000,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,2.8958379265622827
2001,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,1.316929697384555
2002,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,0.9258319400569407
2003,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,2.110860793292964
2004,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,1.2365033135647807
2005,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,1.5295554127398105
2006,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,1.1506518046604721
2007,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,1.7255807931267
2008,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,-0.9968384209990357
2009,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,-2.964627059797067
2010,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,2.1777475418812395
2011,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,0.5515736896724873
2012,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,0.3587150954188984
2013,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,0.6472217294609127
2014,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,0.81383450477915
2015,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,0.6551860501255032
2016,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,0.6879560576280391
2017,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,1.443325952240817
2018,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,0.5073479114489451
2019,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,0.4891054187249318
2020,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,-10.292389161564957
2021,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,7.929700673141071
