Year,Completeness of disaggregation,Goal,Observation status,Unit multiplier,Unit measure,Value
2020,Fully disaggregated,,Undefined,Units,Percentage (%),39.2156862745
2020,Partially disaggregated,,Undefined,Units,Percentage (%),17.647058823529413
2020,Not disaggregated,,Undefined,Units,Percentage (%),43.13725490196079
2020,Fully disaggregated,1.0,Undefined,Units,Percentage (%),25.0
2020,Partially disaggregated,1.0,Undefined,Units,Percentage (%),0.0
2020,Not disaggregated,1.0,Undefined,Units,Percentage (%),75.0
2020,Fully disaggregated,2.0,Undefined,Units,Percentage (%),33.33333333333333
2020,Partially disaggregated,2.0,Undefined,Units,Percentage (%),33.33333333333333
2020,Not disaggregated,2.0,Undefined,Units,Percentage (%),33.33333333333333
2020,Fully disaggregated,3.0,Undefined,Units,Percentage (%),0.0
2020,Partially disaggregated,3.0,Undefined,Units,Percentage (%),100.0
2020,Not disaggregated,3.0,Undefined,Units,Percentage (%),0.0
2020,Fully disaggregated,4.0,Undefined,Units,Percentage (%),71.42857142857143
2020,Partially disaggregated,4.0,Undefined,Units,Percentage (%),0.0
2020,Not disaggregated,4.0,Undefined,Units,Percentage (%),28.57142857142857
2020,Fully disaggregated,5.0,Undefined,Units,Percentage (%),66.66666666666666
2020,Partially disaggregated,5.0,Undefined,Units,Percentage (%),16.666666666666664
2020,Not disaggregated,5.0,Undefined,Units,Percentage (%),16.666666666666664
2020,Fully disaggregated,8.0,Undefined,Units,Percentage (%),50.0
2020,Partially disaggregated,8.0,Undefined,Units,Percentage (%),16.666666666666664
2020,Not disaggregated,8.0,Undefined,Units,Percentage (%),33.33333333333333
2020,Fully disaggregated,9.0,Undefined,Units,Percentage (%),50.0
2020,Partially disaggregated,9.0,Undefined,Units,Percentage (%),0.0
2020,Not disaggregated,9.0,Undefined,Units,Percentage (%),50.0
2020,Fully disaggregated,10.0,Undefined,Units,Percentage (%),0.0
2020,Partially disaggregated,10.0,Undefined,Units,Percentage (%),100.0
2020,Not disaggregated,10.0,Undefined,Units,Percentage (%),0.0
2020,Fully disaggregated,11.0,Undefined,Units,Percentage (%),14.285714285714285
2020,Partially disaggregated,11.0,Undefined,Units,Percentage (%),14.285714285714285
2020,Not disaggregated,11.0,Undefined,Units,Percentage (%),71.42857142857143
2020,Fully disaggregated,12.0,Undefined,Units,Percentage (%),0.0
2020,Partially disaggregated,12.0,Undefined,Units,Percentage (%),100.0
2020,Not disaggregated,12.0,Undefined,Units,Percentage (%),0.0
2020,Fully disaggregated,15.0,Undefined,Units,Percentage (%),0.0
2020,Partially disaggregated,15.0,Undefined,Units,Percentage (%),0.0
2020,Not disaggregated,15.0,Undefined,Units,Percentage (%),100.0
2020,Fully disaggregated,16.0,Undefined,Units,Percentage (%),28.57142857142857
2020,Partially disaggregated,16.0,Undefined,Units,Percentage (%),14.285714285714285
2020,Not disaggregated,16.0,Undefined,Units,Percentage (%),57.14285714285714
2020,Fully disaggregated,17.0,Undefined,Units,Percentage (%),50.0
2020,Partially disaggregated,17.0,Undefined,Units,Percentage (%),0.0
2020,Not disaggregated,17.0,Undefined,Units,Percentage (%),50.0
