Year,Skill,Age,Sex,Disability status,Observation status,Unit multiplier,Unit measure,Value
2015,Copying or moving a file or folder,,,,Undefined,Units,Percentage (%),57
2015,Using word processing software,,,,Undefined,Units,Percentage (%),55
2015,"Creating presentations or documents containing or integrating pictures, tables or charts",,,,Undefined,Units,Percentage (%),40
2015,"Using software to edit photos, video or audio files",,,,Undefined,Units,Percentage (%),43
2015,Using spreadsheet software,,,,Undefined,Units,Percentage (%),38
2015,Writing computer code using a programming language,,,,Undefined,Units,Percentage (%),6
2015,Installing software or applications,,,,Undefined,Units,Percentage (%),52
2015,Transferring files between computers or other devices,,,,Undefined,Units,Percentage (%),48
2015,"Changing the settings of any software, including operating system or security programs",,,,Undefined,Units,Percentage (%),38
2017,Copying or moving a file or folder,,,,Undefined,Units,Percentage (%),62
2017,Using word processing software,,,,Undefined,Units,Percentage (%),60
2017,"Creating presentations or documents containing or integrating pictures, tables or charts",,,,Undefined,Units,Percentage (%),47
2017,"Using software to edit photos, video or audio files",,,,Undefined,Units,Percentage (%),46
2017,Using spreadsheet software,,,,Undefined,Units,Percentage (%),45
2017,Writing computer code using a programming language,,,,Undefined,Units,Percentage (%),9
2017,Installing software or applications,,,,Undefined,Units,Percentage (%),59
2017,Transferring files between computers or other devices,,,,Undefined,Units,Percentage (%),53
2017,"Changing the settings of any software, including operating system or security programs",,,,Undefined,Units,Percentage (%),39
2017,Copying or moving a file or folder,16 to 24,,,Undefined,Units,Percentage (%),83
2017,Using word processing software,16 to 24,,,Undefined,Units,Percentage (%),80
2017,"Creating presentations or documents containing or integrating pictures, tables or charts",16 to 24,,,Undefined,Units,Percentage (%),79
2017,"Using software to edit photos, video or audio files",16 to 24,,,Undefined,Units,Percentage (%),69
2017,Using spreadsheet software,16 to 24,,,Undefined,Units,Percentage (%),62
2017,Writing computer code using a programming language,16 to 24,,,Undefined,Units,Percentage (%),20
2017,Installing software or applications,16 to 24,,,Undefined,Units,Percentage (%),82
2017,Transferring files between computers or other devices,16 to 24,,,Undefined,Units,Percentage (%),78
2017,"Changing the settings of any software, including operating system or security programs",16 to 24,,,Undefined,Units,Percentage (%),52
2017,Copying or moving a file or folder,25 to 34,,,Undefined,Units,Percentage (%),78
2017,Using word processing software,25 to 34,,,Undefined,Units,Percentage (%),74
2017,"Creating presentations or documents containing or integrating pictures, tables or charts",25 to 34,,,Undefined,Units,Percentage (%),59
2017,"Using software to edit photos, video or audio files",25 to 34,,,Undefined,Units,Percentage (%),60
2017,Using spreadsheet software,25 to 34,,,Undefined,Units,Percentage (%),59
2017,Writing computer code using a programming language,25 to 34,,,Undefined,Units,Percentage (%),15
2017,Installing software or applications,25 to 34,,,Undefined,Units,Percentage (%),79
2017,Transferring files between computers or other devices,25 to 34,,,Undefined,Units,Percentage (%),72
2017,"Changing the settings of any software, including operating system or security programs",25 to 34,,,Undefined,Units,Percentage (%),52
