Year,Flow of Official Development Assistance (ODA),Aid Category (DAC 5 Code),Aid Subcategory (DAC 5 Code),Aid Description (CRS Code),Value
2011,Multilateral,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),94755.72658404158
2011,Multilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),15716.67268052313
2011,Multilateral,Banking and Financial Services (240),,Monetary institutions (24020),480.65566989679576
2012,Multilateral,Banking and Financial Services (240),,,128145.97516940732
2012,Multilateral,Banking and Financial Services (240),,Education/training in banking & financial services (24081),185.87142779311063
2012,Multilateral,Banking and Financial Services (240),,Financial policy & administrative management (24010),5518.784028124612
2012,Multilateral,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),115700.8714303485
2012,Multilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),5833.3574730310675
2012,Multilateral,Banking and Financial Services (240),,Monetary institutions (24020),907.0908101100305
2013,Multilateral,Banking and Financial Services (240),,,165495.25496768593
2013,Multilateral,Banking and Financial Services (240),,Education/training in banking & financial services (24081),183.67295186426074
2013,Multilateral,Banking and Financial Services (240),,Financial policy & administrative management (24010),18004.29485086445
2013,Multilateral,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),130553.42108808205
2013,Multilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),9673.08396861228
2013,Multilateral,Banking and Financial Services (240),,Monetary institutions (24020),7080.782108262921
2014,Multilateral,Banking and Financial Services (240),,,185148.602856512
2014,Multilateral,Banking and Financial Services (240),,Education/training in banking & financial services (24081),407.6265140947155
2014,Multilateral,Banking and Financial Services (240),,Financial policy & administrative management (24010),5075.732058045257
2014,Multilateral,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),161128.5493157213
2014,Multilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),6399.967966547531
2014,Multilateral,Banking and Financial Services (240),,Monetary institutions (24020),12136.727002103213
2015,Multilateral,Banking and Financial Services (240),,,216883.69074967975
2015,Multilateral,Banking and Financial Services (240),,Education/training in banking & financial services (24081),256.0370681456972
2015,Multilateral,Banking and Financial Services (240),,Financial policy & administrative management (24010),14818.04133131398
2015,Multilateral,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),193882.81074405147
2015,Multilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),6712.60188817112
2015,Multilateral,Banking and Financial Services (240),,Monetary institutions (24020),1214.1997179974858
2016,Multilateral,Banking and Financial Services (240),,,177096.0780344385
2016,Multilateral,Banking and Financial Services (240),,Education/training in banking & financial services (24081),85.467783227447
2016,Multilateral,Banking and Financial Services (240),,Financial policy & administrative management (24010),9540.464639387967
2016,Multilateral,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),163262.3054352244
2016,Multilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),3758.1097245670817
2016,Multilateral,Banking and Financial Services (240),,Monetary institutions (24020),449.73045203162593
2010,,Banking and Financial Services (240),,,109258.35149435105
2010,,Banking and Financial Services (240),,Education/training in banking & financial services (24081),1440.264402254129
2010,,Banking and Financial Services (240),,Financial policy & administrative management (24010),44830.762423106156
2010,,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),48556.477907977074
2010,,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),13932.124756726347
2010,,Banking and Financial Services (240),,Monetary institutions (24020),498.722004287334
2011,,Banking and Financial Services (240),,,264273.71058345534
2011,,Banking and Financial Services (240),,Education/training in banking & financial services (24081),1823.989539416613
2011,,Banking and Financial Services (240),,Financial policy & administrative management (24010),44003.41026757716
2011,,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),125026.80151604157
2011,,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),27478.31694052313
2011,,Banking and Financial Services (240),,Monetary institutions (24020),65941.19231989679
2012,,Banking and Financial Services (240),,,259310.22217240738
2012,,Banking and Financial Services (240),,Education/training in banking & financial services (24081),2815.025077793111
2012,,Banking and Financial Services (240),,Financial policy & administrative management (24010),24468.603033124615
2012,,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),203790.06814834848
2012,,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),21946.849743031067
2012,,Banking and Financial Services (240),,Monetary institutions (24020),6289.676170110029
2013,,Banking and Financial Services (240),,,270529.1970756859
2013,,Banking and Financial Services (240),,Education/training in banking & financial services (24081),601.6264218642607
2013,,Banking and Financial Services (240),,Financial policy & administrative management (24010),40455.37804886444
2013,,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),209837.91926808204
2013,,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),55233.63898861228
2013,,Banking and Financial Services (240),,Monetary institutions (24020),-35599.365651737084
2014,,Banking and Financial Services (240),,,310465.535273512
2014,,Banking and Financial Services (240),,Education/training in banking & financial services (24081),7175.0453940947145
2014,,Banking and Financial Services (240),,Financial policy & administrative management (24010),71567.42010304524
2014,,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),261255.5239247213
2014,,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),18722.56508654753
2014,,Banking and Financial Services (240),,Monetary institutions (24020),-48255.01923489678
2015,,Banking and Financial Services (240),,,755127.45622968
2015,,Banking and Financial Services (240),,Education/training in banking & financial services (24081),276.0030681456972
2015,,Banking and Financial Services (240),,Financial policy & administrative management (24010),487501.4029813141
2015,,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),242980.1000840515
2015,,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),21780.07389817112
2015,,Banking and Financial Services (240),,Monetary institutions (24020),2589.876197997486
2016,,Banking and Financial Services (240),,,569613.5002244384
2016,,Banking and Financial Services (240),,Education/training in banking & financial services (24081),111.16403322744699
2016,,Banking and Financial Services (240),,Financial policy & administrative management (24010),321732.30732938787
2016,,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),216525.1319152244
2016,,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),28744.490154567087
2016,,Banking and Financial Services (240),,Monetary institutions (24020),2500.406792031626
2009,Bilateral,Business and Other Services (250),,,18010.03
2009,Bilateral,Business and Other Services (250),,Business support services & institutions (25010),16582.789999999997
2009,Bilateral,Business and Other Services (250),,Privatisation (25020),1427.24
2010,Bilateral,Business and Other Services (250),,,34986.72301
2010,Bilateral,Business and Other Services (250),,Business support services & institutions (25010),35621.90247
2010,Bilateral,Business and Other Services (250),,Privatisation (25020),-635.1794600000001
2011,Bilateral,Business and Other Services (250),,,116813.547693
2011,Bilateral,Business and Other Services (250),,Business support services & institutions (25010),116813.547693
2011,Bilateral,Business and Other Services (250),,Privatisation (25020),0.0
2012,Bilateral,Business and Other Services (250),,,30853.885361
2012,Bilateral,Business and Other Services (250),,Business support services & institutions (25010),30853.885361
2012,Bilateral,Business and Other Services (250),,Privatisation (25020),0.0
2013,Bilateral,Business and Other Services (250),,,52079.438897000015
2013,Bilateral,Business and Other Services (250),,Business support services & institutions (25010),52044.654897000015
2013,Bilateral,Business and Other Services (250),,Privatisation (25020),34.784
2014,Bilateral,Business and Other Services (250),,,39111.651740000016
2014,Bilateral,Business and Other Services (250),,Business support services & institutions (25010),39111.651740000016
2014,Bilateral,Business and Other Services (250),,Privatisation (25020),0.0
2015,Bilateral,Business and Other Services (250),,,89888.15035000001
2015,Bilateral,Business and Other Services (250),,Business support services & institutions (25010),89795.01447
2015,Bilateral,Business and Other Services (250),,Privatisation (25020),93.13588
2016,Bilateral,Business and Other Services (250),,,89760.04425999997
2016,Bilateral,Business and Other Services (250),,Business support services & institutions (25010),88254.51813999997
2016,Bilateral,Business and Other Services (250),,Privatisation (25020),1505.52612
2010,Multilateral,Business and Other Services (250),,,31023.655406330563
2010,Multilateral,Business and Other Services (250),,Business support services & institutions (25010),27086.164277155287
2010,Multilateral,Business and Other Services (250),,Privatisation (25020),3937.4911291752765
2011,Multilateral,Business and Other Services (250),,,27588.73183665891
2011,Multilateral,Business and Other Services (250),,Business support services & institutions (25010),25437.65519036278
2011,Multilateral,Business and Other Services (250),,Privatisation (25020),2151.0766462961283
2012,Multilateral,Business and Other Services (250),,,16246.72513296396
2012,Multilateral,Business and Other Services (250),,Business support services & institutions (25010),15381.63950282956
2012,Multilateral,Business and Other Services (250),,Privatisation (25020),865.0856301344011
2013,Multilateral,Business and Other Services (250),,,45778.5728625727
2013,Multilateral,Business and Other Services (250),,Business support services & institutions (25010),42440.21745195857
2013,Multilateral,Business and Other Services (250),,Privatisation (25020),3338.3554106141282
2014,Multilateral,Business and Other Services (250),,,42351.23042528886
2014,Multilateral,Business and Other Services (250),,Business support services & institutions (25010),31360.441669153774
