Year,Series,Units,Unit multiplier,Observation status,Value
1993,Red List Index,Index,Units,Estimated value,0.968847615
1994,Red List Index,Index,Units,Estimated value,0.968330681
1995,Red List Index,Index,Units,Estimated value,0.967905896
1996,Red List Index,Index,Units,Estimated value,0.967290825
1997,Red List Index,Index,Units,Estimated value,0.96683131
1998,Red List Index,Index,Units,Estimated value,0.9664116
1999,Red List Index,Index,Units,Estimated value,0.965774399
2000,Red List Index,Index,Units,Estimated value,0.965103123
2001,Red List Index,Index,Units,Estimated value,0.964555752
2002,Red List Index,Index,Units,Estimated value,0.963896476
2003,Red List Index,Index,Units,Estimated value,0.963605513
2004,Red List Index,Index,Units,Estimated value,0.963220414
2005,Red List Index,Index,Units,Estimated value,0.963210647
2006,Red List Index,Index,Units,Estimated value,0.963184327
2007,Red List Index,Index,Units,Estimated value,0.963157078
2008,Red List Index,Index,Units,Estimated value,0.963275115
2009,Red List Index,Index,Units,Estimated value,0.963428469
2010,Red List Index,Index,Units,Estimated value,0.963550592
2011,Red List Index,Index,Units,Estimated value,0.963443053
2012,Red List Index,Index,Units,Estimated value,0.96315268
2013,Red List Index,Index,Units,Estimated value,0.962737118
2014,Red List Index,Index,Units,Estimated value,0.962405275
2015,Red List Index,Index,Units,Estimated value,0.962019462
2016,Red List Index,Index,Units,Estimated value,0.9618859829999999
2017,Red List Index,Index,Units,Estimated value,0.961712862
2018,Red List Index,Index,Units,Estimated value,0.961678566
2019,Red List Index,Index,Units,Estimated value,0.961661409
2020,Red List Index,Index,Units,Estimated value,0.96174164
2021,Red List Index,Index,Units,Estimated value,0.96172418
