Year,Age at which FGM took place,Country of birth,Units,Local Authority,FGM type,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2017/2018,,,Individuals,South Derbyshire District Council,,,,,,0.0
2017/2018,,,Individuals,South Gloucestershire Council,,,,,,15.0
2017/2018,,,Individuals,South Hams District Council,,,,,,0.0
2017/2018,,,Individuals,South Holland District Council,,,,,,0.0
2017/2018,,,Individuals,South Kesteven District Council,,,,,,0.0
2017/2018,,,Individuals,South Lakeland District Council,,,,,,0.0
2017/2018,,,Individuals,South Norfolk Council,,,,,,0.0
2017/2018,,,Individuals,South Northamptonshire District Council,,,,,,0.0
2017/2018,,,Individuals,South Oxfordshire District Council,,,,,,0.0
2017/2018,,,Individuals,South Ribble Borough Council,,,,,,0.0
2017/2018,,,Individuals,South Somerset District Council,,,,,,0.0
2017/2018,,,Individuals,South Staffordshire Council,,,,,,0.0
2017/2018,,,Individuals,South Tyneside Metropolitan Borough Council,,,,,,5.0
2017/2018,,,Individuals,Southampton City Council,,,,,,20.0
2017/2018,,,Individuals,Southend-On-Sea Borough Council,,,,,,5.0
2017/2018,,,Individuals,Spelthorne Borough Council,,,,,,0.0
2017/2018,,,Individuals,St Albans City & District Council,,,,,,0.0
2017/2018,,,Individuals,St Edmundsbury Borough Council,,,,,,0.0
2017/2018,,,Individuals,St Helens Metropolitan Borough Council,,,,,,5.0
2017/2018,,,Individuals,Stafford Borough Council,,,,,,0.0
2017/2018,,,Individuals,Staffordshire County Council,,,,,,5.0
2017/2018,,,Individuals,Staffordshire Moorlands District Council,,,,,,0.0
2017/2018,,,Individuals,Stevenage Borough Council,,,,,,0.0
2017/2018,,,Individuals,Stockport Metropolitan Borough Council,,,,,,10.0
2017/2018,,,Individuals,Stockton-On-Tees Borough Council,,,,,,35.0
2017/2018,,,Individuals,Stoke-On-Trent City Council,,,,,,20.0
2017/2018,,,Individuals,Stratford-On-Avon District Council,,,,,,0.0
2017/2018,,,Individuals,Stroud District Council,,,,,,0.0
2017/2018,,,Individuals,Suffolk Coastal District Council,,,,,,0.0
2017/2018,,,Individuals,Suffolk County Council,,,,,,10.0
2017/2018,,,Individuals,Sunderland City Council,,,,,,5.0
2017/2018,,,Individuals,Surrey County Council,,,,,,10.0
2017/2018,,,Individuals,Surrey Heath Borough Council,,,,,,0.0
2017/2018,,,Individuals,Swale Borough Council,,,,,,0.0
2017/2018,,,Individuals,Swindon Borough Council (Unitary),,,,,,0.0
2017/2018,,,Individuals,Tameside Metropolitan Borough Council,,,,,,20.0
2017/2018,,,Individuals,Tamworth Borough Council,,,,,,0.0
2017/2018,,,Individuals,Tandridge District Council,,,,,,0.0
2017/2018,,,Individuals,Taunton Deane Borough Council,,,,,,0.0
2017/2018,,,Individuals,Teignbridge District Council,,,,,,0.0
2017/2018,,,Individuals,Telford and Wrekin Council (Unitary),,,,,,0.0
2017/2018,,,Individuals,Tendring District Council,,,,,,0.0
2017/2018,,,Individuals,Test Valley Borough Council,,,,,,0.0
2017/2018,,,Individuals,Tewkesbury Borough Council,,,,,,0.0
2017/2018,,,Individuals,Thanet District Council,,,,,,0.0
2017/2018,,,Individuals,The Council of The Isles of Scilly,,,,,,0.0
2017/2018,,,Individuals,Three Rivers District Council,,,,,,0.0
2017/2018,,,Individuals,Thurrock Council,,,,,,20.0
2017/2018,,,Individuals,Tonbridge and Malling Borough Council,,,,,,0.0
2017/2018,,,Individuals,Torbay Council,,,,,,5.0
2017/2018,,,Individuals,Torridge District Council,,,,,,0.0
2017/2018,,,Individuals,Trafford Metropolitan Borough Council,,,,,,15.0
2017/2018,,,Individuals,Tunbridge Wells Borough Council,,,,,,0.0
2017/2018,,,Individuals,Uttlesford District Council,,,,,,0.0
2017/2018,,,Individuals,Vale of White Horse District Council,,,,,,0.0
2017/2018,,,Individuals,Wakefield Council,,,,,,70.0
2017/2018,,,Individuals,Walsall Metropolitan Borough Council,,,,,,20.0
2017/2018,,,Individuals,Warrington Borough Council (Unitary),,,,,,5.0
2017/2018,,,Individuals,Warwick District Council,,,,,,0.0
2017/2018,,,Individuals,Warwickshire County Council,,,,,,5.0
2017/2018,,,Individuals,Watford Borough Council,,,,,,0.0
2017/2018,,,Individuals,Waveney District Council,,,,,,0.0
2017/2018,,,Individuals,Waverley Borough Council,,,,,,0.0
2017/2018,,,Individuals,Wealden District Council,,,,,,0.0
2017/2018,,,Individuals,Wellingborough Borough Council,,,,,,0.0
2017/2018,,,Individuals,Welwyn Hatfield Council,,,,,,0.0
2017/2018,,,Individuals,West Berkshire District Council,,,,,,5.0
2017/2018,,,Individuals,West Devon Borough Council,,,,,,0.0
2017/2018,,,Individuals,West Dorset District Council,,,,,,0.0
2017/2018,,,Individuals,West Lancashire District Council,,,,,,0.0
2017/2018,,,Individuals,West Lindsey District Council,,,,,,0.0
2017/2018,,,Individuals,West Oxfordshire District Council,,,,,,0.0
2017/2018,,,Individuals,West Somerset District Council,,,,,,0.0
2017/2018,,,Individuals,West Sussex County Council,,,,,,10.0
2017/2018,,,Individuals,Westminster City Council,,,,,,55.0
2017/2018,,,Individuals,Weymouth & Portland Borough Council,,,,,,0.0
2017/2018,,,Individuals,Wigan Metropolitan Borough Council,,,,,,15.0
2017/2018,,,Individuals,Wiltshire Council,,,,,,5.0
2017/2018,,,Individuals,Winchester City Council,,,,,,0.0
2017/2018,,,Individuals,Wirral Metropolitan Borough Council,,,,,,0.0
2017/2018,,,Individuals,Woking Borough Council,,,,,,0.0
2017/2018,,,Individuals,Wokingham Borough Council,,,,,,5.0
2017/2018,,,Individuals,Wolverhampton City Council,,,,,,40.0
2017/2018,,,Individuals,Worcester City Council,,,,,,0.0
2017/2018,,,Individuals,Worcestershire County Council,,,,,,5.0
2017/2018,,,Individuals,Worthing Borough Council,,,,,,0.0
2017/2018,,,Individuals,Wychavon District Council,,,,,,0.0
2017/2018,,,Individuals,Wycombe District Council,,,,,,0.0
2017/2018,,,Individuals,Wyre Borough Council,,,,,,0.0
2017/2018,,,Individuals,Wyre Forest District Council,,,,,,0.0
2017/2018,,,Individuals,York City Council,,,,,,5.0
2017/2018,,,Individuals,Unknown,,,,,,75.0
