Year,Country,Type of Neglected Tropical Disease (NTD),World region of travel,GeoCode,Value
2009,,,,,239.0
2010,,,,,527.0
2011,,,,,248.0
2012,,,,,389.0
2013,,,,,615.0
2014,,,,,704.0
2009,"England, Wales and Northern Ireland",Chikungunya,,,63.0
2009,"England, Wales and Northern Ireland",Chikungunya,Caribbean,,0.0
2009,"England, Wales and Northern Ireland",Chikungunya,Southern Asia,,23.0
2009,"England, Wales and Northern Ireland",Chikungunya,South America,,0.0
2009,"England, Wales and Northern Ireland",Chikungunya,South-Eastern Asia,,21.0
2009,"England, Wales and Northern Ireland",Chikungunya,Sub-Saharan and Southern Africa,,7.0
2009,"England, Wales and Northern Ireland",Chikungunya,Other,,1.0
2009,"England, Wales and Northern Ireland",Chikungunya,Country not stated,,11.0
2010,"England, Wales and Northern Ireland",Chikungunya,,,79.0
2010,"England, Wales and Northern Ireland",Chikungunya,Caribbean,,0.0
2010,"England, Wales and Northern Ireland",Chikungunya,Southern Asia,,43.0
2010,"England, Wales and Northern Ireland",Chikungunya,South America,,0.0
2010,"England, Wales and Northern Ireland",Chikungunya,South-Eastern Asia,,10.0
2010,"England, Wales and Northern Ireland",Chikungunya,Sub-Saharan and Southern Africa,,9.0
2010,"England, Wales and Northern Ireland",Chikungunya,Other,,1.0
2010,"England, Wales and Northern Ireland",Chikungunya,Country not stated,,16.0
2011,"England, Wales and Northern Ireland",Chikungunya,,,15.0
2011,"England, Wales and Northern Ireland",Chikungunya,Caribbean,,0.0
2011,"England, Wales and Northern Ireland",Chikungunya,Southern Asia,,12.0
2011,"England, Wales and Northern Ireland",Chikungunya,South America,,0.0
2011,"England, Wales and Northern Ireland",Chikungunya,South-Eastern Asia,,1.0
2011,"England, Wales and Northern Ireland",Chikungunya,Sub-Saharan and Southern Africa,,2.0
2011,"England, Wales and Northern Ireland",Chikungunya,Other,,0.0
2011,"England, Wales and Northern Ireland",Chikungunya,Country not stated,,0.0
2012,"England, Wales and Northern Ireland",Chikungunya,,,16.0
2012,"England, Wales and Northern Ireland",Chikungunya,Caribbean,,0.0
2012,"England, Wales and Northern Ireland",Chikungunya,Southern Asia,,5.0
2012,"England, Wales and Northern Ireland",Chikungunya,South America,,0.0
2012,"England, Wales and Northern Ireland",Chikungunya,South-Eastern Asia,,8.0
2012,"England, Wales and Northern Ireland",Chikungunya,Sub-Saharan and Southern Africa,,2.0
2012,"England, Wales and Northern Ireland",Chikungunya,Other,,0.0
2012,"England, Wales and Northern Ireland",Chikungunya,Country not stated,,1.0
2013,"England, Wales and Northern Ireland",Chikungunya,,,28.0
2013,"England, Wales and Northern Ireland",Chikungunya,Caribbean,,0.0
2013,"England, Wales and Northern Ireland",Chikungunya,Southern Asia,,10.0
2013,"England, Wales and Northern Ireland",Chikungunya,South America,,0.0
2013,"England, Wales and Northern Ireland",Chikungunya,South-Eastern Asia,,13.0
2013,"England, Wales and Northern Ireland",Chikungunya,Sub-Saharan and Southern Africa,,2.0
2013,"England, Wales and Northern Ireland",Chikungunya,Other,,1.0
2013,"England, Wales and Northern Ireland",Chikungunya,Country not stated,,2.0
2014,"England, Wales and Northern Ireland",Chikungunya,,,300.0
2014,"England, Wales and Northern Ireland",Chikungunya,Caribbean,,227.0
2014,"England, Wales and Northern Ireland",Chikungunya,Southern Asia,,13.0
2014,"England, Wales and Northern Ireland",Chikungunya,South America,,12.0
2014,"England, Wales and Northern Ireland",Chikungunya,South-Eastern Asia,,10.0
2014,"England, Wales and Northern Ireland",Chikungunya,Sub-Saharan and Southern Africa,,6.0
2014,"England, Wales and Northern Ireland",Chikungunya,Other,,2.0
2014,"England, Wales and Northern Ireland",Chikungunya,Country not stated,,30.0
2009,"England, Wales and Northern Ireland",Dengue fever,,,176.0
2009,"England, Wales and Northern Ireland",Dengue fever,South-Eastern Asia,,66.0
2009,"England, Wales and Northern Ireland",Dengue fever,Southern Asia,,42.0
2009,"England, Wales and Northern Ireland",Dengue fever,Eastern Africa,,8.0
2009,"England, Wales and Northern Ireland",Dengue fever,Caribbean,,5.0
2009,"England, Wales and Northern Ireland",Dengue fever,Southern and Central America,,7.0
2009,"England, Wales and Northern Ireland",Dengue fever,Other Africa,,10.0
2009,"England, Wales and Northern Ireland",Dengue fever,Other,,4.0
2009,"England, Wales and Northern Ireland",Dengue fever,Southern Europe,,0.0
2009,"England, Wales and Northern Ireland",Dengue fever,Country not stated,,34.0
2009,"England, Wales and Northern Ireland",Dengue fever,No travel,,0.0
2010,"England, Wales and Northern Ireland",Dengue fever,,,448.0
2010,"England, Wales and Northern Ireland",Dengue fever,South-Eastern Asia,,133.0
2010,"England, Wales and Northern Ireland",Dengue fever,Southern Asia,,127.0
2010,"England, Wales and Northern Ireland",Dengue fever,Eastern Africa,,11.0
2010,"England, Wales and Northern Ireland",Dengue fever,Caribbean,,36.0
2010,"England, Wales and Northern Ireland",Dengue fever,Southern and Central America,,31.0
2010,"England, Wales and Northern Ireland",Dengue fever,Other Africa,,7.0
2010,"England, Wales and Northern Ireland",Dengue fever,Other,,4.0
2010,"England, Wales and Northern Ireland",Dengue fever,Southern Europe,,0.0
2010,"England, Wales and Northern Ireland",Dengue fever,Country not stated,,99.0
2010,"England, Wales and Northern Ireland",Dengue fever,No travel,,0.0
2011,"England, Wales and Northern Ireland",Dengue fever,,,233.0
2011,"England, Wales and Northern Ireland",Dengue fever,South-Eastern Asia,,52.0
2011,"England, Wales and Northern Ireland",Dengue fever,Southern Asia,,71.0
2011,"England, Wales and Northern Ireland",Dengue fever,Eastern Africa,,3.0
2011,"England, Wales and Northern Ireland",Dengue fever,Caribbean,,25.0
2011,"England, Wales and Northern Ireland",Dengue fever,Southern and Central America,,16.0
2011,"England, Wales and Northern Ireland",Dengue fever,Other Africa,,4.0
2011,"England, Wales and Northern Ireland",Dengue fever,Other,,2.0
2011,"England, Wales and Northern Ireland",Dengue fever,Southern Europe,,0.0
2011,"England, Wales and Northern Ireland",Dengue fever,Country not stated,,60.0
2011,"England, Wales and Northern Ireland",Dengue fever,No travel,,0.0
2012,"England, Wales and Northern Ireland",Dengue fever,,,373.0
2012,"England, Wales and Northern Ireland",Dengue fever,South-Eastern Asia,,109.0
2012,"England, Wales and Northern Ireland",Dengue fever,Southern Asia,,102.0
2012,"England, Wales and Northern Ireland",Dengue fever,Eastern Africa,,1.0
2012,"England, Wales and Northern Ireland",Dengue fever,Caribbean,,48.0
2012,"England, Wales and Northern Ireland",Dengue fever,Southern and Central America,,16.0
2012,"England, Wales and Northern Ireland",Dengue fever,Other Africa,,3.0
2012,"England, Wales and Northern Ireland",Dengue fever,Other,,7.0
2012,"England, Wales and Northern Ireland",Dengue fever,Southern Europe,,20.0
2012,"England, Wales and Northern Ireland",Dengue fever,Country not stated,,67.0
2012,"England, Wales and Northern Ireland",Dengue fever,No travel,,0.0
2013,"England, Wales and Northern Ireland",Dengue fever,,,587.0
2013,"England, Wales and Northern Ireland",Dengue fever,South-Eastern Asia,,199.0
2013,"England, Wales and Northern Ireland",Dengue fever,Southern Asia,,142.0
2013,"England, Wales and Northern Ireland",Dengue fever,Eastern Africa,,12.0
2013,"England, Wales and Northern Ireland",Dengue fever,Caribbean,,83.0
2013,"England, Wales and Northern Ireland",Dengue fever,Southern and Central America,,35.0
2013,"England, Wales and Northern Ireland",Dengue fever,Other Africa,,18.0
2013,"England, Wales and Northern Ireland",Dengue fever,Other,,13.0
2013,"England, Wales and Northern Ireland",Dengue fever,Southern Europe,,0.0
2013,"England, Wales and Northern Ireland",Dengue fever,Country not stated,,85.0
2013,"England, Wales and Northern Ireland",Dengue fever,No travel,,0.0
2014,"England, Wales and Northern Ireland",Dengue fever,,,404.0
2014,"England, Wales and Northern Ireland",Dengue fever,South-Eastern Asia,,186.0
2014,"England, Wales and Northern Ireland",Dengue fever,Southern Asia,,78.0
2014,"England, Wales and Northern Ireland",Dengue fever,Eastern Africa,,22.0
2014,"England, Wales and Northern Ireland",Dengue fever,Caribbean,,18.0
2014,"England, Wales and Northern Ireland",Dengue fever,Southern and Central America,,14.0
2014,"England, Wales and Northern Ireland",Dengue fever,Other Africa,,10.0
2014,"England, Wales and Northern Ireland",Dengue fever,Other,,17.0
2014,"England, Wales and Northern Ireland",Dengue fever,Southern Europe,,0.0
2014,"England, Wales and Northern Ireland",Dengue fever,Country not stated,,58.0
2014,"England, Wales and Northern Ireland",Dengue fever,No travel,,1.0
2000,United Kingdom,Rabies,South-Eastern Asia,K02000001,0.0
2000,United Kingdom,Rabies,Western Africa,K02000001,0.0
2000,United Kingdom,Rabies,Southern Asia,K02000001,0.0
2000,United Kingdom,Rabies,Southern Africa,K02000001,0.0
2000,United Kingdom,Rabies,No travel,K02000001,0.0
2000,United Kingdom,Rabies,,K02000001,0.0
2001,United Kingdom,Rabies,South-Eastern Asia,K02000001,1.0
2001,United Kingdom,Rabies,Western Africa,K02000001,1.0
2001,United Kingdom,Rabies,Southern Asia,K02000001,0.0
2001,United Kingdom,Rabies,Southern Africa,K02000001,0.0
2001,United Kingdom,Rabies,No travel,K02000001,0.0
2001,United Kingdom,Rabies,,K02000001,2.0
2002,United Kingdom,Rabies,South-Eastern Asia,K02000001,0.0
2002,United Kingdom,Rabies,Western Africa,K02000001,0.0
2002,United Kingdom,Rabies,Southern Asia,K02000001,0.0
2002,United Kingdom,Rabies,Southern Africa,K02000001,0.0
2002,United Kingdom,Rabies,No travel,K02000001,1.0
2002,United Kingdom,Rabies,,K02000001,1.0
2003,United Kingdom,Rabies,South-Eastern Asia,K02000001,0.0
2003,United Kingdom,Rabies,Western Africa,K02000001,0.0
2003,United Kingdom,Rabies,Southern Asia,K02000001,0.0
2003,United Kingdom,Rabies,Southern Africa,K02000001,0.0
2003,United Kingdom,Rabies,No travel,K02000001,0.0
2003,United Kingdom,Rabies,,K02000001,0.0
2004,United Kingdom,Rabies,South-Eastern Asia,K02000001,0.0
2004,United Kingdom,Rabies,Western Africa,K02000001,0.0
2004,United Kingdom,Rabies,Southern Asia,K02000001,0.0
2004,United Kingdom,Rabies,Southern Africa,K02000001,0.0
2004,United Kingdom,Rabies,No travel,K02000001,0.0
2004,United Kingdom,Rabies,,K02000001,0.0
2005,United Kingdom,Rabies,South-Eastern Asia,K02000001,0.0
2005,United Kingdom,Rabies,Western Africa,K02000001,0.0
2005,United Kingdom,Rabies,Southern Asia,K02000001,1.0
2005,United Kingdom,Rabies,Southern Africa,K02000001,0.0
2005,United Kingdom,Rabies,No travel,K02000001,0.0
2005,United Kingdom,Rabies,,K02000001,1.0
2006,United Kingdom,Rabies,South-Eastern Asia,K02000001,0.0
2006,United Kingdom,Rabies,Western Africa,K02000001,0.0
2006,United Kingdom,Rabies,Southern Asia,K02000001,0.0
2006,United Kingdom,Rabies,Southern Africa,K02000001,0.0
2006,United Kingdom,Rabies,No travel,K02000001,0.0
2006,United Kingdom,Rabies,,K02000001,0.0
2007,United Kingdom,Rabies,South-Eastern Asia,K02000001,0.0
2007,United Kingdom,Rabies,Western Africa,K02000001,0.0
2007,United Kingdom,Rabies,Southern Asia,K02000001,0.0
2007,United Kingdom,Rabies,Southern Africa,K02000001,0.0
2007,United Kingdom,Rabies,No travel,K02000001,0.0
2007,United Kingdom,Rabies,,K02000001,0.0
2008,United Kingdom,Rabies,South-Eastern Asia,K02000001,0.0
2008,United Kingdom,Rabies,Western Africa,K02000001,0.0
2008,United Kingdom,Rabies,Southern Asia,K02000001,0.0
2008,United Kingdom,Rabies,Southern Africa,K02000001,1.0
2008,United Kingdom,Rabies,No travel,K02000001,0.0
2008,United Kingdom,Rabies,,K02000001,1.0
2009,United Kingdom,Rabies,South-Eastern Asia,K02000001,0.0
2009,United Kingdom,Rabies,Western Africa,K02000001,0.0
2009,United Kingdom,Rabies,Southern Asia,K02000001,0.0
2009,United Kingdom,Rabies,Southern Africa,K02000001,0.0
2009,United Kingdom,Rabies,No travel,K02000001,0.0
2009,United Kingdom,Rabies,,K02000001,0.0
2010,United Kingdom,Rabies,South-Eastern Asia,K02000001,0.0
2010,United Kingdom,Rabies,Western Africa,K02000001,0.0
2010,United Kingdom,Rabies,Southern Asia,K02000001,0.0
2010,United Kingdom,Rabies,Southern Africa,K02000001,0.0
2010,United Kingdom,Rabies,No travel,K02000001,0.0
2010,United Kingdom,Rabies,,K02000001,0.0
2011,United Kingdom,Rabies,South-Eastern Asia,K02000001,0.0
2011,United Kingdom,Rabies,Western Africa,K02000001,0.0
2011,United Kingdom,Rabies,Southern Asia,K02000001,0.0
2011,United Kingdom,Rabies,Southern Africa,K02000001,0.0
2011,United Kingdom,Rabies,No travel,K02000001,0.0
2011,United Kingdom,Rabies,,K02000001,0.0
2012,United Kingdom,Rabies,South-Eastern Asia,K02000001,0.0
2012,United Kingdom,Rabies,Western Africa,K02000001,0.0
2012,United Kingdom,Rabies,Southern Asia,K02000001,1.0
2012,United Kingdom,Rabies,Southern Africa,K02000001,0.0
2012,United Kingdom,Rabies,No travel,K02000001,0.0
2012,United Kingdom,Rabies,,K02000001,1.0
