Year,Flow of Official Development Assistance (ODA),Aid sub-category (DAC 5 code),Aid description (CRS code),Observation status,Unit multiplier,Unit measure,Value
2009,Bilateral,,,Undefined,Thousands,GBP (£),51782.29
2010,Bilateral,,,Undefined,Thousands,GBP (£),79882.8408039999
2010,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),Undefined,Thousands,GBP (£),0.0
2010,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),Undefined,Thousands,GBP (£),537.152041383451
2010,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),Undefined,Thousands,GBP (£),37322.4336845561
2010,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),Undefined,Thousands,GBP (£),180.27830746987098
2010,Multilateral,"Energy generation, distribution and efficiency – general (231)",,Undefined,Thousands,GBP (£),38039.8640334094
2010,Multilateral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),Undefined,Thousands,GBP (£),469.919589819037
2010,Multilateral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",Undefined,Thousands,GBP (£),12272.877302253999
2010,Multilateral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),Undefined,Thousands,GBP (£),0.0
2010,Multilateral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),Undefined,Thousands,GBP (£),38.784484365383705
2010,Multilateral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),Undefined,Thousands,GBP (£),0.0
2010,Multilateral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),Undefined,Thousands,GBP (£),122.908117934942
2010,Multilateral,"Energy generation, non-renewable sources (233)",,Undefined,Thousands,GBP (£),12904.489494373302
2010,Multilateral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),Undefined,Thousands,GBP (£),831.167214364659
2010,Multilateral,"Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",Undefined,Thousands,GBP (£),7020.225455899449
2010,Multilateral,"Energy generation, renewable sources (232)",Geothermal energy (23260),Undefined,Thousands,GBP (£),875.5286122774071
2010,Multilateral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),Undefined,Thousands,GBP (£),9794.495753797471
2010,Multilateral,"Energy generation, renewable sources (232)",Marine energy (23250),Undefined,Thousands,GBP (£),0.0
2010,Multilateral,"Energy generation, renewable sources (232)",Solar energy (23230),Undefined,Thousands,GBP (£),2607.30301373087
2010,Multilateral,"Energy generation, renewable sources (232)",Wind energy (23240),Undefined,Thousands,GBP (£),3224.43965451659
2010,Multilateral,"Energy generation, renewable sources (232)",,Undefined,Thousands,GBP (£),24353.1597045864
2010,Multilateral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),Undefined,Thousands,GBP (£),0.0
2010,Multilateral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),Undefined,Thousands,GBP (£),43980.6225542372
2010,Multilateral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),Undefined,Thousands,GBP (£),712.848054443304
2010,Multilateral,"Heating, cooling and energy distribution (236)",Heat plants (23610),Undefined,Thousands,GBP (£),0.0
2010,Multilateral,"Heating, cooling and energy distribution (236)",,Undefined,Thousands,GBP (£),44693.470608680494
2010,Multilateral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),Undefined,Thousands,GBP (£),0.0
2010,Multilateral,Hybrid energy electric power plants (234),,Undefined,Thousands,GBP (£),0.0
2010,Multilateral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),Undefined,Thousands,GBP (£),4805.83675783836
2010,Multilateral,Nuclear energy electric power plants (235),,Undefined,Thousands,GBP (£),4805.83675783836
2010,Multilateral,,,Undefined,Thousands,GBP (£),124796.820598888
2010,,,,Undefined,Thousands,GBP (£),204679.661402888
2011,Bilateral,,,Undefined,Thousands,GBP (£),147552.134252
2011,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),Undefined,Thousands,GBP (£),0.0
2011,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),Undefined,Thousands,GBP (£),729.2669062740911
2011,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),Undefined,Thousands,GBP (£),28197.1543602534
2011,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),Undefined,Thousands,GBP (£),65.7797984591665
