Year,Flow of Official Development Assistance (ODA),Aid category (DAC 5 code),Aid sub-category (DAC 5 code),Aid description (CRS code),Observation status,Unit multiplier,Unit measure,Value
2010,Multilateral,Communications (220),,,Undefined,Thousands,GBP (£),7972.6352175584
2010,Multilateral,Communications (220),,Communications policy and administrative management (22010),Undefined,Thousands,GBP (£),1409.0658107665802
2010,Multilateral,Communications (220),,Information and communication technology (ICT) (22040),Undefined,Thousands,GBP (£),3932.3979844509704
2010,Multilateral,Communications (220),,Radio/television/print media (22030),Undefined,Thousands,GBP (£),506.408626364096
2010,Multilateral,Communications (220),,Telecommunications (22020),Undefined,Thousands,GBP (£),2124.7627959767397
2011,Multilateral,Communications (220),,,Undefined,Thousands,GBP (£),28041.5187924294
2011,Multilateral,Communications (220),,Communications policy and administrative management (22010),Undefined,Thousands,GBP (£),1982.52905679974
2011,Multilateral,Communications (220),,Information and communication technology (ICT) (22040),Undefined,Thousands,GBP (£),7101.45750395364
2011,Multilateral,Communications (220),,Radio/television/print media (22030),Undefined,Thousands,GBP (£),363.07424163167394
2011,Multilateral,Communications (220),,Telecommunications (22020),Undefined,Thousands,GBP (£),18594.4579900443
2012,Multilateral,Communications (220),,,Undefined,Thousands,GBP (£),18713.9322458058
2012,Multilateral,Communications (220),,Communications policy and administrative management (22010),Undefined,Thousands,GBP (£),1641.5300964874402
2012,Multilateral,Communications (220),,Information and communication technology (ICT) (22040),Undefined,Thousands,GBP (£),4414.575642348011
2012,Multilateral,Communications (220),,Radio/television/print media (22030),Undefined,Thousands,GBP (£),203.35372402089
2012,Multilateral,Communications (220),,Telecommunications (22020),Undefined,Thousands,GBP (£),12454.472782949399
2013,Multilateral,Communications (220),,,Undefined,Thousands,GBP (£),47358.0759385851
2013,Multilateral,Communications (220),,Communications policy and administrative management (22010),Undefined,Thousands,GBP (£),3029.42577521647
2013,Multilateral,Communications (220),,Information and communication technology (ICT) (22040),Undefined,Thousands,GBP (£),8255.050653206601
2013,Multilateral,Communications (220),,Radio/television/print media (22030),Undefined,Thousands,GBP (£),317.472936674891
2013,Multilateral,Communications (220),,Telecommunications (22020),Undefined,Thousands,GBP (£),35756.1265734871
2014,Multilateral,Communications (220),,,Undefined,Thousands,GBP (£),24300.9484178209
2014,Multilateral,Communications (220),,Communications policy and administrative management (22010),Undefined,Thousands,GBP (£),5648.20736352277
2014,Multilateral,Communications (220),,Information and communication technology (ICT) (22040),Undefined,Thousands,GBP (£),6126.8563991151905
2014,Multilateral,Communications (220),,Radio/television/print media (22030),Undefined,Thousands,GBP (£),174.737174167944
2014,Multilateral,Communications (220),,Telecommunications (22020),Undefined,Thousands,GBP (£),12351.147481015
2015,Multilateral,Communications (220),,,Undefined,Thousands,GBP (£),13424.7870436776
2015,Multilateral,Communications (220),,Communications policy and administrative management (22010),Undefined,Thousands,GBP (£),4758.92045658748
2015,Multilateral,Communications (220),,Information and communication technology (ICT) (22040),Undefined,Thousands,GBP (£),5518.51979458864
2015,Multilateral,Communications (220),,Radio/television/print media (22030),Undefined,Thousands,GBP (£),153.39727465945802
2015,Multilateral,Communications (220),,Telecommunications (22020),Undefined,Thousands,GBP (£),2993.94951784206
2016,Multilateral,Communications (220),,,Undefined,Thousands,GBP (£),21920.077717539098
2016,Multilateral,Communications (220),,Communications policy and administrative management (22010),Undefined,Thousands,GBP (£),5217.7556798939295
2016,Multilateral,Communications (220),,Information and communication technology (ICT) (22040),Undefined,Thousands,GBP (£),10362.1521571893
2016,Multilateral,Communications (220),,Radio/television/print media (22030),Undefined,Thousands,GBP (£),69.5344256549882
2016,Multilateral,Communications (220),,Telecommunications (22020),Undefined,Thousands,GBP (£),6270.63545480088
2010,,Communications (220),,,Undefined,Thousands,GBP (£),69624.0380965583
2010,,Communications (220),,Communications policy and administrative management (22010),Undefined,Thousands,GBP (£),8520.507050766591
2010,,Communications (220),,Information and communication technology (ICT) (22040),Undefined,Thousands,GBP (£),28427.916035450897
2010,,Communications (220),,Radio/television/print media (22030),Undefined,Thousands,GBP (£),11455.788426364099
2010,,Communications (220),,Telecommunications (22020),Undefined,Thousands,GBP (£),21219.8265839767
2011,,Communications (220),,,Undefined,Thousands,GBP (£),80999.3657424294
2011,,Communications (220),,Communications policy and administrative management (22010),Undefined,Thousands,GBP (£),11133.0795467997
2011,,Communications (220),,Information and communication technology (ICT) (22040),Undefined,Thousands,GBP (£),12392.509783953601
2011,,Communications (220),,Radio/television/print media (22030),Undefined,Thousands,GBP (£),4664.341621631671
2011,,Communications (220),,Telecommunications (22020),Undefined,Thousands,GBP (£),52809.434790044295
2012,,Communications (220),,,Undefined,Thousands,GBP (£),11951.572053805801
2012,,Communications (220),,Communications policy and administrative management (22010),Undefined,Thousands,GBP (£),4119.982344487439
2012,,Communications (220),,Information and communication technology (ICT) (22040),Undefined,Thousands,GBP (£),3595.55361765198
2012,,Communications (220),,Radio/television/print media (22030),Undefined,Thousands,GBP (£),3126.94156402089
2012,,Communications (220),,Telecommunications (22020),Undefined,Thousands,GBP (£),8300.20176294947
2013,,Communications (220),,,Undefined,Thousands,GBP (£),52174.196547585096
2013,,Communications (220),,Communications policy and administrative management (22010),Undefined,Thousands,GBP (£),4781.8529942164705
2013,,Communications (220),,Information and communication technology (ICT) (22040),Undefined,Thousands,GBP (£),1969.19919320659
2013,,Communications (220),,Radio/television/print media (22030),Undefined,Thousands,GBP (£),2146.2047566748897
2013,,Communications (220),,Telecommunications (22020),Undefined,Thousands,GBP (£),43276.9396034871
2014,,Communications (220),,,Undefined,Thousands,GBP (£),22574.9696218209
2014,,Communications (220),,Communications policy and administrative management (22010),Undefined,Thousands,GBP (£),6542.30378352277
2014,,Communications (220),,Information and communication technology (ICT) (22040),Undefined,Thousands,GBP (£),355.477513884802
2014,,Communications (220),,Radio/television/print media (22030),Undefined,Thousands,GBP (£),2883.28794883205
2014,,Communications (220),,Telecommunications (22020),Undefined,Thousands,GBP (£),19271.431301015
2015,,Communications (220),,,Undefined,Thousands,GBP (£),14720.3925736776
2015,,Communications (220),,Communications policy and administrative management (22010),Undefined,Thousands,GBP (£),5240.94198658748
2015,,Communications (220),,Information and communication technology (ICT) (22040),Undefined,Thousands,GBP (£),5587.5077945886405
2015,,Communications (220),,Radio/television/print media (22030),Undefined,Thousands,GBP (£),177.588274659458
2015,,Communications (220),,Telecommunications (22020),Undefined,Thousands,GBP (£),3714.35451784206
2016,,Communications (220),,,Undefined,Thousands,GBP (£),30956.1969475391
2016,,Communications (220),,Communications policy and administrative management (22010),Undefined,Thousands,GBP (£),12364.949509893899
2016,,Communications (220),,Information and communication technology (ICT) (22040),Undefined,Thousands,GBP (£),10501.2968171893
2016,,Communications (220),,Radio/television/print media (22030),Undefined,Thousands,GBP (£),191.107785654988
2016,,Communications (220),,Telecommunications (22020),Undefined,Thousands,GBP (£),7898.84283480088
2009,Bilateral,"Energy Generation, Distribution and Efficiency (230)",,,Undefined,Thousands,GBP (£),51782.29
2010,Bilateral,"Energy Generation, Distribution and Efficiency (230)",,,Undefined,Thousands,GBP (£),79882.8408039999
2011,Bilateral,"Energy Generation, Distribution and Efficiency (230)",,,Undefined,Thousands,GBP (£),147552.134252
2012,Bilateral,"Energy Generation, Distribution and Efficiency (230)",,,Undefined,Thousands,GBP (£),284465.041998
2013,Bilateral,"Energy Generation, Distribution and Efficiency (230)",,,Undefined,Thousands,GBP (£),137754.39949
2014,Bilateral,"Energy Generation, Distribution and Efficiency (230)",,,Undefined,Thousands,GBP (£),108587.98704100001
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)",,,Undefined,Thousands,GBP (£),112511.83988800002
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency - general (231)",Energy conservation and demand-side efficiency (23183),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency - general (231)",Energy education/training (23181),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency - general (231)","Energy generation, distribution and efficiency - general (231)",Undefined,Thousands,GBP (£),40939.001408
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency - general (231)",Energy policy and administrative management (23110),Undefined,Thousands,GBP (£),32435.114488
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency - general (231)",Energy research (23182),Undefined,Thousands,GBP (£),8503.88692
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources (233)",Undefined,Thousands,GBP (£),4244.47368
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",Undefined,Thousands,GBP (£),209.12648000000002
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),Undefined,Thousands,GBP (£),4453.60016
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",Undefined,Thousands,GBP (£),39894.01288
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)","Energy generation, renewable sources (232)",Undefined,Thousands,GBP (£),56131.56709
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Geothermal energy (23260),Undefined,Thousands,GBP (£),16237.55421
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Hydro-electric power plants (23220),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Marine energy (23250),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Solar energy (23230),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Wind energy (23240),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",District heating and cooling (23620),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),Undefined,Thousands,GBP (£),11196.797709999999
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Gas distribution (23640),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Heat plants (23610),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)","Heating, cooling and energy distribution (236)",Undefined,Thousands,GBP (£),11196.797709999999
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),Hybrid energy electric power plants (234),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),Nuclear energy electric power plants (235),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)",,,Undefined,Thousands,GBP (£),200085.73193
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency - general (231)",Energy conservation and demand-side efficiency (23183),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency - general (231)",Energy education/training (23181),Undefined,Thousands,GBP (£),145.82242
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency - general (231)","Energy generation, distribution and efficiency - general (231)",Undefined,Thousands,GBP (£),106821.67587
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency - general (231)",Energy policy and administrative management (23110),Undefined,Thousands,GBP (£),95155.03722
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency - general (231)",Energy research (23182),Undefined,Thousands,GBP (£),11520.81623
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources (233)",Undefined,Thousands,GBP (£),31.3574799999999
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",Undefined,Thousands,GBP (£),31.3574799999999
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),Undefined,Thousands,GBP (£),29.64
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",Undefined,Thousands,GBP (£),72454.54288
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)","Energy generation, renewable sources (232)",Undefined,Thousands,GBP (£),79299.78026
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Geothermal energy (23260),Undefined,Thousands,GBP (£),6719.524440000001
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Hydro-electric power plants (23220),Undefined,Thousands,GBP (£),26.11686
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Marine energy (23250),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Solar energy (23230),Undefined,Thousands,GBP (£),13.252120000000001
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Wind energy (23240),Undefined,Thousands,GBP (£),56.703959999999995
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",District heating and cooling (23620),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),Undefined,Thousands,GBP (£),13932.918319999999
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Gas distribution (23640),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Heat plants (23610),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)","Heating, cooling and energy distribution (236)",Undefined,Thousands,GBP (£),13932.918319999999
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),Hybrid energy electric power plants (234),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),Nuclear energy electric power plants (235),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),Undefined,Thousands,GBP (£),0.0
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)",,,Undefined,Thousands,GBP (£),124796.820598888
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency - general (231)",Energy conservation and demand-side efficiency (23183),Undefined,Thousands,GBP (£),0.0
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency - general (231)",Energy education/training (23181),Undefined,Thousands,GBP (£),537.152041383451
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency - general (231)","Energy generation, distribution and efficiency - general (231)",Undefined,Thousands,GBP (£),38039.8640334094
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency - general (231)",Energy policy and administrative management (23110),Undefined,Thousands,GBP (£),37322.4336845561
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency - general (231)",Energy research (23182),Undefined,Thousands,GBP (£),180.27830746987098
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),Undefined,Thousands,GBP (£),469.919589819037
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources (233)",Undefined,Thousands,GBP (£),12904.489494373302
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",Undefined,Thousands,GBP (£),12272.877302253999
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),Undefined,Thousands,GBP (£),0.0
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),Undefined,Thousands,GBP (£),38.784484365383705
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),Undefined,Thousands,GBP (£),0.0
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),Undefined,Thousands,GBP (£),122.908117934942
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),Undefined,Thousands,GBP (£),831.167214364659
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",Undefined,Thousands,GBP (£),7020.225455899449
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)","Energy generation, renewable sources (232)",Undefined,Thousands,GBP (£),24353.1597045864
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Geothermal energy (23260),Undefined,Thousands,GBP (£),875.5286122774071
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Hydro-electric power plants (23220),Undefined,Thousands,GBP (£),9794.495753797471
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Marine energy (23250),Undefined,Thousands,GBP (£),0.0
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Solar energy (23230),Undefined,Thousands,GBP (£),2607.30301373087
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Wind energy (23240),Undefined,Thousands,GBP (£),3224.43965451659
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",District heating and cooling (23620),Undefined,Thousands,GBP (£),0.0
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),Undefined,Thousands,GBP (£),43980.6225542372
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Gas distribution (23640),Undefined,Thousands,GBP (£),712.848054443304
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Heat plants (23610),Undefined,Thousands,GBP (£),0.0
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)","Heating, cooling and energy distribution (236)",Undefined,Thousands,GBP (£),44693.470608680494
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),Hybrid energy electric power plants (234),Undefined,Thousands,GBP (£),0.0
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),Undefined,Thousands,GBP (£),0.0
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),Nuclear energy electric power plants (235),Undefined,Thousands,GBP (£),4805.83675783836
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),Undefined,Thousands,GBP (£),4805.83675783836
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)",,,Undefined,Thousands,GBP (£),204303.270608652
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency - general (231)",Energy conservation and demand-side efficiency (23183),Undefined,Thousands,GBP (£),0.0
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency - general (231)",Energy education/training (23181),Undefined,Thousands,GBP (£),729.2669062740911
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency - general (231)","Energy generation, distribution and efficiency - general (231)",Undefined,Thousands,GBP (£),28992.2010649867
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency - general (231)",Energy policy and administrative management (23110),Undefined,Thousands,GBP (£),28197.1543602534
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency - general (231)",Energy research (23182),Undefined,Thousands,GBP (£),65.7797984591665
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),Undefined,Thousands,GBP (£),690.408334295412
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources (233)",Undefined,Thousands,GBP (£),31738.502519603197
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",Undefined,Thousands,GBP (£),10028.7785579529
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),Undefined,Thousands,GBP (£),0.0
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),Undefined,Thousands,GBP (£),20947.5789994135
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),Undefined,Thousands,GBP (£),0.0
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),Undefined,Thousands,GBP (£),71.7366279412523
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),Undefined,Thousands,GBP (£),1477.2902114138299
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",Undefined,Thousands,GBP (£),43181.3005245931
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)","Energy generation, renewable sources (232)",Undefined,Thousands,GBP (£),73075.9245338953
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Geothermal energy (23260),Undefined,Thousands,GBP (£),1891.48211903888
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Hydro-electric power plants (23220),Undefined,Thousands,GBP (£),19894.2066921649
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Marine energy (23250),Undefined,Thousands,GBP (£),0.0
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Solar energy (23230),Undefined,Thousands,GBP (£),5404.38057082152
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Wind energy (23240),Undefined,Thousands,GBP (£),1227.26441586303
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",District heating and cooling (23620),Undefined,Thousands,GBP (£),0.0
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),Undefined,Thousands,GBP (£),66440.4733209645
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Gas distribution (23640),Undefined,Thousands,GBP (£),1572.9319850848099
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Heat plants (23610),Undefined,Thousands,GBP (£),0.0
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)","Heating, cooling and energy distribution (236)",Undefined,Thousands,GBP (£),68013.4053060493
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),Hybrid energy electric power plants (234),Undefined,Thousands,GBP (£),0.0
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),Undefined,Thousands,GBP (£),0.0
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),Nuclear energy electric power plants (235),Undefined,Thousands,GBP (£),2483.23718411806
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),Undefined,Thousands,GBP (£),2483.23718411806
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)",,,Undefined,Thousands,GBP (£),188405.68272078602
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency - general (231)",Energy conservation and demand-side efficiency (23183),Undefined,Thousands,GBP (£),0.0
