Year,Flow of Official Development Assistance (ODA),Aid category (DAC 5 code),Aid sub-category (DAC 5 code),Aid description (CRS code),Observation status,Unit multiplier,Unit measure,Value
2014,Bilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),Undefined,Thousands,GBP (£),12322.59712
2014,Bilateral,Banking and Financial Services (240),,Monetary institutions (24020),Undefined,Thousands,GBP (£),60391.746237
2015,Bilateral,Banking and Financial Services (240),,,Undefined,Thousands,GBP (£),538243.7654800001
2015,Bilateral,Banking and Financial Services (240),,Education/training in banking & financial services (24081),Undefined,Thousands,GBP (£),19.965999999999998
2015,Bilateral,Banking and Financial Services (240),,Financial policy & administrative management (24010),Undefined,Thousands,GBP (£),472683.36165
2015,Bilateral,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),Undefined,Thousands,GBP (£),49097.289339999996
2015,Bilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),Undefined,Thousands,GBP (£),15067.47201
2015,Bilateral,Banking and Financial Services (240),,Monetary institutions (24020),Undefined,Thousands,GBP (£),1375.67648
2016,Bilateral,Banking and Financial Services (240),,,Undefined,Thousands,GBP (£),392517.42218999896
2016,Bilateral,Banking and Financial Services (240),,Education/training in banking & financial services (24081),Undefined,Thousands,GBP (£),25.69625
2016,Bilateral,Banking and Financial Services (240),,Financial policy & administrative management (24010),Undefined,Thousands,GBP (£),312191.842689999
2016,Bilateral,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),Undefined,Thousands,GBP (£),53262.8264799999
2016,Bilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),Undefined,Thousands,GBP (£),24986.38043
2016,Bilateral,Banking and Financial Services (240),,Monetary institutions (24020),Undefined,Thousands,GBP (£),2050.67634
2010,Multilateral,Banking and Financial Services (240),,,Undefined,Thousands,GBP (£),38379.148173351
2010,Multilateral,Banking and Financial Services (240),,Education/training in banking & financial services (24081),Undefined,Thousands,GBP (£),236.32145225412899
2010,Multilateral,Banking and Financial Services (240),,Financial policy & administrative management (24010),Undefined,Thousands,GBP (£),20459.311653106102
2010,Multilateral,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),Undefined,Thousands,GBP (£),7272.51888497707
2010,Multilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),Undefined,Thousands,GBP (£),9696.76493672634
2010,Multilateral,Banking and Financial Services (240),,Monetary institutions (24020),Undefined,Thousands,GBP (£),714.231246287334
2011,Multilateral,Banking and Financial Services (240),,,Undefined,Thousands,GBP (£),122969.489414455
2011,Multilateral,Banking and Financial Services (240),,Education/training in banking & financial services (24081),Undefined,Thousands,GBP (£),133.07487941661302
2011,Multilateral,Banking and Financial Services (240),,Financial policy & administrative management (24010),Undefined,Thousands,GBP (£),11883.3596005771
2011,Multilateral,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),Undefined,Thousands,GBP (£),94755.7265840415
2011,Multilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),Undefined,Thousands,GBP (£),15716.672680523101
2011,Multilateral,Banking and Financial Services (240),,Monetary institutions (24020),Undefined,Thousands,GBP (£),480.65566989679496
2012,Multilateral,Banking and Financial Services (240),,,Undefined,Thousands,GBP (£),128145.97516940699
2012,Multilateral,Banking and Financial Services (240),,Education/training in banking & financial services (24081),Undefined,Thousands,GBP (£),185.87142779311
2012,Multilateral,Banking and Financial Services (240),,Financial policy & administrative management (24010),Undefined,Thousands,GBP (£),5518.784028124611
2012,Multilateral,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),Undefined,Thousands,GBP (£),115700.87143034801
2012,Multilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),Undefined,Thousands,GBP (£),5833.357473031059
2012,Multilateral,Banking and Financial Services (240),,Monetary institutions (24020),Undefined,Thousands,GBP (£),907.09081011003
2013,Multilateral,Banking and Financial Services (240),,,Undefined,Thousands,GBP (£),165495.254967685
2013,Multilateral,Banking and Financial Services (240),,Education/training in banking & financial services (24081),Undefined,Thousands,GBP (£),183.67295186426003
2013,Multilateral,Banking and Financial Services (240),,Financial policy & administrative management (24010),Undefined,Thousands,GBP (£),18004.2948508644
2013,Multilateral,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),Undefined,Thousands,GBP (£),130553.42108808199
2013,Multilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),Undefined,Thousands,GBP (£),9673.08396861228
2013,Multilateral,Banking and Financial Services (240),,Monetary institutions (24020),Undefined,Thousands,GBP (£),7080.78210826292
