Year,Units,Sex,Disability status,Value
2001 Q4,Seasonally adjusted percentage (%),,,12.9347813419
2002 Q1,Seasonally adjusted percentage (%),,,13.270712424800001
2002 Q2,Seasonally adjusted percentage (%),,,13.410667192
2002 Q3,Seasonally adjusted percentage (%),,,13.3374058603
2002 Q4,Seasonally adjusted percentage (%),,,12.7053546802
2003 Q1,Seasonally adjusted percentage (%),,,13.5038765349
2003 Q2,Seasonally adjusted percentage (%),,,13.397976146500001
2003 Q3,Seasonally adjusted percentage (%),,,13.118133107
2003 Q4,Seasonally adjusted percentage (%),,,12.5976091948
2004 Q1,Seasonally adjusted percentage (%),,,12.3604306726
2004 Q2,Seasonally adjusted percentage (%),,,12.935088179200001
2004 Q3,Seasonally adjusted percentage (%),,,13.440885504
2004 Q4,Seasonally adjusted percentage (%),,,13.444719211099999
2005 Q1,Seasonally adjusted percentage (%),,,13.4311948225
2005 Q2,Seasonally adjusted percentage (%),,,13.6864306298
2005 Q3,Seasonally adjusted percentage (%),,,13.4676309408
2005 Q4,Seasonally adjusted percentage (%),,,14.3980498146
2006 Q1,Seasonally adjusted percentage (%),,,14.073319896600001
2006 Q2,Seasonally adjusted percentage (%),,,14.5593663744
2006 Q3,Seasonally adjusted percentage (%),,,14.276769690899998
2006 Q4,Seasonally adjusted percentage (%),,,13.8298928289
2007 Q1,Seasonally adjusted percentage (%),,,14.0680871055
2007 Q2,Seasonally adjusted percentage (%),,,14.057973714000001
2007 Q3,Seasonally adjusted percentage (%),,,13.7165868948
2007 Q4,Seasonally adjusted percentage (%),,,13.427414366199999
2008 Q1,Seasonally adjusted percentage (%),,,13.3997896828
2008 Q2,Seasonally adjusted percentage (%),,,13.8180443785
2008 Q3,Seasonally adjusted percentage (%),,,14.2903440593
2008 Q4,Seasonally adjusted percentage (%),,,14.1603119095
2009 Q1,Seasonally adjusted percentage (%),,,15.1353259635
2009 Q2,Seasonally adjusted percentage (%),,,15.5531138627
2009 Q3,Seasonally adjusted percentage (%),,,15.443627557000001
2009 Q4,Seasonally adjusted percentage (%),,,14.8807198092
2010 Q1,Seasonally adjusted percentage (%),,,15.468273641700002
2010 Q2,Seasonally adjusted percentage (%),,,14.6969831667
2010 Q3,Seasonally adjusted percentage (%),,,15.290982975899999
2010 Q4,Seasonally adjusted percentage (%),,,15.8629074596
2011 Q1,Seasonally adjusted percentage (%),,,15.2945522554
2011 Q2,Seasonally adjusted percentage (%),,,15.802572154000002
2011 Q3,Seasonally adjusted percentage (%),,,16.9193296582
2011 Q4,Seasonally adjusted percentage (%),,,16.4489295437
2012 Q1,Seasonally adjusted percentage (%),,,16.253898840399998
2012 Q2,Seasonally adjusted percentage (%),,,16.1964442303
2012 Q3,Seasonally adjusted percentage (%),,,15.0038247272
2012 Q4,Seasonally adjusted percentage (%),,,14.770106296500002
2013 Q1,Seasonally adjusted percentage (%),,,15.0312722986
2013 Q2,Seasonally adjusted percentage (%),,,14.89375089
2013 Q3,Seasonally adjusted percentage (%),,,14.9137156747
2013 Q4,Seasonally adjusted percentage (%),,,14.2216745073
2014 Q1,Seasonally adjusted percentage (%),,,13.4172705401
2014 Q2,Seasonally adjusted percentage (%),,,13.2252872213
2014 Q3,Seasonally adjusted percentage (%),,,13.231880047999999
2014 Q4,Seasonally adjusted percentage (%),,,13.3618969089
2015 Q1,Seasonally adjusted percentage (%),,,12.8544660855
2015 Q2,Seasonally adjusted percentage (%),,,12.662435905599999
2015 Q3,Seasonally adjusted percentage (%),,,11.7169156014
2015 Q4,Seasonally adjusted percentage (%),,,11.8889275303
2016 Q1,Seasonally adjusted percentage (%),,,12.0167931485
2016 Q2,Seasonally adjusted percentage (%),,,11.742575110999999
2016 Q3,Seasonally adjusted percentage (%),,,11.8894498683
2016 Q4,Seasonally adjusted percentage (%),,,11.5630572819
2017 Q1,Seasonally adjusted percentage (%),,,11.2118970278
2017 Q2,Seasonally adjusted percentage (%),,,11.1021204149
2017 Q3,Seasonally adjusted percentage (%),,,11.1367049181
2017 Q4,Seasonally adjusted percentage (%),,,11.2406222675
2018 Q1,Seasonally adjusted percentage (%),,,11.477281460699999
2018 Q2,Seasonally adjusted percentage (%),,,11.1582389613
2001 Q4,Seasonally adjusted percentage (%),Male,,10.5509188777
2002 Q1,Seasonally adjusted percentage (%),Male,,11.2383020327
2002 Q2,Seasonally adjusted percentage (%),Male,,11.3612586052
2002 Q3,Seasonally adjusted percentage (%),Male,,11.3448960076
2002 Q4,Seasonally adjusted percentage (%),Male,,10.4093465597
2003 Q1,Seasonally adjusted percentage (%),Male,,11.3161206525
2003 Q2,Seasonally adjusted percentage (%),Male,,10.665086821000001
2003 Q3,Seasonally adjusted percentage (%),Male,,10.6953115446
2003 Q4,Seasonally adjusted percentage (%),Male,,10.2761226378
2004 Q1,Seasonally adjusted percentage (%),Male,,10.2075009264
2004 Q2,Seasonally adjusted percentage (%),Male,,10.3707683214
2004 Q3,Seasonally adjusted percentage (%),Male,,10.852803378399999
2004 Q4,Seasonally adjusted percentage (%),Male,,11.4094763514
2005 Q1,Seasonally adjusted percentage (%),Male,,11.154902041400002
2005 Q2,Seasonally adjusted percentage (%),Male,,11.5173171572
2005 Q3,Seasonally adjusted percentage (%),Male,,11.763239391099999
2005 Q4,Seasonally adjusted percentage (%),Male,,12.686585434500001
2006 Q1,Seasonally adjusted percentage (%),Male,,12.1075489233
2006 Q2,Seasonally adjusted percentage (%),Male,,13.130439761300002
2006 Q3,Seasonally adjusted percentage (%),Male,,12.1330111422
2006 Q4,Seasonally adjusted percentage (%),Male,,11.9913498425
2007 Q1,Seasonally adjusted percentage (%),Male,,12.1960714656
2007 Q2,Seasonally adjusted percentage (%),Male,,12.2263245014
2007 Q3,Seasonally adjusted percentage (%),Male,,11.5917123327
2007 Q4,Seasonally adjusted percentage (%),Male,,11.310464453
2008 Q1,Seasonally adjusted percentage (%),Male,,11.2312705947
2008 Q2,Seasonally adjusted percentage (%),Male,,11.606509414100001
2008 Q3,Seasonally adjusted percentage (%),Male,,12.4788739756
2008 Q4,Seasonally adjusted percentage (%),Male,,12.2433867829
2009 Q1,Seasonally adjusted percentage (%),Male,,13.7754502257
2009 Q2,Seasonally adjusted percentage (%),Male,,14.268737415799999
2009 Q3,Seasonally adjusted percentage (%),Male,,14.0323812906
2009 Q4,Seasonally adjusted percentage (%),Male,,13.163004284300001
2010 Q1,Seasonally adjusted percentage (%),Male,,13.87785878
2010 Q2,Seasonally adjusted percentage (%),Male,,13.188736272
2010 Q3,Seasonally adjusted percentage (%),Male,,13.4675525043
2010 Q4,Seasonally adjusted percentage (%),Male,,14.4981534953
2011 Q1,Seasonally adjusted percentage (%),Male,,14.2545698639
2011 Q2,Seasonally adjusted percentage (%),Male,,14.4285408277
2011 Q3,Seasonally adjusted percentage (%),Male,,15.8656592769
2011 Q4,Seasonally adjusted percentage (%),Male,,15.625216423900001
2012 Q1,Seasonally adjusted percentage (%),Male,,15.362036771500001
2012 Q2,Seasonally adjusted percentage (%),Male,,15.433335393699998
