Year,Sex,Unit measure,Unit multiplier,Observation status,Value
2000,,Percentage (%),Units,Undefined,15.8555296834459
2005,,Percentage (%),Units,Undefined,14.2832617695408
2015,,Percentage (%),Units,Undefined,13.7612196802464
2000,Male,Percentage (%),Units,Undefined,13.1620229639929
2000,Female,Percentage (%),Units,Undefined,19.760532031820897
2005,Male,Percentage (%),Units,Undefined,12.209438452130598
2005,Female,Percentage (%),Units,Undefined,18.6061940661945
2015,Male,Percentage (%),Units,Undefined,11.7900568877919
2015,Female,Percentage (%),Units,Undefined,16.6537335165518
