Year,Country,Sex,Cause of death,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2013,England,Male,Victim of cataclysmic storm,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2013,England,Male,Victim of flood,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2013,England,Male,Exposure to other and unspecified forces of nature,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.188437696599404
2013,England,Female,,Undefined,Units,"Rate per 1,000,000 population",E92000001,1.39031945443279
2013,England,Female,Exposure to excessive natural heat,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2013,England,Female,Exposure to excessive natural cold,Undefined,Units,"Rate per 1,000,000 population",E92000001,1.3537321003687701
2013,England,Female,Exposure to sunlight,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2013,England,Female,Victim of lightning,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0365873540640208
2013,England,Female,Victim of earthquake,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2013,England,Female,Victim of volcanic eruption,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2013,England,Female,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2013,England,Female,Victim of cataclysmic storm,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2013,England,Female,Victim of flood,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2013,England,Female,Exposure to other and unspecified forces of nature,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2013,Wales,,,Undefined,Units,"Rate per 1,000,000 population",W92000004,1.94652758943321
2013,Wales,,Exposure to excessive natural heat,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,,Exposure to excessive natural cold,Undefined,Units,"Rate per 1,000,000 population",W92000004,1.94652758943321
2013,Wales,,Exposure to sunlight,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,,Victim of lightning,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,,Victim of earthquake,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,,Victim of volcanic eruption,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,,Victim of cataclysmic storm,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,,Victim of flood,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,,Exposure to other and unspecified forces of nature,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,Male,,Undefined,Units,"Rate per 1,000,000 population",W92000004,1.97990136131417
2013,Wales,Male,Exposure to excessive natural heat,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,Male,Exposure to excessive natural cold,Undefined,Units,"Rate per 1,000,000 population",W92000004,1.97990136131417
2013,Wales,Male,Exposure to sunlight,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,Male,Victim of lightning,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,Male,Victim of earthquake,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,Male,Victim of volcanic eruption,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,Male,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,Male,Victim of cataclysmic storm,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,Male,Victim of flood,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,Male,Exposure to other and unspecified forces of nature,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,Female,,Undefined,Units,"Rate per 1,000,000 population",W92000004,1.91426028197053
2013,Wales,Female,Exposure to excessive natural heat,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,Female,Exposure to excessive natural cold,Undefined,Units,"Rate per 1,000,000 population",W92000004,1.91426028197053
2013,Wales,Female,Exposure to sunlight,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,Female,Victim of lightning,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,Female,Victim of earthquake,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,Female,Victim of volcanic eruption,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,Female,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,Female,Victim of cataclysmic storm,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,Female,Victim of flood,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,Wales,Female,Exposure to other and unspecified forces of nature,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2013,,,Exposure to excessive natural heat,Undefined,Units,"Rate per 1,000,000 population",,0.0175598085763123
2013,,,Exposure to excessive natural cold,Undefined,Units,"Rate per 1,000,000 population",,1.4750239204102298
2013,,,Exposure to sunlight,Undefined,Units,"Rate per 1,000,000 population",,0.0
2013,,,Victim of lightning,Undefined,Units,"Rate per 1,000,000 population",,0.0175598085763123
2013,,,Victim of earthquake,Undefined,Units,"Rate per 1,000,000 population",,0.0
2013,,,Victim of volcanic eruption,Undefined,Units,"Rate per 1,000,000 population",,0.0
2013,,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 1,000,000 population",,0.0
2013,,,Victim of cataclysmic storm,Undefined,Units,"Rate per 1,000,000 population",,0.0
2013,,,Victim of flood,Undefined,Units,"Rate per 1,000,000 population",,0.0
2013,,,Exposure to other and unspecified forces of nature,Undefined,Units,"Rate per 1,000,000 population",,0.0877990428815617
2013,,Male,,Undefined,Units,"Rate per 1,000,000 population",,1.8895372259511398
2013,,Male,Exposure to excessive natural heat,Undefined,Units,"Rate per 1,000,000 population",,0.0356516457726631
2013,,Male,Exposure to excessive natural cold,Undefined,Units,"Rate per 1,000,000 population",,1.6756273513151598
2013,,Male,Exposure to sunlight,Undefined,Units,"Rate per 1,000,000 population",,0.0
2013,,Male,Victim of lightning,Undefined,Units,"Rate per 1,000,000 population",,0.0
2013,,Male,Victim of earthquake,Undefined,Units,"Rate per 1,000,000 population",,0.0
2013,,Male,Victim of volcanic eruption,Undefined,Units,"Rate per 1,000,000 population",,0.0
2013,,Male,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 1,000,000 population",,0.0
2013,,Male,Victim of cataclysmic storm,Undefined,Units,"Rate per 1,000,000 population",,0.0
2013,,Male,Victim of flood,Undefined,Units,"Rate per 1,000,000 population",,0.0
2013,,Male,Exposure to other and unspecified forces of nature,Undefined,Units,"Rate per 1,000,000 population",,0.178258228863315
2013,,Female,,Undefined,Units,"Rate per 1,000,000 population",,1.31492289032646
2013,,Female,Exposure to excessive natural heat,Undefined,Units,"Rate per 1,000,000 population",,0.0
2013,,Female,Exposure to excessive natural cold,Undefined,Units,"Rate per 1,000,000 population",,1.2803196563705
2013,,Female,Exposure to sunlight,Undefined,Units,"Rate per 1,000,000 population",,0.0
2013,,Female,Victim of lightning,Undefined,Units,"Rate per 1,000,000 population",,0.0346032339559597
2013,,Female,Victim of earthquake,Undefined,Units,"Rate per 1,000,000 population",,0.0
