Year,Country,Suspected source,Units,Observation status,GeoCode,Value
2008,Northern Ireland,Fishing,Median count,Low reliability,N92000002,14.0
2008,Northern Ireland,Fly-tipped,Median count,Low reliability,N92000002,2.0
2008,Northern Ireland,Medical,Median count,Low reliability,N92000002,2.0
2008,Northern Ireland,Non-sourced,Median count,Low reliability,N92000002,73.0
2008,Northern Ireland,Public,Median count,Low reliability,N92000002,257.0
2008,Northern Ireland,Sewage related debris,Median count,Low reliability,N92000002,7.0
2008,Northern Ireland,Shipping,Median count,Low reliability,N92000002,14.0
2009,Northern Ireland,Fishing,Median count,Low reliability,N92000002,9.0
2009,Northern Ireland,Fly-tipped,Median count,Low reliability,N92000002,0.0
2009,Northern Ireland,Medical,Median count,Low reliability,N92000002,0.0
2009,Northern Ireland,Non-sourced,Median count,Low reliability,N92000002,26.0
2009,Northern Ireland,Public,Median count,Low reliability,N92000002,206.0
2009,Northern Ireland,Sewage related debris,Median count,Low reliability,N92000002,5.0
2009,Northern Ireland,Shipping,Median count,Low reliability,N92000002,7.0
2010,Northern Ireland,Fishing,Median count,Low reliability,N92000002,2.0
2010,Northern Ireland,Fly-tipped,Median count,Low reliability,N92000002,0.0
2010,Northern Ireland,Medical,Median count,Low reliability,N92000002,0.0
2010,Northern Ireland,Non-sourced,Median count,Low reliability,N92000002,10.0
2010,Northern Ireland,Public,Median count,Low reliability,N92000002,21.0
2010,Northern Ireland,Sewage related debris,Median count,Low reliability,N92000002,4.0
2010,Northern Ireland,Shipping,Median count,Low reliability,N92000002,0.0
2011,Northern Ireland,Fishing,Median count,Low reliability,N92000002,22.5
2011,Northern Ireland,Fly-tipped,Median count,Low reliability,N92000002,0.0
2011,Northern Ireland,Medical,Median count,Low reliability,N92000002,0.5
2011,Northern Ireland,Non-sourced,Median count,Low reliability,N92000002,65.5
2011,Northern Ireland,Public,Median count,Low reliability,N92000002,191.0
2011,Northern Ireland,Sewage related debris,Median count,Low reliability,N92000002,34.5
2011,Northern Ireland,Shipping,Median count,Low reliability,N92000002,8.0
2012,Northern Ireland,Fishing,Median count,Low reliability,N92000002,21.0
2012,Northern Ireland,Fly-tipped,Median count,Low reliability,N92000002,0.0
2012,Northern Ireland,Medical,Median count,Low reliability,N92000002,0.0
2012,Northern Ireland,Non-sourced,Median count,Low reliability,N92000002,32.0
2012,Northern Ireland,Public,Median count,Low reliability,N92000002,227.0
2012,Northern Ireland,Sewage related debris,Median count,Low reliability,N92000002,20.0
2012,Northern Ireland,Shipping,Median count,Low reliability,N92000002,23.0
2013,Northern Ireland,Fishing,Median count,Low reliability,N92000002,28.5
2013,Northern Ireland,Fly-tipped,Median count,Low reliability,N92000002,0.0
2013,Northern Ireland,Medical,Median count,Low reliability,N92000002,0.5
2013,Northern Ireland,Non-sourced,Median count,Low reliability,N92000002,39.5
2013,Northern Ireland,Public,Median count,Low reliability,N92000002,139.5
2013,Northern Ireland,Sewage related debris,Median count,Low reliability,N92000002,41.0
2013,Northern Ireland,Shipping,Median count,Low reliability,N92000002,19.5
2014,Northern Ireland,Fishing,Median count,Low reliability,N92000002,77.5
