Year,Speed (mb/sec),Units,Unit multiplier,Observation status,Value
2008,10 mbps and over,Rate per 100 population,Units,Estimated value,1.88186
2009,10 mbps and over,Rate per 100 population,Units,Estimated value,9.55792
2010,10 mbps and over,Rate per 100 population,Units,Estimated value,19.83672
2011,10 mbps and over,Rate per 100 population,Units,Estimated value,22.34296
2012,10 mbps and over,Rate per 100 population,Units,Estimated value,25.40093
2013,10 mbps and over,Rate per 100 population,Units,Estimated value,27.72843
2014,10 mbps and over,Rate per 100 population,Units,Estimated value,31.5843
2015,10 mbps and over,Rate per 100 population,Units,Estimated value,34.82636
2016,10 mbps and over,Rate per 100 population,Units,Estimated value,36.65549
2017,10 mbps and over,Rate per 100 population,Units,Estimated value,37.85001
2018,10 mbps and over,Rate per 100 population,Units,Estimated value,38.97135
2019,10 mbps and over,Rate per 100 population,Units,Estimated value,39.39458
2020,10 mbps and over,Rate per 100 population,Units,Estimated value,39.85651
2008,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Estimated value,24.56598
2009,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Estimated value,18.23661
2010,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Estimated value,9.93042
2011,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Estimated value,8.568060000000001
2012,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Estimated value,7.422789999999999
2013,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Estimated value,5.80817
2014,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Estimated value,4.6870199999999995
2015,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Estimated value,2.62134
2016,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Estimated value,1.76745
2017,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Estimated value,1.17954
2018,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Estimated value,0.62716
2019,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Estimated value,0.39669
2020,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Estimated value,0.40259
2008,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Estimated value,1.3484399999999999
2009,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Estimated value,0.63029
2010,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Estimated value,0.38275
2011,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Estimated value,0.0
2012,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Estimated value,0.0
2013,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Estimated value,0.0
2014,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Estimated value,0.0
2015,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Estimated value,0.0
2016,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Estimated value,0.0
2017,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Estimated value,0.0
2018,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Estimated value,0.0
2019,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Estimated value,0.0
2020,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Estimated value,0.0
2000,,Rate per 100 population,Units,Estimated value,0.08976
2001,,Rate per 100 population,Units,Estimated value,0.55977
2002,,Rate per 100 population,Units,Estimated value,2.28648
2003,,Rate per 100 population,Units,Estimated value,5.22772
2004,,Rate per 100 population,Units,Estimated value,10.2282
2005,,Rate per 100 population,Units,Estimated value,16.418960000000002
2006,,Rate per 100 population,Units,Estimated value,21.39545
2007,,Rate per 100 population,Units,Estimated value,25.39412
2008,,Rate per 100 population,Units,Estimated value,27.85421
2009,,Rate per 100 population,Units,Estimated value,28.45395
2010,,Rate per 100 population,Units,Estimated value,30.178959999999996
2011,,Rate per 100 population,Units,Estimated value,32.15914
2012,,Rate per 100 population,Units,Estimated value,33.608000000000004
2013,,Rate per 100 population,Units,Estimated value,35.454570000000004
2014,,Rate per 100 population,Units,Estimated value,36.27132
2015,,Rate per 100 population,Units,Estimated value,37.4477
2016,,Rate per 100 population,Units,Estimated value,38.422940000000004
2017,,Rate per 100 population,Units,Estimated value,39.02955
2018,,Rate per 100 population,Units,Estimated value,39.59852
2019,,Rate per 100 population,Units,Estimated value,39.79253
2020,,Rate per 100 population,Units,Estimated value,40.2591
2008,10 mbps and over,Number,Units,Normal value,1169483.0
2009,10 mbps and over,Number,Units,Normal value,6005106.0
2010,10 mbps and over,Number,Units,Normal value,12588345.0
2011,10 mbps and over,Number,Units,Normal value,14304394.0
2012,10 mbps and over,Number,Units,Normal value,16390030.0
2013,10 mbps and over,Number,Units,Normal value,18019050.0
