Year,Age,Value
2019,,0.6
2018,,0.7
2017,,0.7
2016,,0.8
2015,,0.8
2014,,0.8
2013,,0.9
2012,,1.1
2011,,1.3
2010,,1.6
2009,,1.9
2008,,2.3
2007,,2.6
2006,,2.9
2005,,3.2
2004,,3.6
2003,,3.9
2002,,4.3
2001,,4.6
2000,,4.9
2019,16 and under,0.2
2018,16 and under,0.2
2017,16 and under,0.2
2016,16 and under,0.2
2015,16 and under,0.2
2014,16 and under,0.2
2013,16 and under,0.3
2012,16 and under,0.3
2011,16 and under,0.4
2010,16 and under,0.5
2009,16 and under,0.6
2008,16 and under,0.7
2007,16 and under,0.8
2006,16 and under,0.9
2005,16 and under,0.9
2004,16 and under,1.0
2003,16 and under,1.1
2002,16 and under,1.2
2001,16 and under,1.3
2000,16 and under,1.4
