Year,Series,Observation status,Unit multiplier,Units,Value,COMMENT_TS
2000,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99,My 2G comment
2001,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99,My 2G comment
2002,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99,My 2G comment
2003,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99,My 2G comment
2004,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99,My 2G comment
2005,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99,My 2G comment
2006,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.8,My 2G comment
2007,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.8,My 2G comment
2008,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.8,My 2G comment
2009,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.8,My 2G comment
2010,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.8,My 2G comment
2011,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.7,My 2G comment
2012,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.6,My 2G comment
2013,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.7,My 2G comment
2014,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.7,My 2G comment
2015,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.6,My 2G comment
2016,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.6,My 2G comment
2017,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.6,My 2G comment
2018,Proportion of population covered by at least a 2G mobile network,Normal value,Units,Percentage (%),99.7,My 2G comment
2008,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),90,My 3G remark
2009,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),93,My 3G remark
2010,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),95,My 3G remark
2011,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),99.1,My 3G remark
2012,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),99.1,My 3G remark
2013,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),99.2,My 3G remark
2014,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),99.3,My 3G remark
2015,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),99.6,My 3G remark
2016,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),99.6,My 3G remark
2017,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),99.8,My 3G remark
2018,Proportion of population covered by at least a 3G mobile network,Normal value,Units,Percentage (%),99.9,My 3G remark
2012,Proportion of population covered by at least a 4G mobile network,Normal value,Units,Percentage (%),43,My 4G statement
2013,Proportion of population covered by at least a 4G mobile network,Normal value,Units,Percentage (%),70,My 4G statement
2014,Proportion of population covered by at least a 4G mobile network,Normal value,Units,Percentage (%),80,My 4G statement
2015,Proportion of population covered by at least a 4G mobile network,Normal value,Units,Percentage (%),97.8,My 4G statement
2016,Proportion of population covered by at least a 4G mobile network,Normal value,Units,Percentage (%),98.5,My 4G statement
2017,Proportion of population covered by at least a 4G mobile network,Normal value,Units,Percentage (%),99.3,My 4G statement
2018,Proportion of population covered by at least a 4G mobile network,Normal value,Units,Percentage (%),99.9,My 4G statement
