Year,Units,Sex,Age,Occupation major group,Occupation sub-major group,Disability status,Country,Region,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2004,Annual survey of hours and earnings (ASHE),,,,,,,,Undefined,Units,GBP (£),,12.0
2004,Annual survey of hours and earnings (ASHE),,18 to 21,,,,,,Undefined,Units,GBP (£),,6.31
2004,Annual survey of hours and earnings (ASHE),,22 to 29,,,,,,Undefined,Units,GBP (£),,9.99
2004,Annual survey of hours and earnings (ASHE),,30 to 39,,,,,,Undefined,Units,GBP (£),,12.89
2004,Annual survey of hours and earnings (ASHE),,40 to 49,,,,,,Undefined,Units,GBP (£),,13.42
2004,Annual survey of hours and earnings (ASHE),,50 to 59,,,,,,Undefined,Units,GBP (£),,12.05
2004,Annual survey of hours and earnings (ASHE),,18 to 21,"Managers, directors and senior officials",,,,,Undefined,Units,GBP (£),,7.4
2004,Annual survey of hours and earnings (ASHE),,22 to 29,"Managers, directors and senior officials",,,,,Undefined,Units,GBP (£),,12.86
2004,Annual survey of hours and earnings (ASHE),,30 to 39,"Managers, directors and senior officials",,,,,Undefined,Units,GBP (£),,18.53
2004,Annual survey of hours and earnings (ASHE),,40 to 49,"Managers, directors and senior officials",,,,,Undefined,Units,GBP (£),,20.65
2004,Annual survey of hours and earnings (ASHE),,50 to 59,"Managers, directors and senior officials",,,,,Undefined,Units,GBP (£),,19.63
2004,Annual survey of hours and earnings (ASHE),,60 and over,"Managers, directors and senior officials",,,,,Undefined,Units,GBP (£),,16.07
2004,Annual survey of hours and earnings (ASHE),,18 to 21,"Managers, directors and senior officials",Corporate managers and directors,,,,Undefined,Units,GBP (£),,7.8
2004,Annual survey of hours and earnings (ASHE),,22 to 29,"Managers, directors and senior officials",Corporate managers and directors,,,,Undefined,Units,GBP (£),,13.58
2004,Annual survey of hours and earnings (ASHE),,30 to 39,"Managers, directors and senior officials",Corporate managers and directors,,,,Undefined,Units,GBP (£),,19.32
2004,Annual survey of hours and earnings (ASHE),,40 to 49,"Managers, directors and senior officials",Corporate managers and directors,,,,Undefined,Units,GBP (£),,21.57
2004,Annual survey of hours and earnings (ASHE),,50 to 59,"Managers, directors and senior officials",Corporate managers and directors,,,,Undefined,Units,GBP (£),,20.25
2004,Annual survey of hours and earnings (ASHE),,60 and over,"Managers, directors and senior officials",Corporate managers and directors,,,,Undefined,Units,GBP (£),,16.91
2004,Annual survey of hours and earnings (ASHE),,18 to 21,"Managers, directors and senior officials",Other managers and proprietors,,,,Undefined,Units,GBP (£),,6.64
2004,Annual survey of hours and earnings (ASHE),,22 to 29,"Managers, directors and senior officials",Other managers and proprietors,,,,Undefined,Units,GBP (£),,9.98
2004,Annual survey of hours and earnings (ASHE),,30 to 39,"Managers, directors and senior officials",Other managers and proprietors,,,,Undefined,Units,GBP (£),,14.11
2004,Annual survey of hours and earnings (ASHE),,40 to 49,"Managers, directors and senior officials",Other managers and proprietors,,,,Undefined,Units,GBP (£),,15.62
2004,Annual survey of hours and earnings (ASHE),,50 to 59,"Managers, directors and senior officials",Other managers and proprietors,,,,Undefined,Units,GBP (£),,16.68
2004,Annual survey of hours and earnings (ASHE),,60 and over,"Managers, directors and senior officials",Other managers and proprietors,,,,Undefined,Units,GBP (£),,12.94
2004,Annual survey of hours and earnings (ASHE),,18 to 21,Professional occupations,,,,,Undefined,Units,GBP (£),,8.7
2004,Annual survey of hours and earnings (ASHE),,22 to 29,Professional occupations,,,,,Undefined,Units,GBP (£),,14.78
2004,Annual survey of hours and earnings (ASHE),,30 to 39,Professional occupations,,,,,Undefined,Units,GBP (£),,18.47
2004,Annual survey of hours and earnings (ASHE),,40 to 49,Professional occupations,,,,,Undefined,Units,GBP (£),,19.87
2004,Annual survey of hours and earnings (ASHE),,50 to 59,Professional occupations,,,,,Undefined,Units,GBP (£),,20.12
2004,Annual survey of hours and earnings (ASHE),,60 and over,Professional occupations,,,,,Undefined,Units,GBP (£),,17.94
2004,Annual survey of hours and earnings (ASHE),,18 to 21,Professional occupations,"Science, research, engineering and technology professionals",,,,Undefined,Units,GBP (£),,8.02
2004,Annual survey of hours and earnings (ASHE),,22 to 29,Professional occupations,"Science, research, engineering and technology professionals",,,,Undefined,Units,GBP (£),,13.84
2004,Annual survey of hours and earnings (ASHE),,30 to 39,Professional occupations,"Science, research, engineering and technology professionals",,,,Undefined,Units,GBP (£),,17.15
2004,Annual survey of hours and earnings (ASHE),,40 to 49,Professional occupations,"Science, research, engineering and technology professionals",,,,Undefined,Units,GBP (£),,18.57
2004,Annual survey of hours and earnings (ASHE),,50 to 59,Professional occupations,"Science, research, engineering and technology professionals",,,,Undefined,Units,GBP (£),,17.87
2004,Annual survey of hours and earnings (ASHE),,60 and over,Professional occupations,"Science, research, engineering and technology professionals",,,,Undefined,Units,GBP (£),,15.21
2004,Annual survey of hours and earnings (ASHE),,18 to 21,Professional occupations,Health professionals,,,,Undefined,Units,GBP (£),,8.4
2004,Annual survey of hours and earnings (ASHE),,22 to 29,Professional occupations,Health professionals,,,,Undefined,Units,GBP (£),,18.73
2004,Annual survey of hours and earnings (ASHE),,30 to 39,Professional occupations,Health professionals,,,,Undefined,Units,GBP (£),,26.03
2004,Annual survey of hours and earnings (ASHE),,40 to 49,Professional occupations,Health professionals,,,,Undefined,Units,GBP (£),,33.2
2004,Annual survey of hours and earnings (ASHE),,50 to 59,Professional occupations,Health professionals,,,,Undefined,Units,GBP (£),,34.47
2004,Annual survey of hours and earnings (ASHE),,60 and over,Professional occupations,Health professionals,,,,Undefined,Units,GBP (£),,37.81
2004,Annual survey of hours and earnings (ASHE),,18 to 21,Professional occupations,Teaching and educational professionals,,,,Undefined,Units,GBP (£),,9.95
2004,Annual survey of hours and earnings (ASHE),,22 to 29,Professional occupations,Teaching and educational professionals,,,,Undefined,Units,GBP (£),,13.79
2004,Annual survey of hours and earnings (ASHE),,30 to 39,Professional occupations,Teaching and educational professionals,,,,Undefined,Units,GBP (£),,17.05
2004,Annual survey of hours and earnings (ASHE),,40 to 49,Professional occupations,Teaching and educational professionals,,,,Undefined,Units,GBP (£),,18.99
2004,Annual survey of hours and earnings (ASHE),,50 to 59,Professional occupations,Teaching and educational professionals,,,,Undefined,Units,GBP (£),,20.43
2004,Annual survey of hours and earnings (ASHE),,60 and over,Professional occupations,Teaching and educational professionals,,,,Undefined,Units,GBP (£),,19.2
2004,Annual survey of hours and earnings (ASHE),,18 to 21,Professional occupations,"Business, media and public service professionals",,,,Undefined,Units,GBP (£),,8.39
2004,Annual survey of hours and earnings (ASHE),,22 to 29,Professional occupations,"Business, media and public service professionals",,,,Undefined,Units,GBP (£),,16.06
2004,Annual survey of hours and earnings (ASHE),,30 to 39,Professional occupations,"Business, media and public service professionals",,,,Undefined,Units,GBP (£),,19.87
2004,Annual survey of hours and earnings (ASHE),,40 to 49,Professional occupations,"Business, media and public service professionals",,,,Undefined,Units,GBP (£),,18.71
2004,Annual survey of hours and earnings (ASHE),,50 to 59,Professional occupations,"Business, media and public service professionals",,,,Undefined,Units,GBP (£),,17.9
2004,Annual survey of hours and earnings (ASHE),,60 and over,Professional occupations,"Business, media and public service professionals",,,,Undefined,Units,GBP (£),,13.77
2004,Annual survey of hours and earnings (ASHE),,18 to 21,Associate professional and technical occupations,,,,,Undefined,Units,GBP (£),,8.04
2004,Annual survey of hours and earnings (ASHE),,22 to 29,Associate professional and technical occupations,,,,,Undefined,Units,GBP (£),,11.81
2004,Annual survey of hours and earnings (ASHE),,30 to 39,Associate professional and technical occupations,,,,,Undefined,Units,GBP (£),,13.98
2004,Annual survey of hours and earnings (ASHE),,40 to 49,Associate professional and technical occupations,,,,,Undefined,Units,GBP (£),,14.39
2004,Annual survey of hours and earnings (ASHE),,50 to 59,Associate professional and technical occupations,,,,,Undefined,Units,GBP (£),,14.01
