Year,Country,Energy group,Energy type,GeoCode,Value
2016,England,Low carbon heat,Renewable heat,E92000001,0.000727159781416
2016,England,Low carbon heat,Renewable combined heat and power,E92000001,0.0051160884621
2016,England,Energy from waste  biomass,,E92000001,0.0321248803433
2016,England,Energy from waste  biomass,Bioenergy,E92000001,0.0316314504916
2016,England,Energy from waste  biomass,Alternative fuels,E92000001,0.000519399843868
2016,England,Energy efficient products,,E92000001,0.0168285549413
2016,England,Energy efficient products,Energy efficient lighting,E92000001,0.00340206897734
2016,England,Energy efficient products,Other energy efficient products,E92000001,0.010076356971
2016,England,Energy efficient products,"Energy monitoring, saving or control systems",E92000001,0.00332415900076
2016,England,Low carbon services,,E92000001,0.00103879968774
2016,England,Low carbon services,Low carbon financial and advisory services,E92000001,0.00103879968774
2016,England,Low emission vehicles,,E92000001,0.00599906819668
2016,England,Low emission vehicles,Low emission vehicles and infrastructure,E92000001,0.00467459859482
2016,England,Low emission vehicles,Fuels cells and energy storage,E92000001,0.00132446960186
2014,Scotland,,,S92000003,0.0648353458571
2014,Scotland,Low carbon electricity,,S92000003,0.0548377517822
2014,Scotland,Low carbon electricity,Offshore wind,S92000003,0.000541875017611
2014,Scotland,Low carbon electricity,Onshore wind,S92000003,0.0420224076157
2014,Scotland,Low carbon electricity,Solar photovoltaic,S92000003,0.000352218761447
2014,Scotland,Low carbon electricity,Hydropower,S92000003,0.00506653141466
2014,Scotland,Low carbon electricity,Other renewable electricity,S92000003,0.000243843757925
2014,Scotland,Low carbon heat,,S92000003,0.000108375003522
2014,Scotland,Low carbon heat,Renewable heat,S92000003,8.12812526416e-05
2014,Scotland,Low carbon heat,Renewable combined heat and power,S92000003,5.41875017611e-05
2014,Scotland,Energy from waste  biomass,,S92000003,0.00867000028178
2014,Scotland,Energy from waste  biomass,Bioenergy,S92000003,0.00867000028178
2014,Scotland,Energy efficient products,,S92000003,0.0011108437861
2014,Scotland,Energy efficient products,Energy efficient lighting,S92000003,8.12812526416e-05
2014,Scotland,Energy efficient products,Other energy efficient products,S92000003,0.000948281280819
2014,Scotland,Energy efficient products,"Energy monitoring, saving or control systems",S92000003,8.12812526416e-05
2014,Scotland,Low carbon services,,S92000003,8.12812526416e-05
2014,Scotland,Low carbon services,Low carbon financial and advisory services,S92000003,8.12812526416e-05
2014,Scotland,Low emission vehicles,,S92000003,2.70937508805e-05
2015,Scotland,,,S92000003,0.0686437550596
2015,Scotland,Low carbon electricity,,S92000003,0.0643287021962
2015,Scotland,Low carbon electricity,Offshore wind,S92000003,0.00495039807024
2015,Scotland,Low carbon electricity,Onshore wind,S92000003,0.0429387468981
2015,Scotland,Low carbon electricity,Solar photovoltaic,S92000003,0.000317672603438
2015,Scotland,Low carbon electricity,Hydropower,S92000003,0.00632697935181
2015,Scotland,Low carbon heat,,S92000003,5.29454339064e-05
2015,Scotland,Low carbon heat,Renewable heat,S92000003,2.64727169532e-05
2015,Scotland,Low carbon heat,Renewable combined heat and power,S92000003,2.64727169532e-05
2015,Scotland,Energy from waste  biomass,,S92000003,0.00291199886485
2015,Scotland,Energy from waste  biomass,Bioenergy,S92000003,0.00291199886485
2015,Scotland,Energy efficient products,,S92000003,0.0012442176968
2015,Scotland,Energy efficient products,Energy efficient lighting,S92000003,2.64727169532e-05
2015,Scotland,Energy efficient products,Other energy efficient products,S92000003,0.00100596324422
2015,Scotland,Energy efficient products,"Energy monitoring, saving or control systems",S92000003,0.000211781735625
2015,Scotland,Low carbon services,,S92000003,7.94181508595e-05
2015,Scotland,Low carbon services,Low carbon financial and advisory services,S92000003,7.94181508595e-05
2015,Scotland,Low emission vehicles,,S92000003,2.64727169532e-05
2015,Scotland,Low emission vehicles,Fuels cells and energy storage,S92000003,2.64727169532e-05
2016,Scotland,,,S92000003,0.0905054227941
2016,Scotland,Low carbon electricity,,S92000003,0.087544843684
2016,Scotland,Low carbon electricity,Offshore wind,S92000003,0.00142834957064
2016,Scotland,Low carbon electricity,Onshore wind,S92000003,0.071832998407
2016,Scotland,Low carbon electricity,Solar photovoltaic,S92000003,0.000103879968774
2016,Scotland,Low carbon electricity,Hydropower,S92000003,0.00451877864166
2016,Scotland,Low carbon electricity,Carbon capture and storage,S92000003,0.0
2016,Scotland,Low carbon electricity,Nuclear,S92000003,0.00966083709595
2016,Scotland,Energy from waste  biomass,,S92000003,0.00127252961748
2016,Scotland,Energy from waste  biomass,Bioenergy,S92000003,0.00124655962528
2016,Scotland,Energy efficient products,,S92000003,0.00163610950819
2016,Scotland,Energy efficient products,Energy efficient lighting,S92000003,5.19399843868e-05
2016,Scotland,Energy efficient products,Other energy efficient products,S92000003,0.0011946196409
2016,Scotland,Energy efficient products,"Energy monitoring, saving or control systems",S92000003,0.000363579890708
2016,Scotland,Low carbon services,,S92000003,5.19399843868e-05
2016,Scotland,Low carbon services,Low carbon financial and advisory services,S92000003,5.19399843868e-05
2014,Wales,,,W92000004,0.0150370317387
2014,Wales,Low carbon electricity,,W92000004,0.0114335628716
2014,Wales,Low carbon electricity,Offshore wind,W92000004,5.41875017611e-05
2014,Wales,Low carbon electricity,Onshore wind,W92000004,0.0041724376356
2014,Wales,Low carbon electricity,Solar photovoltaic,W92000004,0.00623156270253
2014,Wales,Low carbon electricity,Hydropower,W92000004,0.000379312512328
2014,Wales,Low carbon electricity,Other renewable electricity,W92000004,0.000568968768491
2014,Wales,Low carbon electricity,Carbon capture and storage,W92000004,0.0
2014,Wales,Low carbon heat,,W92000004,0.000839906277297
2014,Wales,Low carbon heat,Renewable heat,W92000004,0.000812812526416
2014,Wales,Low carbon heat,Renewable combined heat and power,W92000004,2.70937508805e-05
2014,Wales,Energy from waste  biomass,,W92000004,0.00100246878258
2014,Wales,Energy from waste  biomass,Bioenergy,W92000004,0.0009753750317
2014,Wales,Energy efficient products,,W92000004,0.00149015629843
2014,Wales,Energy efficient products,Energy efficient lighting,W92000004,5.41875017611e-05
2014,Wales,Energy efficient products,Other energy efficient products,W92000004,0.00140887504579
2014,Wales,Energy efficient products,"Energy monitoring, saving or control systems",W92000004,2.70937508805e-05
2014,Wales,Low emission vehicles,,W92000004,0.000270937508805
2015,Wales,,,W92000004,0.0228194820136
2015,Wales,Low carbon electricity,,W92000004,0.01755141134
2015,Wales,Low carbon electricity,Offshore wind,W92000004,2.64727169532e-05
2015,Wales,Low carbon electricity,Onshore wind,W92000004,0.000105890867813
2015,Wales,Low carbon electricity,Solar photovoltaic,W92000004,0.0173925750382
2015,Wales,Low carbon electricity,Carbon capture and storage,W92000004,0.0
2015,Wales,Low carbon heat,,W92000004,2.64727169532e-05
2015,Wales,Low carbon heat,Renewable combined heat and power,W92000004,2.64727169532e-05
2015,Wales,Energy from waste  biomass,,W92000004,0.00423563471251
2015,Wales,Energy from waste  biomass,Bioenergy,W92000004,0.00420916199556
2015,Wales,Energy from waste  biomass,Alternative fuels,W92000004,2.64727169532e-05
2015,Wales,Energy efficient products,,W92000004,0.000688290640783
2015,Wales,Energy efficient products,Energy efficient lighting,W92000004,0.000105890867813
2015,Wales,Energy efficient products,Other energy efficient products,W92000004,0.000555927056017
2015,Wales,Energy efficient products,"Energy monitoring, saving or control systems",W92000004,2.64727169532e-05
2015,Wales,Low emission vehicles,,W92000004,0.000317672603438
2015,Wales,Low emission vehicles,Low emission vehicles and infrastructure,W92000004,0.000264727169532
2015,Wales,Low emission vehicles,Fuels cells and energy storage,W92000004,7.94181508595e-05
2016,Wales,,,W92000004,0.0150625954722
2016,Wales,Low carbon electricity,,W92000004,0.0134524559562
2016,Wales,Low carbon electricity,Onshore wind,W92000004,0.00646652805616
2016,Wales,Low carbon electricity,Solar photovoltaic,W92000004,0.00677816796248
2016,Wales,Low carbon electricity,Hydropower,W92000004,0.000207759937547
2016,Wales,Low carbon electricity,Carbon capture and storage,W92000004,0.0
2016,Wales,Low carbon electricity,Nuclear,W92000004,0.0
2016,Wales,Energy from waste  biomass,,W92000004,0.000779099765803
2016,Wales,Energy from waste  biomass,Bioenergy,W92000004,0.000753129773609
2016,Wales,Energy from waste  biomass,Alternative fuels,W92000004,2.59699921934e-05
2016,Wales,Energy efficient products,,W92000004,0.000753129773609
2016,Wales,Energy efficient products,Energy efficient lighting,W92000004,7.79099765803e-05
2016,Wales,Energy efficient products,Other energy efficient products,W92000004,0.000623279812642
2016,Wales,Energy efficient products,"Energy monitoring, saving or control systems",W92000004,5.19399843868e-05
2016,Wales,Low carbon services,,W92000004,7.79099765803e-05
2016,Wales,Low carbon services,Low carbon financial and advisory services,W92000004,7.79099765803e-05
2014,Northern Ireland,,,N92000002,0.00810103151328
2014,Northern Ireland,Low carbon electricity,,N92000002,0.00550003142875
2014,Northern Ireland,Low carbon electricity,Offshore wind,N92000002,0.0
2014,Northern Ireland,Low carbon electricity,Onshore wind,N92000002,0.0048768751585
2014,Northern Ireland,Low carbon electricity,Solar photovoltaic,N92000002,0.00051478126673
2014,Northern Ireland,Low carbon electricity,Hydropower,N92000002,5.41875017611e-05
2014,Northern Ireland,Low carbon electricity,Carbon capture and storage,N92000002,0.0
2014,Northern Ireland,Low carbon heat,,N92000002,0.000298031259686
2014,Northern Ireland,Low carbon heat,Renewable heat,N92000002,2.70937508805e-05
2014,Northern Ireland,Low carbon heat,Renewable combined heat and power,N92000002,0.000270937508805
2014,Northern Ireland,Energy from waste  biomass,,N92000002,0.000677343772014
2014,Northern Ireland,Energy from waste  biomass,Bioenergy,N92000002,0.000650250021133
2014,Northern Ireland,Energy from waste  biomass,Alternative fuels,N92000002,2.70937508805e-05
2014,Northern Ireland,Energy efficient products,,N92000002,0.00151725004931
2014,Northern Ireland,Energy efficient products,Energy efficient lighting,N92000002,5.41875017611e-05
2014,Northern Ireland,Energy efficient products,Other energy efficient products,N92000002,0.00140887504579
2014,Northern Ireland,Energy efficient products,"Energy monitoring, saving or control systems",N92000002,5.41875017611e-05
2014,Northern Ireland,Low carbon services,,N92000002,2.70937508805e-05
2014,Northern Ireland,Low carbon services,Low carbon financial and advisory services,N92000002,2.70937508805e-05
2014,Northern Ireland,Low emission vehicles,,N92000002,8.12812526416e-05
2014,Northern Ireland,Low emission vehicles,Low emission vehicles and infrastructure,N92000002,8.12812526416e-05
2014,Northern Ireland,Low emission vehicles,Fuels cells and energy storage,N92000002,0.0
2015,Northern Ireland,,,N92000002,0.00571810686189
2015,Northern Ireland,Low carbon electricity,,N92000002,0.0050298162211
2015,Northern Ireland,Low carbon electricity,Offshore wind,N92000002,0.0
2015,Northern Ireland,Low carbon electricity,Onshore wind,N92000002,0.0041826892786
2015,Northern Ireland,Low carbon electricity,Solar photovoltaic,N92000002,0.000794181508595
2015,Northern Ireland,Low carbon electricity,Carbon capture and storage,N92000002,0.0
2015,Northern Ireland,Low carbon electricity,Nuclear,N92000002,0.0
2015,Northern Ireland,Low carbon heat,,N92000002,5.29454339064e-05
2015,Northern Ireland,Low carbon heat,Renewable heat,N92000002,2.64727169532e-05
2015,Northern Ireland,Low carbon heat,Renewable combined heat and power,N92000002,2.64727169532e-05
2015,Northern Ireland,Energy from waste  biomass,,N92000002,0.000264727169532
2015,Northern Ireland,Energy from waste  biomass,Bioenergy,N92000002,0.000264727169532
2015,Northern Ireland,Energy from waste  biomass,Alternative fuels,N92000002,0.0
2015,Northern Ireland,Energy efficient products,,N92000002,0.000370618037345
2015,Northern Ireland,Energy efficient products,Energy efficient lighting,N92000002,2.64727169532e-05
2015,Northern Ireland,Energy efficient products,Other energy efficient products,N92000002,0.000344145320391
2015,Northern Ireland,Low emission vehicles,Fuels cells and energy storage,N92000002,0.0
2016,Northern Ireland,,,N92000002,0.0234768729429
2016,Northern Ireland,Low carbon electricity,,N92000002,0.0177634746603
2016,Northern Ireland,Low carbon electricity,Onshore wind,N92000002,0.0176595946915
2016,Northern Ireland,Low carbon electricity,Solar photovoltaic,N92000002,7.79099765803e-05
2016,Northern Ireland,Low carbon electricity,Carbon capture and storage,N92000002,0.0
2016,Northern Ireland,Low carbon electricity,Nuclear,N92000002,0.0
2016,Northern Ireland,Low carbon heat,,N92000002,0.000415519875095
2016,Northern Ireland,Low carbon heat,Renewable heat,N92000002,0.000415519875095
2016,Northern Ireland,Low carbon heat,Renewable combined heat and power,N92000002,2.59699921934e-05
2016,Northern Ireland,Energy from waste  biomass,,N92000002,0.00488235853236
2016,Northern Ireland,Energy from waste  biomass,Bioenergy,N92000002,0.00488235853236
2016,Northern Ireland,Energy from waste  biomass,Alternative fuels,N92000002,0.0
2016,Northern Ireland,Energy efficient products,,N92000002,0.000233729929741
2016,Northern Ireland,Energy efficient products,Energy efficient lighting,N92000002,0.000103879968774
2016,Northern Ireland,Energy efficient products,Other energy efficient products,N92000002,0.000103879968774
2016,Northern Ireland,Low carbon services,,N92000002,0.000155819953161
2016,Northern Ireland,Low carbon services,Low carbon financial and advisory services,N92000002,0.000155819953161
2016,Northern Ireland,Low emission vehicles,,N92000002,2.59699921934e-05
2016,Northern Ireland,Low emission vehicles,Low emission vehicles and infrastructure,N92000002,2.59699921934e-05
