Year,Value
2000,49.4
2001,51.0
2002,50.3
2003,49.9
2004,50.3
2005,49.8
2006,50.3
2007,50.8
2008,50.4
2009,52.0
2010,51.8
2011,50.8
2012,50.4
2013,50.4
2014,49.1
2015,49.2
2016,49.3
2017,49.5
