Year,Country,Observation status,Unit multiplier,Units,GeoCode,Value
2010,,Normal value,Units,Percentage (%),,40.35801527835693
2010,England,Normal value,Units,Percentage (%),E92000001,41.17343969905979
2010,Northern Ireland,Normal value,Units,Percentage (%),N92000002,37.80825983145557
2010,Scotland,Normal value,Units,Percentage (%),S92000003,32.494484971766866
2010,Wales,Normal value,Units,Percentage (%),W92000004,44.00589159902687
2011,,Normal value,Units,Percentage (%),,42.894844657838114
2011,England,Normal value,Units,Percentage (%),E92000001,43.285335322002396
2011,Northern Ireland,Normal value,Units,Percentage (%),N92000002,40.03483091481893
2011,Scotland,Normal value,Units,Percentage (%),S92000003,37.087867102416546
2011,Wales,Normal value,Units,Percentage (%),W92000004,48.96897518269463
2012,,Normal value,Units,Percentage (%),,43.87180541880218
2012,England,Normal value,Units,Percentage (%),E92000001,44.10693822815602
2012,Northern Ireland,Normal value,Units,Percentage (%),N92000002,40.69742368922461
2012,Scotland,Normal value,Units,Percentage (%),S92000003,38.23115997972125
2012,Wales,Normal value,Units,Percentage (%),W92000004,52.1128938779479
2013,,Normal value,Units,Percentage (%),,44.07576523325131
2013,England,Normal value,Units,Percentage (%),E92000001,44.16304925660753
2013,Northern Ireland,Normal value,Units,Percentage (%),N92000002,41.542833656490096
2013,Scotland,Normal value,Units,Percentage (%),S92000003,39.64699204991961
2013,Wales,Normal value,Units,Percentage (%),W92000004,52.182660387918624
2014,,Normal value,Units,Percentage (%),,44.842597902765796
2014,England,Normal value,Units,Percentage (%),E92000001,44.845296050594214
2014,Northern Ireland,Normal value,Units,Percentage (%),N92000002,42.645847724996585
2014,Scotland,Normal value,Units,Percentage (%),S92000003,40.958174874829254
2014,Wales,Normal value,Units,Percentage (%),W92000004,53.27111675490278
2015,,Normal value,Units,Percentage (%),,44.10168354474892
2015,England,Normal value,Units,Percentage (%),E92000001,43.88077033892619
2015,Northern Ireland,Normal value,Units,Percentage (%),N92000002,42.09160407768476
2015,Scotland,Normal value,Units,Percentage (%),S92000003,42.0713777990159
2015,Wales,Normal value,Units,Percentage (%),W92000004,52.96892506838425
2016,,Normal value,Units,Percentage (%),,44.563177787927735
2016,England,Normal value,Units,Percentage (%),E92000001,44.24169692310654
2016,Northern Ireland,Normal value,Units,Percentage (%),N92000002,43.299235330918094
2016,Scotland,Normal value,Units,Percentage (%),S92000003,42.77492351892848
2016,Wales,Normal value,Units,Percentage (%),W92000004,54.23486449948472
2017,,Normal value,Units,Percentage (%),,44.84348384011604
2017,England,Normal value,Units,Percentage (%),E92000001,44.383890821441156
2017,Northern Ireland,Normal value,Units,Percentage (%),N92000002,46.306393266234785
2017,Scotland,Normal value,Units,Percentage (%),S92000003,43.40641687313153
2017,Wales,Normal value,Units,Percentage (%),W92000004,54.634872221597384
2018,,Normal value,Units,Percentage (%),,44.29741958729582
2018,England,Normal value,Units,Percentage (%),E92000001,43.81350149855457
2018,Northern Ireland,Normal value,Units,Percentage (%),N92000002,47.72546919785148
2018,Scotland,Normal value,Units,Percentage (%),S92000003,42.74156028878161
2018,Wales,Normal value,Units,Percentage (%),W92000004,53.418018052782045
2019,,Normal value,Units,Percentage (%),,45.2323997057058
2019,England,Normal value,Units,Percentage (%),E92000001,44.63618855867102
2019,Northern Ireland,Normal value,Units,Percentage (%),N92000002,50.615974099266346
2019,Scotland,Normal value,Units,Percentage (%),S92000003,43.3963441223361
2019,Wales,Normal value,Units,Percentage (%),W92000004,55.748230105866504
2020,,Normal value,Units,Percentage (%),,43.566821976184
2020,England,Normal value,Units,Percentage (%),E92000001,42.9856080216997
2020,Northern Ireland,Normal value,Units,Percentage (%),N92000002,49.1040010236665
2020,Scotland,Normal value,Units,Percentage (%),S92000003,40.8329075985996
2020,Wales,Normal value,Units,Percentage (%),W92000004,55.5807645043523
